Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
Sales Department;Initiate File;Initiate;"Sales Department;File";Sales Department Initiate File;;Sales Department Initiate File;
Sales manager;Prepare special terms;Prepare;"Sales manager;special terms";Sales manager Prepare special terms;Prepares;Sales manager|special terms;
Order Process;Book Order;Book;"Order Process;Order";Order Process Book Order;;Order Process Book Order;
Pizza Customer;Select a pizza;Select;"Pizza Customer;pizza";Pizza Customer Select a pizza;Selects;Pizza Customer|pizza;
Bank;Prepare special terms;Prepare;"Bank;special terms";Bank Prepare special terms;Prepares;Bank|special terms;
Support Department;Update Client on Delay;Update;"Support Department;Client on Delay|Escl";Support Department Update Client on Delay;;Support Department Update Client on Delay;
Vacation Request Approval Process;Update Vacation Request;Update;"Vacation Request Approval Process;Update Vacation Request";Vacation Request Approval Process Update Vacation Request;;Vacation Request Approval Process Update Vacation Request;
Sales Department;Calculate terms;Calculate;"Sales Department;terms";Sales Department Calculate terms;;Sales Department Calculate terms;
ERP Expert;Resolve Communication Problem and Book Order;Resolve;"ERP Expert;Communication Problem|Book Order";ERP Expert Resolve Communication Problem and Book Order;;ERP Expert Resolve Communication Problem|Book Order;
Business participant;Hold Reply;Hold;"Business participant;Reply";Business participant Hold Reply;Holds;Business participant|Reply;
Car House;Set Available Cars;Set;"Car House;Available Cars";Car House Set Available Cars;;Car House Set Available Cars;
2nd Level Support Agent;Document 2nd level result;Document;"2nd Level Support Agent;2nd level result";2nd Level Support Agent Document 2nd level result;results;2nd Level Support Agent Document 2nd level;
Car House;Get Confirmation;Get;"Car House;Confirmation";Car House Get Confirmation;Gets;Car House|Confirmation;
Trouble Ticket System;Open Ticket;Open;"Trouble Ticket System;ticket";Trouble Ticket System Open Ticket;;Trouble Ticket System Open Ticket;
Organization;Indicate Price;Indicate;"Organization;Price";Organization Indicate Price;;Organization Indicate Price;
Trouble Ticket System;Insert Issue into Product Backlog;Insert;"Trouble Ticket System;Issue into Product Backlog";Trouble Ticket System Insert Issue into Product Backlog;;Trouble Ticket System Insert Issue into Product Backlog;
Seminar Coordinator;Open Seminar;Open;"Seminar Coordinator;Seminar";Seminar Coordinator Open Seminar;;Seminar Coordinator Open Seminar;
Business participant;Prepare Invoice;Prepare;"Business participant;Invoice";Business participant Prepare Invoice;Prepares;Business participant|Invoice;
Service Contract Implementation Layer;Book Order;Book;"Service Contract Implementation Layer;Order";Service Contract Implementation Layer Book Order;;Service Contract Implementation Layer Book Order;
Service Contract Implementation Layer;Store in Marketing System Client 100;Store in;"Service Contract Implementation Layer;Marketing System Client";Service Contract Implementation Layer Store in Marketing System Client 100;;Service Contract Implementation Layer Store in Marketing System Client 100;
Technician;Connect Remotely to Client;Connect;"Technician;Client";Technician Connect Remotely to Client;Connects;Technician|Client;
Reader;Get Item;Get;"Reader;Item";Reader Get Item;Gets;Reader|Item;
Administrative Department;Check Solvency;Check;"Administrative Department;Solvency";Administrative Department Check Solvency;;Administrative Department Check Solvency;
Seminar Coordinator;Send Invitations to Customers;Send;"Seminar Coordinator;Invitations to Customers";Seminar Coordinator Send Invitations to Customers;Sends;Seminar Coordinator|Invitations to Customers;
Support Department;Acknowledge;Acknowledge;"Support Department;nan";Support Department Acknowledge;Acknowledges;Support Department;
Aqua Distilled Water Company;Forward Order;Forward;"Aqua Distilled Water Company;Order";Aqua Distilled Water Company Forward Order;;Aqua Distilled Water Company Forward Order;
1st level support;Edit 1st Level Ticket;Edit;"1st level support;1st Level|Ticket";1st level support Edit 1st Level Ticket;;1st level support Edit 1st Level Ticket;
Software developer;Examine problem;Examine;"Software developer;problem";Software developer Examine problem;;Software developer Examine problem;
Seller;Close an offer;Close;"Seller;offer";Seller Close an offer;;Seller|offer;
Seminar Coordinator;Publish Seminar Description in Website;Publish;"Seminar Coordinator;Seminar Description in Website";Seminar Coordinator Publish Seminar Description in Website;Publishes;Seminar Coordinator|Seminar Description in Website;
Business participant;Start Investigation;Start;"Business participant;Investigation";Business participant Start Investigation;;Business participant Start Investigation;
Firm;Schedule Interview;Schedule;"Firm;Interview";Firm Schedule Interview;;Firm Schedule Interview;
No Magic;Send Reminder to Participants;Send;"No Magic;Reminder to Participants";No Magic Send Reminder to Participants;Sends;Magic|Reminder to Participants;
Seminar Coordinator;Prepare Seminar Description;Prepare;"Seminar Coordinator;Seminar Description";Seminar Coordinator Prepare Seminar Description;;Seminar Coordinator Prepare Seminar Description;
Key account manager;Send mail to support system;Send;"Key account manager;mail to support system";Key account manager Send mail to support system;Sends|supports;Key account manager|mail to|system;
Marketing Manager;Prepare Seminar Description;Prepare;"Marketing Manager;Seminar Description";Marketing Manager Prepare Seminar Description;;Marketing Manager Prepare Seminar Description;
Customer;Send credit request;Send;"Customer;credit request";Customer Send credit request;Sends;Customer|credit request;
Sales rep;Review request;Review;"Sales rep;Request";Sales rep Review request;;Sales rep Review request;
Reader;Make Reservation;Make;"Reader;Reservation";Reader Make Reservation;Makes;Reader|Reservation;
Nobel Committee Medicine;Write Recommendations Report;Write;"Nobel Committee Medicine;Recommendations Report";Nobel Committee Medicine Write Recommendations Report;;Nobel Committee Medicine Write Recommendations Report;
Sales staff;Develop proposal;Develop;"Sales staff;proposal";Sales staff Develop proposal;;Sales staff Develop proposal;
Trouble Ticket System;Edit 2nd level ticket;Edit;"Trouble Ticket System;2nd Level Ticket";Trouble Ticket System Edit 2nd level ticket;;Trouble Ticket System Edit 2nd level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handle;"2nd Level Support Agent;2nd level issue";2nd Level Support Agent Handle 2nd level issue;;2nd Level Support Agent Handle 2nd level issue;
No Magic;Make Internal Seminar Anoucement;Make;"No Magic;Seminar";No Magic Make Internal Seminar Anoucement;Makes;Magic|Internal Seminar Anoucement;
Business participant;Order from supplier;Order from;"Business participant;supplier";Business participant Order from supplier;;Business participant Order from supplier;
Organization;Check Availability;Check;"Organization;Availability";Organization Check Availability;Checks;Organization|Availability;
Warehouse;Pack Goods;Pack;"Warehouse;Goods";Warehouse Pack Goods;;Warehouse Pack Goods;
1st level support;Close Ticket;Close;"1st level support;Ticket";1st level support Close Ticket;supports;1st level|Close Ticket;
Business participant;Checkout Book;Checkout;"Business participant;Checkout";Business participant Checkout Book;;Business participant Checkout Book;
Firm;Interview;Interview;"Firm;nan";Firm Interview;;Firm Interview;
No Magic;Prepare Handouts;Prepare;"No Magic;Handouts";No Magic Prepare Handouts;;Magic Prepare Handouts;
Client;Select Car;Select;"Client;Car";Client Select Car;;Client Select Car;
Hardware Retailer;Check if extra insurance is necessary;Check;"Hardware Retailer;extra insurance";Hardware Retailer Check if extra insurance is necessary;is;Hardware Retailer Check|extra insurance;
Bank;Review request;Review;"Bank;Request";Bank Review request;;Bank Review request;
Recruiter;Submit Offer;Submit;"Recruiter;Offer";Recruiter Submit Offer;;Recruiter Submit Offer;
Marketing Manager;Prepare Handouts;Prepare;"Marketing Manager;Handouts";Marketing Manager Prepare Handouts;Prepares;Marketing Manager|Handouts;
1st level support;edit 1st level ticket;edit;"1st level support;1st level ticket";1st level support edit 1st level ticket;edits;1st level support|1st level ticket;
Business participant;Prepare Results;Prepare;"Business participant;Results";Business participant Prepare Results;Prepares;Business participant|Results;
Client;Enter User and Dates;Enter;"Client;User|Dates";Client Enter User and Dates;;Client Enter User|Dates;
Sales rep;Prepare contract;Prepare;"Sales rep;contract";Sales rep Prepare contract;Prepares;Sales rep|contract;
Business participant;Update Invoice;Update;"Business participant;Invoice";Business participant Update Invoice;;Business participant Update Invoice;
Recruiter;Reject Application;Reject;"Recruiter;Application";Recruiter Reject Application;;Recruiter Reject Application;
Nobel Committee Medicine;Collect Completed Forms;Collect;"Nobel Committee Medicine;Completed Forms";Nobel Committee Medicine Collect Completed Forms;;Nobel Committee Medicine Collect Completed Forms;
Business participant;Checkout Reply;Checkout;"Business participant;Reply";Business participant Checkout Reply;;Business participant Checkout Reply;
1st Level Support Agent;Note 1st level result;Note;"1st Level Support Agent;1st level result";1st Level Support Agent Note 1st level result;results;1st Level Support Agent Note 1st level;
Business participant;Email Voters that have to Change Votes;Email;"Business participant;Voters that have to Change Votes";Business participant Email Voters that have to Change Votes;has|Changes;Business participant Email Voters|Votes;
Marketing Manager;Evaluate Participants Number;Evaluate;"Marketing Manager;Participants Number";Marketing Manager Evaluate Participants Number;;Marketing Manager Evaluate Participants Number;
Marketing Manager;Send Reminder to Participants;Send;"Marketing Manager;Reminder to Participants";Marketing Manager Send Reminder to Participants;Sends;Marketing Manager|Reminder to Participants;
Service Contract Implementation Layer;Store in Statistical System;Store in;"Service Contract Implementation Layer;Statistical System";Service Contract Implementation Layer Store in Statistical System;;Service Contract Implementation Layer Store in Statistical System;
Sales staff;Change the terms of the offer;Change;"Sales staff;terms of the offer";Sales staff Change the terms of the offer;Changes;Sales staff|terms of the offer;
2nd level support;Insert Issue into Product Backlog;Insert;"2nd level support;Issue into Product Backlog";2nd level support Insert Issue into Product Backlog;;2nd level support Insert Issue into Product Backlog;
User;Use application;Use;"User;application";User Use application;;User Use application;
Support Department;Connect Remotely to Client;Connect;"Support Department;Client";Support Department Connect Remotely to Client;Connects;Support Department|Client;
1st Level Support Agent;Document 1st level result;Document;"1st Level Support Agent;1st level result";1st Level Support Agent Document 1st level result;results;1st Level Support Agent Document 1st level;
Bank;Assess risks;Assess;"Bank;risks";Bank Assess risks;;Bank Assess risks;
Trouble Ticket System;Edit 1st level ticket;Edit;"Trouble Ticket System;1st level ticket";Trouble Ticket System Edit 1st level ticket;;Trouble Ticket System Edit 1st level ticket;
Seminar Speaker;Prepare Talk Presentation;Prepare;"Seminar Speaker;Talk Presentation";Seminar Speaker Prepare Talk Presentation;Prepares;Seminar Speaker|Talk Presentation;
Sales Department;Book Travel;Book;"Sales Department;Travel";Sales Department Book Travel;;Sales Department Book Travel;
1st level support;Close ticket;Close;"1st level support;Ticket";1st level support Close ticket;supports;1st level|Close ticket;
No Magic;Open Seminar;Open;"No Magic;Seminar";No Magic Open Seminar;;Magic Open Seminar;
Sales rep;Send quote;Send;"Sales rep;quote";Sales rep Send quote;Sends;Sales rep;
Business participant;Reduce to Two Solutions;Reduce to;"Business participant;Solutions";Business participant Reduce to Two Solutions;Reduces to;Business participant|Two Solutions;
Pizza Customer;Order a pizza;Order;"Pizza Customer;pizza";Pizza Customer Order a pizza;Orders;Pizza Customer|pizza;
No Magic;Collect Questionnaries;Collect;"No Magic;Questionnaries";No Magic Collect Questionnaries;;Magic Collect Questionnaries;
Online Shop;Ship Goods;Ship;"Online Shop;Goods";Online Shop Ship Goods;;Online Shop Ship Goods;
Customer;Provide Customer Data;Provide;"Customer;Customer Data";Customer Provide Customer Data;Provides;Customer|Customer Data;
Bank;Calculate terms;Calculate;"Bank;terms";Bank Calculate terms;;Bank Calculate terms;
Bank;Prepare contract;Prepare;"Bank;contract";Bank Prepare contract;Prepares;Bank|contract;
No Magic;Close Seminar;Close;"No Magic;Close Seminar";No Magic Close Seminar;;Magic Close Seminar;
Business participant;Re-Announce Vote with Warning to Voting members;Re-Announce;"Business participant;Vote with Warning to Voting members";Business participant Re-Announce Vote with Warning to Voting members;;Business participant Re - Announce Vote with Warning to Voting members;
Librarian;Put Reservation to the Waiting List;Put;"Librarian;Reservation to the Waiting List";Librarian Put Reservation to the Waiting List;;Librarian Put Reservation to the Waiting List;
Sales Representative;Check Stock Level;Check;"Sales Representative;Stock Level";Sales Representative Check Stock Level;;Sales Representative Check Stock Level;
Recruiter;Collect Feedback;Collect;"Recruiter;Feedback";Recruiter Collect Feedback;Collects;Recruiter|Feedback;
Joan Doe;Assess risk;Assess;"Joan Doe;risk";Joan Doe Assess risk;Assesses;Joan Doe|risk;
Cab Driver;Complete Assignment;Complete;"Cab Driver;Assignment";Cab Driver Complete Assignment;;Cab Driver Complete Assignment;
Librarian;Register Loan;Register;"Librarian;Loan";Librarian Register Loan;;Librarian Register Loan;
Customer Service Assistant;Create Customer Account;Create;"Customer Service Assistant;Customer Account";Customer Service Assistant Create Customer Account;;Customer Service Assistant Create Customer Account;
Technician;Update Case Status;Update;"Technician;Case Status";Technician Update Case Status;;Technician Update Case Status;
Sales Department;Review request;Review;"Sales Department;Request";Sales Department Review request;;Sales Department Review request;
Seller;Fullfil the order;Fullfil;"Seller;order";Seller Fullfil the order;;Seller Fullfil the order;
Interviewer;Interview;Interview;"Interviewer;nan";Interviewer Interview;;Interviewer Interview;
1st level support;Send mail to account manager;Send;"1st level support;Mail to Account Manager";1st level support Send mail to account manager;Sends;1st level support|mail to account manager;
Reservation;Set Available Cars;Set;"Reservation;Available Cars";Reservation Set Available Cars;;Reservation Set Available Cars;
Recruiter;Review Application;Review;"Recruiter;application";Recruiter Review Application;;Recruiter Review Application;
Business participant;Review Issue List;Review;"Business participant;Issue List";Business participant Review Issue List;;Business participant Review Issue List;
Key account manager;Explain solution;Explain;"Key account manager;solution";Key account manager Explain solution;;Key account manager Explain solution;
Manager;Book Vacation;Book;"Manager;Vacation";Manager Book Vacation;;Manager Book Vacation;
Service Contract Implementation Layer;Resolve Communication Problem and Book Order;Resolve;"Service Contract Implementation Layer;Communication Problem|Book Order";Service Contract Implementation Layer Resolve Communication Problem and Book Order;;Service Contract Implementation Layer Resolve Communication Problem|Book Order;
Nobel Assembly;Select Laureates (Meeting 2);Select;"Nobel Assembly;Laureates|Meeting 2";Nobel Assembly Select Laureates (Meeting 2);;Nobel Assembly Select Laureates|Meeting 2;
Sales Department;Check Availability;Check;"Sales Department;Availability";Sales Department Check Availability;Checks;Sales Department|Availability;
Sales staff;Close an offer;Close;"Sales staff;offer";Sales staff Close an offer;Closes;Sales staff|offer;
Marketing Manager;Send Invitations to Customers;Send;"Marketing Manager;Invitations to Customers";Marketing Manager Send Invitations to Customers;;Marketing Manager Send Invitations to Customers;
System Communication;Store in Marketing System Client 200;Store in;"System Communication;Marketing System Client 200";System Communication Store in Marketing System Client 200;;System Communication Store in Marketing System Client 200;
Client;Show Reservation;Show;"Client;Reservation";Client Show Reservation;;Client Show Reservation;
Firm;Submit Offer;Submit;"Firm;Offer";Firm Submit Offer;;Firm Submit Offer;
Sales Representative;Request Pack Goods;Request;"Sales Representative;Pack Goods";Sales Representative Request Pack Goods;;Sales Representative Request Pack Goods;
Trouble Ticket System;Close ticket;Close;"Trouble Ticket System;Ticket";Trouble Ticket System Close ticket;;Trouble Ticket System Close ticket;
Marketing Manager;Register Participant;Register;"Marketing Manager;Participant";Marketing Manager Register Participant;;Marketing Manager Register Participant;
Aqua Distilled Water Company;Create Customer Account;Create;"Aqua Distilled Water Company;Customer Account";Aqua Distilled Water Company Create Customer Account;Creates;Aqua Distilled Water Company|Customer Account;
2nd Level Support Agent;Note 2nd level result;Note;"2nd Level Support Agent;2nd level result";2nd Level Support Agent Note 2nd level result;results;2nd Level Support Agent Note 2nd level;
2nd Level Support Agent;Handle 2nd Level Issue;Handle;"2nd Level Support Agent;2nd Level Issue";2nd Level Support Agent Handle 2nd Level Issue;;2nd Level Support Agent Handle 2nd Level Issue;
Car House;Get Client Information;Get;"Car House;Client Information";Car House Get Client Information;;Car House Get Client Information;
Support Department;Review & Escalate;Escalate;"Support Department;Review";Support Department Review & Escalate;Escalates;Support Department Review;
Support Department;Update Case Status;Update;"Support Department;Case Status";Support Department Update Case Status;;Support Department Update Case Status;
Firm;Collect Feedback;Collect;"Firm;Feedback";Firm Collect Feedback;Collects;Firm|Feedback;
Business participant;Receive Vote;Receive;"Business participant;Vote";Business participant Receive Vote;Receives;Business participant|Vote;
delivery boy;Deliver the pizza;Deliver;"delivery boy;pizza";delivery boy Deliver the pizza;Delivers;delivery boy|pizza;
Seminar Coordinator;Close Seminar;Close;"Seminar Coordinator;Seminar";Seminar Coordinator Close Seminar;;Seminar Coordinator Close Seminar;
Business participant;Send Invoice to Customer;Send;"Business participant;Invoice to Customer";Business participant Send Invoice to Customer;Sends;Business participant|Invoice to Customer;
Pizza Customer;Pay the pizza;Pay;"Pizza Customer;pizza";Pizza Customer Pay the pizza;Pays;Pizza Customer|pizza;
Clerk;Request quotes from carriers;Request;"Clerk;quotes from carriers";Clerk Request quotes from carriers;;Clerk Request quotes from carriers;
clerk;Calm customer;Calm;"clerk;Customer";clerk Calm customer;;clerk Calm customer;
Business participant;Inform Customer about Overdue Payment;Inform;"Business participant;Customer about Overdue Payment";Business participant Inform Customer about Overdue Payment;Informs;Business participant|Customer about Overdue Payment;
Online Shop;Request Pack Goods;Request;"Online Shop;Pack Goods";Online Shop Request Pack Goods;;Online Shop Request Pack Goods;
1st level support;Open ticket;Open;"1st level support;Ticket";1st level support Open ticket;supports;1st level|Open ticket;
Developer;Notify user;Notify;"Developer;user";Developer Notify user;Notifies;Developer|user;
Sales staff;Send an offer to the client;Send;"Sales staff;offer to the client";Sales staff Send an offer to the client;Sends;Sales staff|offer to the client;
Trouble Ticket System;Edit 1st Level Ticket;Edit;"Trouble Ticket System;1st level ticket";Trouble Ticket System Edit 1st Level Ticket;;Trouble Ticket System Edit 1st Level Ticket;
Sales staff;Fullfil the order;Fullfil;"Sales staff;order";Sales staff Fullfil the order;;Sales staff Fullfil the order;
Reader;Use Item;Use;"Reader;Item";Reader Use Item;;Reader Use Item;
Car House;Submit Car Reservation;Submit;"Car House;Car Reservation";Car House Submit Car Reservation;Submits;Car House|Car Reservation;
Expert;Send Candidates Assessment Report;Send;"Expert;Candidates Assessment Report";Expert Send Candidates Assessment Report;;Expert Send Candidates Assessment Report;
Customer Service Assistant;Verify Customer Identity;Verify;"Customer Service Assistant;Customer Identity";Customer Service Assistant Verify Customer Identity;;Customer Service Assistant Verify Customer Identity;
delivery boy;Receive payment;Receive;"delivery boy;payment";delivery boy Receive payment;Receives;delivery boy|payment;
Online Shop;Pack Goods;Pack;"Online Shop;Goods";Online Shop Pack Goods;;Online Shop Pack Goods;
Business participant;Announce Issues;Announce;"Business participant;Issues";Business participant Announce Issues;;Business participant Announce Issues;
Support Manager;Update Client on Delay;Update;"Support Manager;Client on Delay";Support Manager Update Client on Delay;;Support Manager Update Client on Delay;
Storyboard;Storyboard (full day);;Storyboard Storyboard|full day;Storyboard Storyboard (full day);;Storyboard Storyboard|full day;
Building;Site is developed (2 days);is developed;"Building;Site|2 days";Building Site is developed (2 days);Buildings|develops;Site|days;
Building;Site design (10 days);;Building Site design|10 days;Building Site design (10 days);;Building Site design|days;
Building;Building (3 days);;Building Building|3 days;Building Building (3 days);;Building Building|days;
review;review activity (1 day);;review review activity|1 day;review review activity (1 day);;review review activity|day;
end;approval of the site (half a day);;end approval of the site|day;end approval of the site (half a day);ends;approval of the site|day;
Charles (admi);adds incoming mail date, records letter, archives it;adds;"Charles (admi);incoming mail date|records letter|archives";Charles (admi) adds incoming mail date, records letter, archives it;adds|archives;Charles|admi|incoming mail date|records letter;
Charles (admi);tel call to sender to complete;;Charles (admi) tel call|sender;Charles (admi) tel call to sender to complete;senders|completes;Charles|admi|tel call to;
Charles (admi);empties & checks the mails in the mailbox;empties|checks;"Charles (admi);mails in the mailbox";Charles (admi) empties & checks the mails in the mailbox;empties|checks;Charles|admi|mails in the mailbox;
Charles (admi);adds new member to the member register;adds;"Charles (admi);new member to the member register";Charles (admi) adds new member to the member register;adds|registers;Charles|admi|new member to the member;
Charles (admi);sends a letter to person and explaines why not;sends;"Charles (admi);Charles|letter to person";Charles (admi) sends a letter to person and explaines why not;sends|explains;Charles|admi|letter to person;
Charles (admi);adds in the member register;adds in;"Charles (admi);member register";Charles (admi) adds in the member register;adds in|registers;Charles|admi|member;
Charles (admi);prepare invoices&send a letter to customer;"prepares;sends";"Charles (admi);Invoices;a letter to customer";Charles (admi) prepare invoices&send a letter to customer;prepares;Charles|admi|invoices&send a letter to customer;
Charles (admi);prints a membership card&send to new customer;"prints;sends to";"Charles (admi);membership card;new customer";Charles (admi) prints a membership card&send to new customer;prints;Charles|admi|membership card&send to new customer;
Miranda;will decide if member or not;decides;"Miranda;member";Miranda will decide if member or not;decides;Miranda|member;
Miranda;stamps 'new member'&writes the date;"stamps;writes";"Miranda;new member;date";Miranda stamps 'new member'&writes the date;;Miranda stamps' new member'&writes the date;
Miranda;calculates fees for the new members;calculates;"Miranda;fees for the new members";Miranda calculates fees for the new members;calculates;Miranda|fees for the new members;
customer;payments will transfer;wills transfer;"customer;payments";customer payments will transfer;transfers;customer payments;
customer;Receive membership card;receives;"customer;membership card";customer Receive membership card;Receives;customer|membership card;
Customer;Inquire about availability of products;inquires about;"Customer;availability of products";Customer Inquire about availability of products;Inquires about;Customer|availability of products;
Customer;Submit purchase order;submits;"Customer;purchase order";Customer Submit purchase order;;Customer Submit purchase order;
Customer;Send payment;sends;"Customer;payment";Customer Send payment;Sends;Customer|payment;
Accounting;Prepare invoice;prepares;"Accounting;invoice";Accounting Prepare invoice;;Accounting Prepare invoice;
Accounting;Process payment;processes;"Accounting;payment";Accounting Process payment;;Accounting Process payment;
Accounting;Send reminder to customer;sends;"Accounting;reminder to customer";Accounting Send reminder to customer;Sends;Accounting|reminder to customer;
Sales;Create and submit the quotation;creates|submits;"Sales;quotation";Sales Create and submit the quotation;Creates|submits;Sales|quotation;
Sales;Create sales order;creates;"Sales;sales order";Sales Create sales order;Creates;Sales|sales order;
Warehouse;Backorder missing items;backorders;"Warehouse;missing items";Warehouse Backorder missing items;misses;Warehouse Backorder|items;
Warehouse;Update sales order;updates;"Warehouse;sales order";Warehouse Update sales order;;Warehouse Update sales order;
Supplier;Assemble shipment and packing list;assembles;"Supplier;shipment|packing list";Supplier Assemble shipment and packing list;Assembles;Supplier|shipment|packing list;
Accounting;Enter PO Information;enters;"Accounting;PO Information";Accounting Enter PO Information;Accountings Enter;PO Information;
Accounting;Enter goods receipt information;enters;"Accounting;goods receipt information";Accounting Enter goods receipt information;;Accounting Enter goods receipt information;
Accounting;Verify invoice accuracy;verifies;"Accounting;invoice accuracy";Accounting Verify invoice accuracy;;Accounting Verify invoice accuracy;
Purchasing;Select a suitable vendor and send purchase order;selects;"Purchasing;suitable vendor|purchase order";Purchasing Select a suitable vendor and send purchase order;Purchasings Select|sends;suitable vendor|purchase order;
Warehouse;Request for more stock;requests for;"Warehouse;more stock";Warehouse Request for more stock;;Warehouse Request for more stock;
Customer;Send inquiry;sends;"Customer;inquiry";Customer Send inquiry;Sends;Customer|inquiry;
Customer;Fill out application form;fills out;"Customer;application form";Customer Fill out application form;Fills out;Customer|application form;
Customer;Process documents;processes;"Customer;documents";Customer Process documents;;Customer Process documents;
Supervisor;Expedite the assessment process;expedites;"Supervisor;assessment process";Supervisor Expedite the assessment process;;Supervisor Expedite the assessment process;
CSR;Send mortgage application form;sends;"CSR;mortgage application form";CSR Send mortgage application form;Sends;CSR|mortgage application form;
CSR;Review application form;reviews;"CSR;application form";CSR Review application form;;CSR Review application form;
CSR;Send a reminder to customer;sends;"CSR;reminder to customer";CSR Send a reminder to customer;Sends;CSR|reminder to customer;
CSR;Inform customer and close transaction;"informs;closes";"CSR;Customer;transaction";CSR Inform customer and close transaction;;CSR Inform customer|close transaction;
Mortgage Specialist;Inform customer of rejection;informs;"Mortgage Specialist;customer of rejection";Mortgage Specialist Inform customer of rejection;;Mortgage Specialist Inform customer of rejection;
Mortgage Specialist;Archive details;archives;"Mortgage Specialist;details";Mortgage Specialist Archive details;;Mortgage Specialist Archive details;
Customer;Submit insurance claim;submits;"Customer;insurance claim";Customer Submit insurance claim;;Customer Submit insurance claim;
Customer;Supply more information;supplies;"Customer;more information";Customer Supply more information;Supplies;Customer|more information;
Supervisor;Review the claim;reviews;"Supervisor;claim";Supervisor Review the claim;;Supervisor Review the claim;
Supervisor;Decide to accept or reject claim;decides;"Supervisor;claim";Supervisor Decide to accept or reject claim;Decides|accepts|rejects;Supervisor|claim;
Claim Adjuster;Review the claim;reviews;"Claim Adjuster;claim";Claim Adjuster Review the claim;Claims;Adjuster Review the claim;
Claim Adjuster;Decide to accept or reject claim;decides;"Claim Adjuster;claim";Claim Adjuster Decide to accept or reject claim;Claims|accepts|rejects;Adjuster Decide to|claim;
Claim Adjuster;Send to supervisor for review;sends to;"Claim Adjuster;supervisor for review";Claim Adjuster Send to supervisor for review;Claims|supervisors for;Adjuster Send to|review;
Claim Adjuster;Inform customer of rejection reasons;informs;"Claim Adjuster;customer of rejection reasons";Claim Adjuster Inform customer of rejection reasons;Claims;Adjuster Inform customer of rejection reasons;
Claim Adjuster;Send claim payment to customer;sends;"Claim Adjuster;claim payment to customer";Claim Adjuster Send claim payment to customer;Claims|claims;Adjuster Send|payment to customer;
Customer Service;Review the claim;reviews;"Customer Service;claim";Customer Service Review the claim;;Customer Service Review the claim;
Customer Service;Contact customer for details;contacts;"Customer Service;customer for details";Customer Service Contact customer for details;;Customer Service Contact customer for details;
Customer Service;Forward claim to claim adjuster;forwards;"Customer Service;Claim to claim adjuster";Customer Service Forward claim to claim adjuster;claims|claims;Customer Service Forward|adjuster;
Customer;Bring computer to ACM and describe problem;"brings;describes";"Customer;computer to ACM;problem";Customer Bring computer to ACM and describe problem;Brings|describes;Customer|computer to ACM|problem;
Customer;Authorize the repair;authorizes;"Customer;repair";Customer Authorize the repair;Authorizes;Customer|repair;
Customer;Take computer back;takes;"Customer;computer";Customer Take computer back;Takes;Customer|computer;
Technician;Diagnose the problem;diagnoses;"Technician;problem";Technician Diagnose the problem;Diagnoses;Technician|problem;
Technician;Ask Store Owner to complete the repair;asks;"Technician;Store Owner";Technician Ask Store Owner to complete the repair;completes;Technician Ask Store Owner to|repair;
Technician;Complete the repair and test computer;"completes;tests";"Technician;Repair;computer";Technician Complete the repair and test computer;Completes;Technician|repair|test computer;
Technician;File a report about the repair;files;"Technician;report about the repair";Technician File a report about the repair;;Technician File a report about the repair;
Store Owner;Create estimate of repair time and cost;creates;"Store Owner;estimate of repair time|cost";Store Owner Create estimate of repair time and cost;;Store Owner Create estimate of repair time|cost;
Store Owner;Assign a technician to repair the problem;assigns;"Store Owner;technician|problem";Store Owner Assign a technician to repair the problem;Assigns|repairs;Store Owner|technician to|problem;
Store Owner;Complete repair and test computer;"completes;tests";"Store Owner;Repair;computer";Store Owner Complete repair and test computer;;Store Owner Complete repair|test computer;
Store Owner;File a report about the repair;files;"Store Owner;report about the repair";Store Owner File a report about the repair;;Store Owner File a report about the repair;
Store Owner;Inform customer of repair completion;informs;"Store Owner;customer of repair completion";Store Owner Inform customer of repair completion;Informs;Store Owner|customer of repair completion;
Store Owner;Inform customer of inability to fix;informs;"Store Owner;customer of inability";Store Owner Inform customer of inability to fix;Informs|fixes;Store Owner|customer of inability to;
lecturer;check process model;checks;"lecturer;process model";lecturer check process model;;lecturer check process model;
lecturer;assign negative points;assigns;"lecturer;negative points";lecturer assign negative points;assigns;lecturer|negative points;
lecturer;check the process and assign points;"checks;assigns";"lecturer;Process;points";lecturer check the process and assign points;checks|assigns;lecturer|process|points;
lecturer;check the progress and consult problems;"checks;consults";"lecturer;Progress;problems";lecturer check the progress and consult problems;checks|consults;lecturer|progress|problems;
team;agree on team domain;agrees on;"team;team domain";team agree on team domain;agrees on;team|team domain;
team;analyse the field of study;analyses;"team;field of study";team analyse the field of study;analyses;team|field of study;
team;assign roles in the tem;assigns;"team;roles in the tem";team assign roles in the tem;assigns;team|roles in the tem;
team;present the project;presents;"team;project";team present the project;presents;team|project;
student;join team;joins;"student;team";student join team;joins;student|team;
student;create one process model;creates;"student;process model";student create one process model;creates;student|process model;
student;fix the problem at the next seasion;fixes;"student;problem at the next seasion";student fix the problem at the next seasion;fixes;student|problem at the next seasion;
student;extend the process to L2,3;extends;"student;process to L2";student extend the process to L2,3;extends;student|process;
student;perform work according to role;performs;"student;work|role";student perform work according to role;performs|accords to;student|work|role;
