Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
Car House;Get Confirmation;Get;"Car House;Confirmation";Car House Get Confirmation;gets;car house|confirmation;
Trouble Ticket System;Open Ticket;Open;"Trouble Ticket System;ticket";Trouble Ticket System Open Ticket;;trouble ticket system open ticket;
Organization;Indicate Price;Indicate;"Organization;Price";Organization Indicate Price;indicates;organization|price;
Trouble Ticket System;Insert Issue into Product Backlog;Insert;"Trouble Ticket System;Issue into Product Backlog";Trouble Ticket System Insert Issue into Product Backlog;;trouble ticket system insert issue into product backlog;
Seminar Coordinator;Open Seminar;Open;"Seminar Coordinator;Seminar";Seminar Coordinator Open Seminar;;seminar coordinator open seminar;
Business participant;Prepare Invoice;Prepare;"Business participant;Invoice";Business participant Prepare Invoice;prepares;business participant|invoice;
Service Contract Implementation Layer;Book Order;Book;"Service Contract Implementation Layer;Order";Service Contract Implementation Layer Book Order;;service contract implementation layer book order;
Service Contract Implementation Layer;Store in Marketing System Client 100;Store in;"Service Contract Implementation Layer;Marketing System Client";Service Contract Implementation Layer Store in Marketing System Client 100;;service contract implementation layer store in marketing system client 100;
Technician;Connect Remotely to Client;Connect;"Technician;Client";Technician Connect Remotely to Client;connects;technician|client;
Reader;Get Item;Get;"Reader;Item";Reader Get Item;gets;reader|item;
Administrative Department;Check Solvency;Check;"Administrative Department;Solvency";Administrative Department Check Solvency;checks;administrative department|solvency;
Seminar Coordinator;Send Invitations to Customers;Send;"Seminar Coordinator;Invitations to Customers";Seminar Coordinator Send Invitations to Customers;sends;seminar coordinator|invitations to customers;
Support Department;Acknowledge;Acknowledge;"Support Department;nan";Support Department Acknowledge;;support department acknowledge;
Aqua Distilled Water Company;Forward Order;Forward;"Aqua Distilled Water Company;Order";Aqua Distilled Water Company Forward Order;##lleds;aqua disti|water company forward order;
1st level support;Edit 1st Level Ticket;Edit;"1st level support;1st Level|Ticket";1st level support Edit 1st Level Ticket;;1st level support edit 1st level ticket;
Software developer;Examine problem;Examine;"Software developer;problem";Software developer Examine problem;examines;software developer|problem;
Seller;Close an offer;Close;"Seller;offer";Seller Close an offer;closes;seller|offer;
Seminar Coordinator;Publish Seminar Description in Website;Publish;"Seminar Coordinator;Seminar Description in Website";Seminar Coordinator Publish Seminar Description in Website;publishes;seminar coordinator|seminar description in website;
Business participant;Start Investigation;Start;"Business participant;Investigation";Business participant Start Investigation;;business participant start investigation;
Firm;Schedule Interview;Schedule;"Firm;Interview";Firm Schedule Interview;;firm schedule interview;
No Magic;Send Reminder to Participants;Send;"No Magic;Reminder to Participants";No Magic Send Reminder to Participants;sends;magic|reminder to participants;
Seminar Coordinator;Prepare Seminar Description;Prepare;"Seminar Coordinator;Seminar Description";Seminar Coordinator Prepare Seminar Description;prepares;seminar coordinator|seminar description;
Key account manager;Send mail to support system;Send;"Key account manager;mail to support system";Key account manager Send mail to support system;sends;key account manager|mail to support system;
Marketing Manager;Prepare Seminar Description;Prepare;"Marketing Manager;Seminar Description";Marketing Manager Prepare Seminar Description;prepares;marketing manager|seminar description;
Customer;Send credit request;Send;"Customer;credit request";Customer Send credit request;sends;customer|credit request;
Sales rep;Review request;Review;"Sales rep;Request";Sales rep Review request;;sales rep review request;
Reader;Make Reservation;Make;"Reader;Reservation";Reader Make Reservation;makes;reader|reservation;
Nobel Committee Medicine;Write Recommendations Report;Write;"Nobel Committee Medicine;Recommendations Report";Nobel Committee Medicine Write Recommendations Report;writes;nobel committee medicine|recommendations report;
Sales staff;Develop proposal;Develop;"Sales staff;proposal";Sales staff Develop proposal;develops;sales staff|proposal;
Trouble Ticket System;Edit 2nd level ticket;Edit;"Trouble Ticket System;2nd Level Ticket";Trouble Ticket System Edit 2nd level ticket;edits;trouble ticket system|2nd level ticket;
2nd Level Support Agent;Handle 2nd level issue;Handle;"2nd Level Support Agent;2nd level issue";2nd Level Support Agent Handle 2nd level issue;handles;2nd level support agent|2nd level issue;
No Magic;Make Internal Seminar Anoucement;Make;"No Magic;Seminar";No Magic Make Internal Seminar Anoucement;makes;magic|internal seminar anoucement;
Business participant;Order from supplier;Order from;"Business participant;supplier";Business participant Order from supplier;;business participant order from supplier;
Organization;Check Availability;Check;"Organization;Availability";Organization Check Availability;;organization check availability;
Warehouse;Pack Goods;Pack;"Warehouse;Goods";Warehouse Pack Goods;;warehouse pack goods;
1st level support;Close Ticket;Close;"1st level support;Ticket";1st level support Close Ticket;;1st level support close ticket;
Business participant;Checkout Book;Checkout;"Business participant;Checkout";Business participant Checkout Book;;business participant checkout book;
Firm;Interview;Interview;"Firm;nan";Firm Interview;;firm interview;
No Magic;Prepare Handouts;Prepare;"No Magic;Handouts";No Magic Prepare Handouts;prepares;magic|handouts;
Client;Select Car;Select;"Client;Car";Client Select Car;selects;client|car;
Hardware Retailer;Check if extra insurance is necessary;Check;"Hardware Retailer;extra insurance";Hardware Retailer Check if extra insurance is necessary;checks;hardware retailer|extra insurance;
Bank;Review request;Review;"Bank;Request";Bank Review request;;bank review request;
Recruiter;Submit Offer;Submit;"Recruiter;Offer";Recruiter Submit Offer;submits;recruiter|offer;
Marketing Manager;Prepare Handouts;Prepare;"Marketing Manager;Handouts";Marketing Manager Prepare Handouts;prepares;marketing manager|handouts;
1st level support;edit 1st level ticket;edit;"1st level support;1st level ticket";1st level support edit 1st level ticket;;1st level support edit 1st level ticket;
Business participant;Prepare Results;Prepare;"Business participant;Results";Business participant Prepare Results;prepares;business participant|results;
Client;Enter User and Dates;Enter;"Client;User|Dates";Client Enter User and Dates;enters;client|user|dates;
Sales rep;Prepare contract;Prepare;"Sales rep;contract";Sales rep Prepare contract;prepares;sales rep|contract;
Business participant;Update Invoice;Update;"Business participant;Invoice";Business participant Update Invoice;;business participant update invoice;
Recruiter;Reject Application;Reject;"Recruiter;Application";Recruiter Reject Application;rejects;recruiter|application;
Nobel Committee Medicine;Collect Completed Forms;Collect;"Nobel Committee Medicine;Completed Forms";Nobel Committee Medicine Collect Completed Forms;collects completed;nobel committee medicine|forms;
Business participant;Checkout Reply;Checkout;"Business participant;Reply";Business participant Checkout Reply;;business participant checkout reply;
1st Level Support Agent;Note 1st level result;Note;"1st Level Support Agent;1st level result";1st Level Support Agent Note 1st level result;;1st level support agent note 1st level result;
Business participant;Email Voters that have to Change Votes;Email;"Business participant;Voters that have to Change Votes";Business participant Email Voters that have to Change Votes;has|changes;business participant email voters|votes;
Marketing Manager;Evaluate Participants Number;Evaluate;"Marketing Manager;Participants Number";Marketing Manager Evaluate Participants Number;evaluates;marketing manager|participants number;
Marketing Manager;Send Reminder to Participants;Send;"Marketing Manager;Reminder to Participants";Marketing Manager Send Reminder to Participants;sends;marketing manager|reminder to participants;
Service Contract Implementation Layer;Store in Statistical System;Store in;"Service Contract Implementation Layer;Statistical System";Service Contract Implementation Layer Store in Statistical System;;service contract implementation layer store in statistical system;
Sales staff;Change the terms of the offer;Change;"Sales staff;terms of the offer";Sales staff Change the terms of the offer;changes;sales staff|terms of the offer;
2nd level support;Insert Issue into Product Backlog;Insert;"2nd level support;Issue into Product Backlog";2nd level support Insert Issue into Product Backlog;;2nd level support insert issue into product backlog;
User;Use application;Use;"User;application";User Use application;;user use application;
Support Department;Connect Remotely to Client;Connect;"Support Department;Client";Support Department Connect Remotely to Client;connects;support department|client;
1st Level Support Agent;Document 1st level result;Document;"1st Level Support Agent;1st level result";1st Level Support Agent Document 1st level result;;1st level support agent document 1st level result;
Bank;Assess risks;Assess;"Bank;risks";Bank Assess risks;assesses;bank|risks;
Trouble Ticket System;Edit 1st level ticket;Edit;"Trouble Ticket System;1st level ticket";Trouble Ticket System Edit 1st level ticket;;trouble ticket system edit 1st level ticket;
Seminar Speaker;Prepare Talk Presentation;Prepare;"Seminar Speaker;Talk Presentation";Seminar Speaker Prepare Talk Presentation;prepares;seminar speaker|talk presentation;
Sales Department;Book Travel;Book;"Sales Department;Travel";Sales Department Book Travel;;sales department book travel;
1st level support;Close ticket;Close;"1st level support;Ticket";1st level support Close ticket;;1st level support close ticket;
No Magic;Open Seminar;Open;"No Magic;Seminar";No Magic Open Seminar;;magic open seminar;
Sales rep;Send quote;Send;"Sales rep;quote";Sales rep Send quote;sends;sales rep|quote;
Business participant;Reduce to Two Solutions;Reduce to;"Business participant;Solutions";Business participant Reduce to Two Solutions;reduces to;business participant|solutions;
Pizza Customer;Order a pizza;Order;"Pizza Customer;pizza";Pizza Customer Order a pizza;orders;pizza customer|pizza;
No Magic;Collect Questionnaries;Collect;"No Magic;Questionnaries";No Magic Collect Questionnaries;collects;magic|questionnaries;
Online Shop;Ship Goods;Ship;"Online Shop;Goods";Online Shop Ship Goods;;online shop ship goods;
Customer;Provide Customer Data;Provide;"Customer;Customer Data";Customer Provide Customer Data;provides;customer|customer data;
Bank;Calculate terms;Calculate;"Bank;terms";Bank Calculate terms;calculates;bank|terms;
Bank;Prepare contract;Prepare;"Bank;contract";Bank Prepare contract;prepares;bank|contract;
No Magic;Close Seminar;Close;"No Magic;Close Seminar";No Magic Close Seminar;;magic close seminar;
Business participant;Re-Announce Vote with Warning to Voting members;Re-Announce;"Business participant;Vote with Warning to Voting members";Business participant Re-Announce Vote with Warning to Voting members;res|announces;business participant|vote with warning to voting members;
Librarian;Put Reservation to the Waiting List;Put;"Librarian;Reservation to the Waiting List";Librarian Put Reservation to the Waiting List;puts;librarian|reservation to the waiting list;
Sales Representative;Check Stock Level;Check;"Sales Representative;Stock Level";Sales Representative Check Stock Level;;sales representative check stock level;
Recruiter;Collect Feedback;Collect;"Recruiter;Feedback";Recruiter Collect Feedback;collects;recruiter|feedback;
Joan Doe;Assess risk;Assess;"Joan Doe;risk";Joan Doe Assess risk;assesses;joan doe|risk;
Cab Driver;Complete Assignment;Complete;"Cab Driver;Assignment";Cab Driver Complete Assignment;;cab driver complete assignment;
Librarian;Register Loan;Register;"Librarian;Loan";Librarian Register Loan;;librarian register loan;
Customer Service Assistant;Create Customer Account;Create;"Customer Service Assistant;Customer Account";Customer Service Assistant Create Customer Account;creates;customer service assistant|customer account;
Technician;Update Case Status;Update;"Technician;Case Status";Technician Update Case Status;;technician update case status;
Sales Department;Review request;Review;"Sales Department;Request";Sales Department Review request;;sales department review request;
Seller;Fullfil the order;Fullfil;"Seller;order";Seller Fullfil the order;;seller fullfil the order;
Interviewer;Interview;Interview;"Interviewer;nan";Interviewer Interview;;interviewer interview;
1st level support;Send mail to account manager;Send;"1st level support;Mail to Account Manager";1st level support Send mail to account manager;sends;1st level support|mail to account manager;
Reservation;Set Available Cars;Set;"Reservation;Available Cars";Reservation Set Available Cars;;reservation set available cars;
Recruiter;Review Application;Review;"Recruiter;application";Recruiter Review Application;;recruiter review application;
Business participant;Review Issue List;Review;"Business participant;Issue List";Business participant Review Issue List;;business participant review issue list;
Key account manager;Explain solution;Explain;"Key account manager;solution";Key account manager Explain solution;explains;key account manager|solution;
Manager;Book Vacation;Book;"Manager;Vacation";Manager Book Vacation;;manager book vacation;
Service Contract Implementation Layer;Resolve Communication Problem and Book Order;Resolve;"Service Contract Implementation Layer;Communication Problem|Book Order";Service Contract Implementation Layer Resolve Communication Problem and Book Order;resolves;service contract implementation layer|communication problem|book order;
Nobel Assembly;Select Laureates (Meeting 2);Select;"Nobel Assembly;Laureates|Meeting 2";Nobel Assembly Select Laureates (Meeting 2);selects;nobel assembly|laureates|meeting 2;
Sales Department;Check Availability;Check;"Sales Department;Availability";Sales Department Check Availability;;sales department check availability;
Sales staff;Close an offer;Close;"Sales staff;offer";Sales staff Close an offer;closes;sales staff|offer;
Marketing Manager;Send Invitations to Customers;Send;"Marketing Manager;Invitations to Customers";Marketing Manager Send Invitations to Customers;sends;marketing manager|invitations to customers;
System Communication;Store in Marketing System Client 200;Store in;"System Communication;Marketing System Client 200";System Communication Store in Marketing System Client 200;;system communication store in marketing system client 200;
Client;Show Reservation;Show;"Client;Reservation";Client Show Reservation;;client show reservation;
Firm;Submit Offer;Submit;"Firm;Offer";Firm Submit Offer;;firm submit offer;
Sales Representative;Request Pack Goods;Request;"Sales Representative;Pack Goods";Sales Representative Request Pack Goods;;sales representative request pack goods;
Trouble Ticket System;Close ticket;Close;"Trouble Ticket System;Ticket";Trouble Ticket System Close ticket;;trouble ticket system close ticket;
Marketing Manager;Register Participant;Register;"Marketing Manager;Participant";Marketing Manager Register Participant;registers;marketing manager|participant;
Aqua Distilled Water Company;Create Customer Account;Create;"Aqua Distilled Water Company;Customer Account";Aqua Distilled Water Company Create Customer Account;##lleds|creates;aqua disti|water company|customer account;
2nd Level Support Agent;Note 2nd level result;Note;"2nd Level Support Agent;2nd level result";2nd Level Support Agent Note 2nd level result;;2nd level support agent note 2nd level result;
2nd Level Support Agent;Handle 2nd Level Issue;Handle;"2nd Level Support Agent;2nd Level Issue";2nd Level Support Agent Handle 2nd Level Issue;handles;2nd level support agent|2nd level issue;
Car House;Get Client Information;Get;"Car House;Client Information";Car House Get Client Information;gets;car house|client information;
Support Department;Review & Escalate;Escalate;"Support Department;Review";Support Department Review & Escalate;escalates;support department review;
Support Department;Update Case Status;Update;"Support Department;Case Status";Support Department Update Case Status;;support department update case status;
Firm;Collect Feedback;Collect;"Firm;Feedback";Firm Collect Feedback;collects;feedback;
Business participant;Receive Vote;Receive;"Business participant;Vote";Business participant Receive Vote;receives;business participant|vote;
delivery boy;Deliver the pizza;Deliver;"delivery boy;pizza";delivery boy Deliver the pizza;delivers;delivery boy|pizza;
Seminar Coordinator;Close Seminar;Close;"Seminar Coordinator;Seminar";Seminar Coordinator Close Seminar;;seminar coordinator close seminar;
Business participant;Send Invoice to Customer;Send;"Business participant;Invoice to Customer";Business participant Send Invoice to Customer;sends;business participant|invoice to customer;
Pizza Customer;Pay the pizza;Pay;"Pizza Customer;pizza";Pizza Customer Pay the pizza;pays;pizza customer|pizza;
Clerk;Request quotes from carriers;Request;"Clerk;quotes from carriers";Clerk Request quotes from carriers;;clerk request quotes from carriers;
clerk;Calm customer;Calm;"clerk;Customer";clerk Calm customer;;clerk calm customer;
Business participant;Inform Customer about Overdue Payment;Inform;"Business participant;Customer about Overdue Payment";Business participant Inform Customer about Overdue Payment;informs;business participant|customer about overdue payment;
Online Shop;Request Pack Goods;Request;"Online Shop;Pack Goods";Online Shop Request Pack Goods;;online shop request pack goods;
1st level support;Open ticket;Open;"1st level support;Ticket";1st level support Open ticket;supports;1st level|open ticket;
Developer;Notify user;Notify;"Developer;user";Developer Notify user;notifies;developer|user;
Sales staff;Send an offer to the client;Send;"Sales staff;offer to the client";Sales staff Send an offer to the client;sends;sales staff|offer to the client;
Trouble Ticket System;Edit 1st Level Ticket;Edit;"Trouble Ticket System;1st level ticket";Trouble Ticket System Edit 1st Level Ticket;;trouble ticket system edit 1st level ticket;
Sales staff;Fullfil the order;Fullfil;"Sales staff;order";Sales staff Fullfil the order;##ls;sales staff fullfi|order;
Reader;Use Item;Use;"Reader;Item";Reader Use Item;;reader use item;
Car House;Submit Car Reservation;Submit;"Car House;Car Reservation";Car House Submit Car Reservation;submits;car house|car reservation;
Expert;Send Candidates Assessment Report;Send;"Expert;Candidates Assessment Report";Expert Send Candidates Assessment Report;sends;expert|candidates assessment report;
Customer Service Assistant;Verify Customer Identity;Verify;"Customer Service Assistant;Customer Identity";Customer Service Assistant Verify Customer Identity;verifies;customer service assistant|customer identity;
delivery boy;Receive payment;Receive;"delivery boy;payment";delivery boy Receive payment;receives;delivery boy|payment;
Online Shop;Pack Goods;Pack;"Online Shop;Goods";Online Shop Pack Goods;;online shop pack goods;
Business participant;Announce Issues;Announce;"Business participant;Issues";Business participant Announce Issues;announces;business participant|issues;
Support Manager;Update Client on Delay;Update;"Support Manager;Client on Delay";Support Manager Update Client on Delay;;support manager update client on delay;
Storyboard;Storyboard (full day);;Storyboard Storyboard|full day;Storyboard Storyboard (full day);;storyboard storyboard|full day;
Building;Site is developed (2 days);is developed;"Building;Site|2 days";Building Site is developed (2 days);develops;building site|days;
Building;Site design (10 days);;Building Site design|10 days;Building Site design (10 days);;building site design|days;
Building;Building (3 days);;Building Building|3 days;Building Building (3 days);;building building|days;
review;review activity (1 day);;review review activity|1 day;review review activity (1 day);;review review activity|day;
end;approval of the site (half a day);;end approval of the site|day;end approval of the site (half a day);;end approval of the site|day;
Charles (admi);adds incoming mail date, records letter, archives it;adds;"Charles (admi);incoming mail date|records letter|archives";Charles (admi) adds incoming mail date, records letter, archives it;adds incoming|records|archives;charles|admi|mail date|letter;
Charles (admi);tel call to sender to complete;;Charles (admi) tel call|sender;Charles (admi) tel call to sender to complete;tels|completes;charles|admi|call to sender to;
Charles (admi);empties & checks the mails in the mailbox;empties|checks;"Charles (admi);mails in the mailbox";Charles (admi) empties & checks the mails in the mailbox;empties|checks;charles|admi|mails in the mailbox;
Charles (admi);adds new member to the member register;adds;"Charles (admi);new member to the member register";Charles (admi) adds new member to the member register;adds;charles|admi|new member to the member register;
Charles (admi);sends a letter to person and explaines why not;sends;"Charles (admi);Charles|letter to person";Charles (admi) sends a letter to person and explaines why not;sends|explains;charles|admi|letter to person;
Charles (admi);adds in the member register;adds in;"Charles (admi);member register";Charles (admi) adds in the member register;adds in;charles|admi|member register;
Charles (admi);prepare invoices&send a letter to customer;"prepares;sends";"Charles (admi);Invoices;a letter to customer";Charles (admi) prepare invoices&send a letter to customer;prepares|sends;charles|admi|invoices|letter to customer;
Charles (admi);prints a membership card&send to new customer;"prints;sends to";"Charles (admi);membership card;new customer";Charles (admi) prints a membership card&send to new customer;prints|sends to;charles|admi|membership card|new customer;
Miranda;will decide if member or not;decides;"Miranda;member";Miranda will decide if member or not;decides;miranda|member;
Miranda;stamps 'new member'&writes the date;"stamps;writes";"Miranda;new member;date";Miranda stamps 'new member'&writes the date;stamps|writes;miranda|new member|date;
Miranda;calculates fees for the new members;calculates;"Miranda;fees for the new members";Miranda calculates fees for the new members;calculates;miranda|fees for the new members;
customer;payments will transfer;wills transfer;"customer;payments";customer payments will transfer;transfers;customer payments;
customer;Receive membership card;receives;"customer;membership card";customer Receive membership card;receives;customer|membership card;
Customer;Inquire about availability of products;inquires about;"Customer;availability of products";Customer Inquire about availability of products;inquires about;customer|availability of products;
Customer;Submit purchase order;submits;"Customer;purchase order";Customer Submit purchase order;submits;customer|purchase order;
Customer;Send payment;sends;"Customer;payment";Customer Send payment;sends;customer|payment;
Accounting;Prepare invoice;prepares;"Accounting;invoice";Accounting Prepare invoice;prepares;accounting|invoice;
Accounting;Process payment;processes;"Accounting;payment";Accounting Process payment;;accounting process payment;
Accounting;Send reminder to customer;sends;"Accounting;reminder to customer";Accounting Send reminder to customer;sends;accounting|reminder to customer;
Sales;Create and submit the quotation;creates|submits;"Sales;quotation";Sales Create and submit the quotation;creates|submits;sales|quotation;
Sales;Create sales order;creates;"Sales;sales order";Sales Create sales order;creates;sales|sales order;
Warehouse;Backorder missing items;backorders;"Warehouse;missing items";Warehouse Backorder missing items;;warehouse backorder missing items;
Warehouse;Update sales order;updates;"Warehouse;sales order";Warehouse Update sales order;;warehouse update sales order;
Supplier;Assemble shipment and packing list;assembles;"Supplier;shipment|packing list";Supplier Assemble shipment and packing list;;supplier assemble shipment|packing list;
Accounting;Enter PO Information;enters;"Accounting;PO Information";Accounting Enter PO Information;enters;accounting|po information;
Accounting;Enter goods receipt information;enters;"Accounting;goods receipt information";Accounting Enter goods receipt information;enters;accounting|goods receipt information;
Accounting;Verify invoice accuracy;verifies;"Accounting;invoice accuracy";Accounting Verify invoice accuracy;verifies;accounting|invoice accuracy;
Purchasing;Select a suitable vendor and send purchase order;selects;"Purchasing;suitable vendor|purchase order";Purchasing Select a suitable vendor and send purchase order;purchases select|sends;suitable vendor|purchase order;
Warehouse;Request for more stock;requests for;"Warehouse;more stock";Warehouse Request for more stock;;warehouse request for more stock;
Customer;Send inquiry;sends;"Customer;inquiry";Customer Send inquiry;sends;customer|inquiry;
Customer;Fill out application form;fills out;"Customer;application form";Customer Fill out application form;fills out;customer|application form;
Customer;Process documents;processes;"Customer;documents";Customer Process documents;;customer process documents;
Supervisor;Expedite the assessment process;expedites;"Supervisor;assessment process";Supervisor Expedite the assessment process;expedites;supervisor|assessment process;
CSR;Send mortgage application form;sends;"CSR;mortgage application form";CSR Send mortgage application form;sends;csr|mortgage application form;
CSR;Review application form;reviews;"CSR;application form";CSR Review application form;;csr review application form;
CSR;Send a reminder to customer;sends;"CSR;reminder to customer";CSR Send a reminder to customer;sends;csr|reminder to customer;
CSR;Inform customer and close transaction;"informs;closes";"CSR;Customer;transaction";CSR Inform customer and close transaction;informs;csr|customer|close transaction;
Mortgage Specialist;Inform customer of rejection;informs;"Mortgage Specialist;customer of rejection";Mortgage Specialist Inform customer of rejection;informs;mortgage specialist|customer of rejection;
Mortgage Specialist;Archive details;archives;"Mortgage Specialist;details";Mortgage Specialist Archive details;;mortgage specialist archive details;
Customer;Submit insurance claim;submits;"Customer;insurance claim";Customer Submit insurance claim;submits;customer|insurance claim;
Customer;Supply more information;supplies;"Customer;more information";Customer Supply more information;supplies;customer|more information;
Supervisor;Review the claim;reviews;"Supervisor;claim";Supervisor Review the claim;reviews;supervisor|claim;
Supervisor;Decide to accept or reject claim;decides;"Supervisor;claim";Supervisor Decide to accept or reject claim;decides|accepts|rejects;supervisor|claim;
Claim Adjuster;Review the claim;reviews;"Claim Adjuster;claim";Claim Adjuster Review the claim;reviews;claim adjuster|claim;
Claim Adjuster;Decide to accept or reject claim;decides;"Claim Adjuster;claim";Claim Adjuster Decide to accept or reject claim;decides|accepts|rejects;claim adjuster|claim;
Claim Adjuster;Send to supervisor for review;sends to;"Claim Adjuster;supervisor for review";Claim Adjuster Send to supervisor for review;sends to;claim adjuster|supervisor for review;
Claim Adjuster;Inform customer of rejection reasons;informs;"Claim Adjuster;customer of rejection reasons";Claim Adjuster Inform customer of rejection reasons;informs;claim adjuster|customer of rejection reasons;
Claim Adjuster;Send claim payment to customer;sends;"Claim Adjuster;claim payment to customer";Claim Adjuster Send claim payment to customer;sends;claim adjuster|claim payment to customer;
Customer Service;Review the claim;reviews;"Customer Service;claim";Customer Service Review the claim;reviews;customer service|claim;
Customer Service;Contact customer for details;contacts;"Customer Service;customer for details";Customer Service Contact customer for details;contacts;customer service|customer for details;
Customer Service;Forward claim to claim adjuster;forwards;"Customer Service;Claim to claim adjuster";Customer Service Forward claim to claim adjuster;;customer service forward claim to claim adjuster;
Customer;Bring computer to ACM and describe problem;"brings;describes";"Customer;computer to ACM;problem";Customer Bring computer to ACM and describe problem;brings|describes;customer|computer to acm|problem;
Customer;Authorize the repair;authorizes;"Customer;repair";Customer Authorize the repair;authorizes;customer|repair;
Customer;Take computer back;takes;"Customer;computer";Customer Take computer back;takes;customer|computer;
Technician;Diagnose the problem;diagnoses;"Technician;problem";Technician Diagnose the problem;diagnoses;technician|problem;
Technician;Ask Store Owner to complete the repair;asks;"Technician;Store Owner";Technician Ask Store Owner to complete the repair;asks|completes;technician|store owner to|repair;
Technician;Complete the repair and test computer;"completes;tests";"Technician;Repair;computer";Technician Complete the repair and test computer;completes;technician|repair|test computer;
Technician;File a report about the repair;files;"Technician;report about the repair";Technician File a report about the repair;files;technician|report about the repair;
Store Owner;Create estimate of repair time and cost;creates;"Store Owner;estimate of repair time|cost";Store Owner Create estimate of repair time and cost;creates;store owner|estimate of repair time|cost;
Store Owner;Assign a technician to repair the problem;assigns;"Store Owner;technician|problem";Store Owner Assign a technician to repair the problem;assigns|repairs;store owner|technician to|problem;
Store Owner;Complete repair and test computer;"completes;tests";"Store Owner;Repair;computer";Store Owner Complete repair and test computer;;store owner complete repair|test computer;
Store Owner;File a report about the repair;files;"Store Owner;report about the repair";Store Owner File a report about the repair;files;store owner|report about the repair;
Store Owner;Inform customer of repair completion;informs;"Store Owner;customer of repair completion";Store Owner Inform customer of repair completion;informs;store owner|customer of repair completion;
Store Owner;Inform customer of inability to fix;informs;"Store Owner;customer of inability";Store Owner Inform customer of inability to fix;informs|fixes;store owner|customer of inability to;
lecturer;check process model;checks;"lecturer;process model";lecturer check process model;;lecturer check process model;
lecturer;assign negative points;assigns;"lecturer;negative points";lecturer assign negative points;assigns;lecturer|negative points;
lecturer;check the process and assign points;"checks;assigns";"lecturer;Process;points";lecturer check the process and assign points;checks|assigns;lecturer|process|points;
lecturer;check the progress and consult problems;"checks;consults";"lecturer;Progress;problems";lecturer check the progress and consult problems;checks|consults;lecturer|progress|problems;
team;agree on team domain;agrees on;"team;team domain";team agree on team domain;agrees on;team|team domain;
team;analyse the field of study;analyses;"team;field of study";team analyse the field of study;analyses;team|field of study;
team;assign roles in the tem;assigns;"team;roles in the tem";team assign roles in the tem;assigns;team|roles in the tem;
team;present the project;presents;"team;project";team present the project;presents;team|project;
student;join team;joins;"student;team";student join team;joins;student|team;
student;create one process model;creates;"student;process model";student create one process model;creates;student|process model;
student;fix the problem at the next seasion;fixes;"student;problem at the next seasion";student fix the problem at the next seasion;fixes;student|problem at the next seasion;
student;extend the process to L2,3;extends;"student;process to L2";student extend the process to L2,3;extends;student|process to l2;
student;perform work according to role;performs;"student;work|role";student perform work according to role;performs|accords to;student|work|role;
Checked department;hand in details of their work;hands in;"Checked department;details|work";Checked department hand in details of their work;checks;department hand in details|work;
Auditor;Look for essential problems within company;looks for;"Auditor;essential problems within company";Auditor Look for essential problems within company;looks for;auditor|essential problems within company;
Auditor;look fo preciese information;looks fo;"Auditor;preciese information";Auditor look fo preciese information;looks f;auditor|preciese information;
Auditor;statement of employees' work;;Auditor statement of employees work;Auditor statement of employees' work;;auditor statement of employees' work;
Auditor;consult with employes;consults with;"Auditor;employes";Auditor consult with employes;consults with;auditor|employes;
Auditor;general statement;;Auditor general statement;Auditor general statement;;auditor general statement;
Auditor;deeper look into a company;;Auditor deeper look into a company;Auditor deeper look into a company;looks into;auditor|company;
examiner;get to know the case;gets to know;"examiner;case";examiner get to know the case;gets|knows;examiner|case;
examiner;first evaluation;;examiner first evaluation;examiner first evaluation;;examiner first evaluation;
examiner;contact insurer and consult the case;"contacts;consults";"examiner;Insurer;case";examiner contact insurer and consult the case;contacts|consults;examiner|insurer|case;
examiner;final evaluation;;examiner final evaluation;examiner final evaluation;;examiner final evaluation;
Insurance company;a shady incident;;Insurance company shady incident;Insurance company a shady incident;;insurance company a shady incident;
Insurance company;analyse details of the case;analyses;"Insurance company;details of the case";Insurance company analyse details of the case;analyses;insurance company|details of the case;
Insurance company;report for insurer;;Insurance company report for insurer;Insurance company report for insurer;;insurance company report for insurer;
insurer;hand in details of an accident;;insurer hand in details of an accident;insurer hand in details of an accident;;insurer hand in details of an accident;
insurer;enter a protest;enters;"insurer;protest";insurer enter a protest;enters;insurer|protest;
Customer;Review the Venders;reviews;"Customer;Venders";Customer Review the Venders;;customer review the venders;
Customer;Send the RFQ;sends;"Customer;RFQ";Customer Send the RFQ;sends;customer|rfq;
Customer;Review The Sales Quote;reviews;"Customer;Sales Quote";Customer Review The Sales Quote;reviews;customer|sales quote;
Sales;Communicate with the Customer;communicates with;"Sales;Customer";Sales Communicate with the Customer;communicates with;sales|customer;
Sales;Review Pricing Options and Generate Sales Quote;"reviews;generates";"Sales;Pricing Options;Sales Quote";Sales Review Pricing Options and Generate Sales Quote;reviews|generates;sales|pricing options|sales quote;
Emgineering;Produce L&M Cost Estimates Laser tested;produces;"Emgineering;L&M Cost Estimates Laser";Emgineering Produce L&M Cost Estimates Laser tested;produces|tests;emgineering|l|m cost estimates laser;
Finance;Adding The Overhead Cost;adds;"Finance;Overhead Cost";Finance Adding The Overhead Cost;adds;finance|overhead cost;
Finance;Generate Pricing Options;generates;"Finance;Pricing Options";Finance Generate Pricing Options;generates;finance|pricing options;
