Subject;Activity;Verb phrases;Noun phrases;ActivityCombined;VerbPhrases;NounPhrases;ProperNouns
2nd Level Support Agent;Handle 2nd Level Issue;Handle;"2nd Level Support Agent;2nd Level Issue";2nd Level Support Agent Handle 2nd Level Issue;Handles;Support;Level|Agent|Level Issue
Car House;Get Client Information;Get;"Car House;Client Information";Car House Get Client Information;Gets;;Car House|Client Information
Support Department;Review & Escalate;Escalate;"Support Department;Review";Support Department Review & Escalate;;Support;Department Review|Escalate
Support Department;Update Case Status;Update;"Support Department;Case Status";Support Department Update Case Status;;Support;Department Update Case Status
Firm;Collect Feedback;Collect;"Firm;Feedback";Firm Collect Feedback;;Firm;Collect Feedback
Business participant;Receive Vote;Receive;"Business participant;Vote";Business participant Receive Vote;Receives;Business participant|Vote;
delivery boy;Deliver the pizza;Deliver;"delivery boy;pizza";delivery boy Deliver the pizza;Delivers;delivery boy|pizza;
Seminar Coordinator;Close Seminar;Close;"Seminar Coordinator;Seminar";Seminar Coordinator Close Seminar;;;Seminar Coordinator Close Seminar
Business participant;Send Invoice to Customer;Send;"Business participant;Invoice to Customer";Business participant Send Invoice to Customer;Sends;Business participant|Customer;Invoice
Pizza Customer;Pay the pizza;Pay;"Pizza Customer;pizza";Pizza Customer Pay the pizza;Pays;Customer|pizza;Pizza
Clerk;Request quotes from carriers;Request;"Clerk;quotes from carriers";Clerk Request quotes from carriers;;Clerk Request|carriers;
clerk;Calm customer;Calm;"clerk;Customer";clerk Calm customer;;clerk Calm customer;
Business participant;Inform Customer about Overdue Payment;Inform;"Business participant;Customer about Overdue Payment";Business participant Inform Customer about Overdue Payment;;Business participant|Customer|Payment;Inform|Overdue
Online Shop;Request Pack Goods;Request;"Online Shop;Pack Goods";Online Shop Request Pack Goods;Packs;;Online Shop Request|Goods
1st level support;Open ticket;Open;"1st level support;Ticket";1st level support Open ticket;Opens;1st level support|ticket;
Developer;Notify user;Notify;"Developer;user";Developer Notify user;;user;Developer Notify
Sales staff;Send an offer to the client;Send;"Sales staff;offer to the client";Sales staff Send an offer to the client;Sends;Sales staff|offer to the client;
Trouble Ticket System;Edit 1st Level Ticket;Edit;"Trouble Ticket System;1st level ticket";Trouble Ticket System Edit 1st Level Ticket;;Trouble;Ticket System Edit|Level Ticket
Sales staff;Fullfil the order;Fullfil;"Sales staff;order";Sales staff Fullfil the order;;Sales staff|order;Fullfil
Reader;Use Item;Use;"Reader;Item";Reader Use Item;;;Reader Use Item
Car House;Submit Car Reservation;Submit;"Car House;Car Reservation";Car House Submit Car Reservation;;;Car House Submit Car Reservation
Expert;Send Candidates Assessment Report;Send;"Expert;Candidates Assessment Report";Expert Send Candidates Assessment Report;Sends;Expert|Candidates;Assessment Report
Customer Service Assistant;Verify Customer Identity;Verify;"Customer Service Assistant;Customer Identity";Customer Service Assistant Verify Customer Identity;;Customer|Customer Identity;Service Assistant Verify
delivery boy;Receive payment;Receive;"delivery boy;payment";delivery boy Receive payment;;delivery boy Receive payment;
Online Shop;Pack Goods;Pack;"Online Shop;Goods";Online Shop Pack Goods;Packs;;Online Shop|Goods
Business participant;Announce Issues;Announce;"Business participant;Issues";Business participant Announce Issues;;Business participant;Announce Issues
Support Manager;Update Client on Delay;Update;"Support Manager;Client on Delay";Support Manager Update Client on Delay;;Support;Manager Update Client|Delay
Storyboard;Storyboard (full day);;Storyboard Storyboard|full day;Storyboard Storyboard (full day);;full day;Storyboard Storyboard
Building;Site is developed (2 days);is developed;"Building;Site|2 days";Building Site is developed (2 days);;Building Site|days;
Building;Site design (10 days);;Building Site design|10 days;Building Site design (10 days);;Building Site design|days;
Building;Building (3 days);;Building Building|3 days;Building Building (3 days);;Building Building|days;
review;review activity (1 day);;review review activity|1 day;review review activity (1 day);;review review activity|day;
end;approval of the site (half a day);;end approval of the site|day;end approval of the site (half a day);;end approval of the site|day;
Charles (admi);adds incoming mail date, records letter, archives it;adds;"Charles (admi);incoming mail date|records letter|archives";Charles (admi) adds incoming mail date, records letter, archives it;;admi|incoming mail date|records letter|it;Charles
Charles (admi);tel call to sender to complete;;Charles (admi) tel call|sender;Charles (admi) tel call to sender to complete;completes;tel call to sender;Charles
Charles (admi);empties & checks the mails in the mailbox;empties|checks;"Charles (admi);mails in the mailbox";Charles (admi) empties & checks the mails in the mailbox;;admi|mails in the mailbox;Charles
Charles (admi);adds new member to the member register;adds;"Charles (admi);new member to the member register";Charles (admi) adds new member to the member register;;admi|new member to the member register;Charles
Charles (admi);sends a letter to person and explaines why not;sends;"Charles (admi);Charles|letter to person";Charles (admi) sends a letter to person and explaines why not;;admi|letter to person|explaines;Charles
Charles (admi);adds in the member register;adds in;"Charles (admi);member register";Charles (admi) adds in the member register;;admi|member register;Charles
Charles (admi);prepare invoices&send a letter to customer;"prepares;sends";"Charles (admi);Invoices;a letter to customer";Charles (admi) prepare invoices&send a letter to customer;sends;admi|invoices|letter to customer;Charles
Charles (admi);prints a membership card&send to new customer;"prints;sends to";"Charles (admi);membership card;new customer";Charles (admi) prints a membership card&send to new customer;sends to;admi|membership card|new customer;Charles
Miranda;will decide if member or not;decides;"Miranda;member";Miranda will decide if member or not;decides if;member;Miranda
Miranda;stamps 'new member'&writes the date;"stamps;writes";"Miranda;new member;date";Miranda stamps 'new member'&writes the date;;stamps|new member|date;Miranda
Miranda;calculates fees for the new members;calculates;"Miranda;fees for the new members";Miranda calculates fees for the new members;;fees for the new members;Miranda
customer;payments will transfer;wills transfer;"customer;payments";customer payments will transfer;transfers;customer payments;
customer;Receive membership card;receives;"customer;membership card";customer Receive membership card;Receives;customer|membership card;
Customer;Inquire about availability of products;inquires about;"Customer;availability of products";Customer Inquire about availability of products;;Customer|availability of products;Inquire
Customer;Submit purchase order;submits;"Customer;purchase order";Customer Submit purchase order;;Customer Submit purchase order;
Customer;Send payment;sends;"Customer;payment";Customer Send payment;Sends;Customer|payment;
Accounting;Prepare invoice;prepares;"Accounting;invoice";Accounting Prepare invoice;Prepares;Accounting|invoice;
Accounting;Process payment;processes;"Accounting;payment";Accounting Process payment;;payment;Accounting
Accounting;Send reminder to customer;sends;"Accounting;reminder to customer";Accounting Send reminder to customer;Sends;reminder to customer;Accounting
Sales;Create and submit the quotation;creates|submits;"Sales;quotation";Sales Create and submit the quotation;Creates|submits;Sales|quotation;
Sales;Create sales order;creates;"Sales;sales order";Sales Create sales order;;Sales|sales order;
Warehouse;Backorder missing items;backorders;"Warehouse;missing items";Warehouse Backorder missing items;;missing items;Warehouse Backorder
Warehouse;Update sales order;updates;"Warehouse;sales order";Warehouse Update sales order;;sales order;Warehouse Update
Supplier;Assemble shipment and packing list;assembles;"Supplier;shipment|packing list";Supplier Assemble shipment and packing list;;shipment|packing list;Supplier Assemble
Accounting;Enter PO Information;enters;"Accounting;PO Information";Accounting Enter PO Information;Enters;;Accounting|PO Information
Accounting;Enter goods receipt information;enters;"Accounting;goods receipt information";Accounting Enter goods receipt information;Enters;goods receipt information;Accounting
Accounting;Verify invoice accuracy;verifies;"Accounting;invoice accuracy";Accounting Verify invoice accuracy;;invoice accuracy;Accounting Verify
Purchasing;Select a suitable vendor and send purchase order;selects;"Purchasing;suitable vendor|purchase order";Purchasing Select a suitable vendor and send purchase order;sends;suitable vendor|purchase order;Purchasing Select
Warehouse;Request for more stock;requests for;"Warehouse;more stock";Warehouse Request for more stock;;stock;Warehouse Request
Customer;Send inquiry;sends;"Customer;inquiry";Customer Send inquiry;Sends;Customer|inquiry;
Customer;Fill out application form;fills out;"Customer;application form";Customer Fill out application form;Fills out;Customer|application form;
Customer;Process documents;processes;"Customer;documents";Customer Process documents;Processes;Customer|documents;
Supervisor;Expedite the assessment process;expedites;"Supervisor;assessment process";Supervisor Expedite the assessment process;Expedites;Supervisor|assessment process;
CSR;Send mortgage application form;sends;"CSR;mortgage application form";CSR Send mortgage application form;Sends;mortgage application form;CSR
CSR;Review application form;reviews;"CSR;application form";CSR Review application form;;application form;CSR Review
CSR;Send a reminder to customer;sends;"CSR;reminder to customer";CSR Send a reminder to customer;Sends;reminder to customer;CSR
CSR;Inform customer and close transaction;"informs;closes";"CSR;Customer;transaction";CSR Inform customer and close transaction;;customer|close transaction;CSR Inform
Mortgage Specialist;Inform customer of rejection;informs;"Mortgage Specialist;customer of rejection";Mortgage Specialist Inform customer of rejection;Informs;Mortgage Specialist|customer of rejection;
Mortgage Specialist;Archive details;archives;"Mortgage Specialist;details";Mortgage Specialist Archive details;;Mortgage Specialist|details;Archive
Customer;Submit insurance claim;submits;"Customer;insurance claim";Customer Submit insurance claim;;Customer Submit insurance claim;
Customer;Supply more information;supplies;"Customer;more information";Customer Supply more information;;Customer Supply|information;
Supervisor;Review the claim;reviews;"Supervisor;claim";Supervisor Review the claim;;Supervisor Review the claim;
Supervisor;Decide to accept or reject claim;decides;"Supervisor;claim";Supervisor Decide to accept or reject claim;accepts|rejects;Supervisor|claim;
Claim Adjuster;Review the claim;reviews;"Claim Adjuster;claim";Claim Adjuster Review the claim;;claim;Claim Adjuster Review
Claim Adjuster;Decide to accept or reject claim;decides;"Claim Adjuster;claim";Claim Adjuster Decide to accept or reject claim;Decides to|accepts|rejects;claim;Claim Adjuster
Claim Adjuster;Send to supervisor for review;sends to;"Claim Adjuster;supervisor for review";Claim Adjuster Send to supervisor for review;Sends to;supervisor for review;Claim Adjuster
Claim Adjuster;Inform customer of rejection reasons;informs;"Claim Adjuster;customer of rejection reasons";Claim Adjuster Inform customer of rejection reasons;;customer of rejection reasons;Claim Adjuster Inform
Claim Adjuster;Send claim payment to customer;sends;"Claim Adjuster;claim payment to customer";Claim Adjuster Send claim payment to customer;Sends;claim payment to customer;Claim Adjuster
Customer Service;Review the claim;reviews;"Customer Service;claim";Customer Service Review the claim;;Customer|claim;Service Review
Customer Service;Contact customer for details;contacts;"Customer Service;customer for details";Customer Service Contact customer for details;;Customer|Contact customer for details;Service
Customer Service;Forward claim to claim adjuster;forwards;"Customer Service;Claim to claim adjuster";Customer Service Forward claim to claim adjuster;claims;Customer|adjuster;Service
Customer;Bring computer to ACM and describe problem;"brings;describes";"Customer;computer to ACM;problem";Customer Bring computer to ACM and describe problem;Brings;Customer|computer|problem;ACM
Customer;Authorize the repair;authorizes;"Customer;repair";Customer Authorize the repair;Authorizes;Customer|repair;
Customer;Take computer back;takes;"Customer;computer";Customer Take computer back;Takes;Customer|computer;
Technician;Diagnose the problem;diagnoses;"Technician;problem";Technician Diagnose the problem;Diagnoses;Technician|problem;
Technician;Ask Store Owner to complete the repair;asks;"Technician;Store Owner";Technician Ask Store Owner to complete the repair;completes;Technician|repair;Ask Store Owner
Technician;Complete the repair and test computer;"completes;tests";"Technician;Repair;computer";Technician Complete the repair and test computer;;Technician|repair|test computer;
Technician;File a report about the repair;files;"Technician;report about the repair";Technician File a report about the repair;Files;Technician|report about the repair;
Store Owner;Create estimate of repair time and cost;creates;"Store Owner;estimate of repair time|cost";Store Owner Create estimate of repair time and cost;Creates;estimate of repair time|cost;Store Owner
Store Owner;Assign a technician to repair the problem;assigns;"Store Owner;technician|problem";Store Owner Assign a technician to repair the problem;Assigns|repairs;technician|problem;Store Owner
Store Owner;Complete repair and test computer;"completes;tests";"Store Owner;Repair;computer";Store Owner Complete repair and test computer;;Complete repair|test computer;Store Owner
Store Owner;File a report about the repair;files;"Store Owner;report about the repair";Store Owner File a report about the repair;Files;report about the repair;Store Owner
Store Owner;Inform customer of repair completion;informs;"Store Owner;customer of repair completion";Store Owner Inform customer of repair completion;;customer of repair completion;Store Owner Inform
Store Owner;Inform customer of inability to fix;informs;"Store Owner;customer of inability";Store Owner Inform customer of inability to fix;fixes;customer of inability;Store Owner Inform
lecturer;check process model;checks;"lecturer;process model";lecturer check process model;;lecturer check process model;
lecturer;assign negative points;assigns;"lecturer;negative points";lecturer assign negative points;assigns;lecturer|negative points;
lecturer;check the process and assign points;"checks;assigns";"lecturer;Process;points";lecturer check the process and assign points;checks|assigns;lecturer|process|points;
lecturer;check the progress and consult problems;"checks;consults";"lecturer;Progress;problems";lecturer check the progress and consult problems;checks|consults;lecturer|progress|problems;
team;agree on team domain;agrees on;"team;team domain";team agree on team domain;agrees on;team|team domain;
team;analyse the field of study;analyses;"team;field of study";team analyse the field of study;analyses;team|field of study;
team;assign roles in the tem;assigns;"team;roles in the tem";team assign roles in the tem;assigns;team|roles in the tem;
team;present the project;presents;"team;project";team present the project;;team|project;
student;join team;joins;"student;team";student join team;joins;student|team;
student;create one process model;creates;"student;process model";student create one process model;creates;student|process model;
student;fix the problem at the next seasion;fixes;"student;problem at the next seasion";student fix the problem at the next seasion;fixes;student|problem at the next seasion;
student;extend the process to L2,3;extends;"student;process to L2";student extend the process to L2,3;;student|process to L2 ,3;
student;perform work according to role;performs;"student;work|role";student perform work according to role;performs;student|work according to role;
Checked department;hand in details of their work;hands in;"Checked department;details|work";Checked department hand in details of their work;;department hand in details|work;
Auditor;Look for essential problems within company;looks for;"Auditor;essential problems within company";Auditor Look for essential problems within company;Looks for;Auditor|essential problems within company;
Auditor;look fo preciese information;looks fo;"Auditor;preciese information";Auditor look fo preciese information;;Auditor look fo preciese information;
Auditor;statement of employees' work;;Auditor statement of employees work;Auditor statement of employees' work;;Auditor statement of employees' work;
Auditor;consult with employes;consults with;"Auditor;employes";Auditor consult with employes;consults with;Auditor|employes;
Auditor;general statement;;Auditor general statement;Auditor general statement;;Auditor general statement;
Auditor;deeper look into a company;;Auditor deeper look into a company;Auditor deeper look into a company;;Auditor|look into a company;
examiner;get to know the case;gets to know;"examiner;case";examiner get to know the case;gets to|knows;examiner|case;
examiner;first evaluation;;examiner first evaluation;examiner first evaluation;;examiner first evaluation;
examiner;contact insurer and consult the case;"contacts;consults";"examiner;Insurer;case";examiner contact insurer and consult the case;consults;examiner contact insurer|case;
examiner;final evaluation;;examiner final evaluation;examiner final evaluation;;examiner final evaluation;
Insurance company;a shady incident;;Insurance company shady incident;Insurance company a shady incident;;Insurance company a shady incident;
Insurance company;analyse details of the case;analyses;"Insurance company;details of the case";Insurance company analyse details of the case;;Insurance company|details of the case;
Insurance company;report for insurer;;Insurance company report for insurer;Insurance company report for insurer;;Insurance company report for insurer;
insurer;hand in details of an accident;;insurer hand in details of an accident;insurer hand in details of an accident;;insurer hand in details of an accident;
insurer;enter a protest;enters;"insurer;protest";insurer enter a protest;;insurer|protest;
Customer;Review the Venders;reviews;"Customer;Venders";Customer Review the Venders;;Customer Review;Venders
Customer;Send the RFQ;sends;"Customer;RFQ";Customer Send the RFQ;Sends;Customer|RFQ;
Customer;Review The Sales Quote;reviews;"Customer;Sales Quote";Customer Review The Sales Quote;;Customer Review The Sales Quote;
Sales;Communicate with the Customer;communicates with;"Sales;Customer";Sales Communicate with the Customer;;Sales|Customer;
Sales;Review Pricing Options and Generate Sales Quote;"reviews;generates";"Sales;Pricing Options;Sales Quote";Sales Review Pricing Options and Generate Sales Quote;Generates|Quotes;Sales|Pricing Options|Sales;Review
Emgineering;Produce L&M Cost Estimates Laser tested;produces;"Emgineering;L&M Cost Estimates Laser";Emgineering Produce L&M Cost Estimates Laser tested;Produces;Emgineering|Cost Estimates;L&M|Laser
Finance;Adding The Overhead Cost;adds;"Finance;Overhead Cost";Finance Adding The Overhead Cost;;Adding The Overhead Cost;Finance
Finance;Generate Pricing Options;generates;"Finance;Pricing Options";Finance Generate Pricing Options;;Pricing Options;Finance Generate
Customer;Create RFQ;creates;"Customer;RFQ";Customer Create RFQ;Creates;Customer|RFQ;
Customer;Review Sales Quote;reviews;"Customer;Sales Quote";Customer Review Sales Quote;;Customer Review Sales;
Customer;Review the Vendors;reviews;"Customer;Vendors";Customer Review the Vendors;;Customer Review;Vendors
Customer;Review the Sales Quote;reviews;"Customer;Sales Quote";Customer Review the Sales Quote;;Customer Review the Sales Quote;
Sales;Verify the RFQ;verifies;"Sales;RFQ";Sales Verify the RFQ;;Sales|RFQ;
Engineering;Produce L&M Cost;produces;"Engineering;M Cost";Engineering Produce L&M Cost;Produces;Cost;Engineering|L&M
Finance;Adding the Overhead Cost;adds;"Finance;Overhead Cost";Finance Adding the Overhead Cost;;Adding the Overhead Cost;Finance
Reporter;Write Incident Report;writes;"Reporter;Incident Report";Reporter Write Incident Report;Writes;Reporter;Incident Report
Analyst;Comment arrangements;comments;"Analyst;arrangements";Analyst Comment arrangements;;Analyst Comment arrangements;
reporter;report incident;reports;"reporter;incident";reporter report incident;;reporter report incident;
reporter;note incident number and -code;notes;"reporter;Incident number|code";reporter note incident number and -code;;reporter note incident number|code;
reporter;answer request;answers;"reporter;request";reporter answer request;;reporter answer request;
agent;answer request provision;answers;"agent;request provision";agent answer request provision;;agent answer request provision;
activiti process engine;report incident;reports;"activiti process engine;incident";activiti process engine report incident;;activiti process engine report incident;
activiti process engine;deidentify incident step 1;deidentifies;"activiti process engine;deidentify incident step 1";activiti process engine deidentify incident step 1;;activiti process engine deidentify incident step 1;
activiti process engine;deidentifiy incident step 2;deidentifies;"activiti process engine;deidentifiy incident step 2";activiti process engine deidentifiy incident step 2;;activiti process engine deidentifiy incident step 2;
activiti process engine;analyze incident;analyzes;"activiti process engine;incident";activiti process engine analyze incident;;activiti process engine|incident;
activiti process engine;answer request by reporter;answers;"activiti process engine;request by reporter";activiti process engine answer request by reporter;;activiti process engine answer request by reporter;
activiti process engine;answered request by reporter (list);answers;"activiti process engine;request by reporter|list";activiti process engine answered request by reporter (list);;activiti process engine|request by reporter|list;
activiti process engine;answer request by agent;answers;"activiti process engine;request by agent";activiti process engine answer request by agent;;activiti process engine answer request by agent;
activiti process engine;answered request by agent (list);answers;"activiti process engine;request by agent|list";activiti process engine answered request by agent (list);;activiti process engine|request by agent|list;
analyst;analyze incident;analyzes;"analyst;incident";analyst analyze incident;;analyst|incident;
Customer;Review the sales quote;reviews;"Customer;sales quote";Customer Review the sales quote;;Customer Review the sales quote;
Sales;Review pricing options and generate sales quote;generates;"Sales;Review pricing options|sales quote";Sales Review pricing options and generate sales quote;generates;Sales Review pricing options|sales quote;
Engineering;Produce L&M Cost Estimates;produces;"Engineering;L|M Cost Estimates";Engineering Produce L&M Cost Estimates;Produces;Cost Estimates;Engineering|L&M
Finance;Adding the Overhead cost;adds;"Finance;Overhead cost";Finance Adding the Overhead cost;;Adding the Overhead cost;Finance
Finance;Generate pricing options;generates;"Finance;pricing options";Finance Generate pricing options;;pricing options;Finance Generate
Customer;Submit the Insurance Claim;submits;"Customer;Insurance Claim";Customer Submit the Insurance Claim;Submits;Customer|Insurance Claim;
CSR;Review the claim;reviews;"CSR;claim";CSR Review the claim;;claim;CSR Review
CSR;communicate with the customer;communicates with;"CSR;customer";CSR communicate with the customer;;customer;CSR
Claim Adjuster;Evaluate the claim;evaluates;"Claim Adjuster;claim";Claim Adjuster Evaluate the claim;Evaluates;claim;Claim Adjuster
Claim Adjuster;send payment;sends;"Claim Adjuster;payment";Claim Adjuster send payment;;Claim Adjuster|payment;
Claim Adjuster;send rejection letter with explanation;sends;"Claim Adjuster;rejection letter with explanation";Claim Adjuster send rejection letter with explanation;sends;rejection letter with explanation;Claim Adjuster
Supervisor;evaluate the claim;evaluates;"Supervisor;claim";Supervisor evaluate the claim;evaluates;Supervisor|claim;
PURCHASING AGENT;Create Purchase order  2x;creates;"PURCHASING AGENT;Purchase order 2 x";PURCHASING AGENT Create Purchase order  2x;Creates;PURCHASING|Purchase order 2x;AGENT
FINANCE DEPARTMENT;Create Billing Document;creates;"FINANCE DEPARTMENT;Billing Document";FINANCE DEPARTMENT Create Billing Document;Creates;FINANCE|Billing;DEPARTMENT|Document
FINANCE DEPARTMENT;Post Incoming Payment;posts;"FINANCE DEPARTMENT;Incoming Payment";FINANCE DEPARTMENT Post Incoming Payment;;FINANCE|Incoming Payment;DEPARTMENT Post
WAREHOUSE TEAM;Display stock/ Requirements list;displays;"WAREHOUSE TEAM;stock|Requirements list";WAREHOUSE TEAM Display stock/ Requirements list;Displays;stock|Requirements list;WAREHOUSE TEAM
WAREHOUSE TEAM;Create Transfer order for Delivery note;creates;"WAREHOUSE TEAM;Transfer order for Delivery note";WAREHOUSE TEAM Create Transfer order for Delivery note;Creates;Transfer order for Delivery note;WAREHOUSE TEAM
WAREHOUSE TEAM;Create Purchase requisition;creates;"WAREHOUSE TEAM;Purchase requisition";WAREHOUSE TEAM Create Purchase requisition;Creates;Purchase requisition;WAREHOUSE TEAM
WAREHOUSE TEAM;Goods Receipt for Purchase order;;WAREHOUSE TEAM Goods Receipt for Purchase order;WAREHOUSE TEAM Goods Receipt for Purchase order;;order;WAREHOUSE TEAM Goods Receipt|Purchase
PRODUCTION PLANNER;MRP Run;;PRODUCTION PLANNER MRP Run;PRODUCTION PLANNER MRP Run;;PRODUCTION PLANNER MRP;Run
PRODUCTION PLANNER;Create Production order 2x;creates;"PRODUCTION PLANNER;Production order 2 x";PRODUCTION PLANNER Create Production order 2x;Creates;PRODUCTION PLANNER|Production order 2x;
PRODUCTION PLANNER;Production Order confirmation & Production of motorcycle 2x;;PRODUCTION PLANNER Production Order confirmation|Production of motorcycle 2|x;PRODUCTION PLANNER Production Order confirmation & Production of motorcycle 2x;;PRODUCTION PLANNER Production Order confirmation|Production of motorcycle 2x;
SALES & DISTRIBUTION DEPARTMENT;Create sales order;creates;"SALES & DISTRIBUTION DEPARTMENT;sales order";SALES & DISTRIBUTION DEPARTMENT Create sales order;Creates;sales order;SALES|DISTRIBUTION DEPARTMENT
SALES & DISTRIBUTION DEPARTMENT;Outbound Delivery with order reference;;SALES & DISTRIBUTION DEPARTMENT Outbound Delivery with order reference;SALES & DISTRIBUTION DEPARTMENT Outbound Delivery with order reference;;Delivery with order reference;SALES|DISTRIBUTION DEPARTMENT Outbound
SALES & DISTRIBUTION DEPARTMENT;Check inventory for finished goods;checks;"SALES & DISTRIBUTION DEPARTMENT;inventory for|goods";SALES & DISTRIBUTION DEPARTMENT Check inventory for finished goods;Checks;inventory|goods;SALES|DISTRIBUTION DEPARTMENT
sales;verify RFQ;verifies;"sales;RFQ";sales verify RFQ;;sales|RFQ;
sales;Send to Customer;sends to;"sales;Customer";sales Send to Customer;;sales|Customer;
sales;Generate sales Quotes;generates;"sales;sales Quotes";sales Generate sales Quotes;Generates;sales|sales;
Finance;Produced labor and materal costs;produces;"Finance;labor|materal costs";Finance Produced labor and materal costs;;labor|materal costs;Finance Produced
Engineering;Add overhead cost;adds;"Engineering;overhead cost";Engineering Add overhead cost;Adds;overhead cost;Engineering
Customer;Generate RFQ;generates;"Customer;RFQ";Customer Generate RFQ;Generates;Customer|RFQ;
Customer;Analyze Sales Quote;analyzes;"Customer;Sales Quote";Customer Analyze Sales Quote;Analyzes|Quotes;Customer|Sales;
Volley Club;emptying the mailbox;empties;"Volley Club;mailbox";Volley Club emptying the mailbox;;emptying the mailbox;Volley Club
Volley Club;Phonecall to complete data;;Volley Club Phonecall to complete data;Volley Club Phonecall to complete data;completes;data;Volley Club Phonecall
Volley Club;Recording an archieving;records;"Volley Club;archieving";Volley Club Recording an archieving;;archieving;Volley Club Recording
Volley Club;add to the register;adds to;"Volley Club;register";Volley Club add to the register;adds to;register;Volley Club
Volley Club;write down member fee into register;writes down;"Volley Club;member fee into register";Volley Club write down member fee into register;writes down;member fee into register;Volley Club
Volley Club;letter with explanation of rejecting;;Volley Club letter with explanation of rejecting;Volley Club letter with explanation of rejecting;;letter with explanation of rejecting;Volley Club
Volley Club;print membership cards;prints;"Volley Club;membership cards";Volley Club print membership cards;;print membership cards;Volley Club
Volley Club;send membership cards;sends;"Volley Club;membership cards";Volley Club send membership cards;sends;membership cards;Volley Club
Miranda;new member for the club?;;Miranda new member for the club;Miranda new member for the club?;;new member for the club;Miranda
Miranda;stamp the letter;stamps;"Miranda;letter";Miranda stamp the letter;stamps;letter;Miranda
Miranda;calculkate member fee;;Miranda calculkate member fee;Miranda calculkate member fee;;calculkate member fee;Miranda
candidate;sending letter;sends;"candidate;letter";candidate sending letter;;candidate sending letter;
candidate;Phonecall with Charles;;candidate Phonecall with Charles;candidate Phonecall with Charles;;candidate Phonecall;Charles
candidate;get rejected;gets rejected;"candidate;nan";candidate get rejected;gets;candidate;
candidate;is a new member of the club;is;"candidate;new member of the club";candidate is a new member of the club;;candidate|new member of the club;
candidate;has to pay membership;has to pay;"candidate;membership";candidate has to pay membership;pays;candidate|membership;
candidate;pays the fee;pays;"candidate;fee";candidate pays the fee;;candidate|fee;
candidate;does not pay the fee;pays;"candidate;fee";candidate does not pay the fee;pays;candidate|fee;
Web Designer;First informational meeting;;Web Designer First informational meeting;Web Designer First informational meeting;;Web Designer First informational meeting;
Web Designer;Design site;designs;"Web Designer;site";Web Designer Design site;;Web Designer Design site;
Web Designer;Develop site;develops;"Web Designer;site";Web Designer Develop site;Develops;Web Designer|site;
Web Designer;Prepare content;prepares;"Web Designer;content";Web Designer Prepare content;Prepares;Web Designer|content;
Web Designer;Marketing review;;Web Designer Marketing review;Web Designer Marketing review;;Web Designer|review;Marketing
Web Designer;Final version of content;;Web Designer Final version of content;Web Designer Final version of content;;Web Designer Final version of content;
Web Designer;Building the site;builds;"Web Designer;site";Web Designer Building the site;;Web Designer Building the site;
Web Designer;Review activity;reviews;"Web Designer;activity";Web Designer Review activity;;Web Designer Review activity;
Web Designer;Approval of the site;;Web Designer Approval of the site;Web Designer Approval of the site;;Web Designer Approval of the site;
Web Designer;Storyboard;;Web Designer Storyboard;Web Designer Storyboard;;Web Designer Storyboard;
Miranda;emptying the letterbook;empties;"Miranda;letterbook";Miranda emptying the letterbook;;emptying the letterbook;Miranda
Miranda;rejecting the candidate;rejects;"Miranda;candidate";Miranda rejecting the candidate;;rejecting the candidate;Miranda
Miranda;accepting the candidate and sending the letter to Charles;"accepts;sends";"Miranda;candidate;letter to Charles";Miranda accepting the candidate and sending the letter to Charles;;accepting the candidate|sending the letter;Miranda|Charles
Miranda;calculating the member fee for every person;calculates;"Miranda;member fee for every person";Miranda calculating the member fee for every person;;calculating the member fee for every person;Miranda
Miranda;giving the fee data to Charles;gives;"Miranda;fee data to Charles";Miranda giving the fee data to Charles;;giving the fee data;Miranda|Charles
Charles;Empties Mailbox and check for missing information;"empties;checks";"Charles;mailbox;missing information";Charles Empties Mailbox and check for missing information;checks for;missing information;Charles Empties Mailbox
Charles;Phonecall to complete data;;Charles Phonecall to complete data;Charles Phonecall to complete data;completes;data;Charles Phonecall
Charles;recording and archiving;;Charles recording|archiving;Charles recording and archiving;;recording|archiving;Charles
Charles;sending of rejection letter;sends of;"Charles;rejection letter";Charles sending of rejection letter;;sending of rejection letter;Charles
Charles;add member to register;adds;"Charles;member to register";Charles add member to register;adds|registers;member;Charles
Charles;sending the data to Miranda;sends;"Charles;data to Miranda";Charles sending the data to Miranda;;sending the data;Charles|Miranda
Charles;writing the fees into the register;writes;"Charles;fees into the register";Charles writing the fees into the register;;writing the fees into the register;Charles
Charles;preparing invoice for new candidates;prepares;"Charles;invoice for new candidates";Charles preparing invoice for new candidates;;preparing invoice for new candidates;Charles
Charles;waiting for payment of the fees;waits for;"Charles;payment of the fees";Charles waiting for payment of the fees;;waiting for payment of the fees;Charles
Charles;prints the membership card;prints;"Charles;membership card";Charles prints the membership card;;membership card;Charles
Charles;send the membership cards to the new members;sends;"Charles;membership cards to the new members";Charles send the membership cards to the new members;sends;membership cards to the new members;Charles
Backup;Backup of Database;;Backup Backup of Database;Backup Backup of Database;;Backup Backup of Database;
Backup;Check the CRM for new registers;checks;"Backup;CRM for new registers";Backup Check the CRM for new registers;Checks;Backup;CRM
Backup;write the registers into the existing table;writes;"Backup;registers into the|table";Backup write the registers into the existing table;writes;Backup|existing table;
Backup;alert the supervisor;alerts;"Backup;supervisor";Backup alert the supervisor;;Backup|supervisor;
