Subject;Activity;VerbPhrases;NounPhrases;ProperNouns
Building;Site is developed (2 days);develops;Site|days;
Building;Site design (10 days);;Site design|days;
Building;Building (3 days);;Building|days;
review;review activity (1 day);;review activity|day;
end;approval of the site (half a day);;approval of the site|day;
Charles (admi);adds incoming mail date, records letter, archives it;adds;incoming mail date|records letter|archives;
Charles (admi);tel call to sender to complete;completes;tel call to sender to;
Charles (admi);empties & checks the mails in the mailbox;empties|checks;mails in the mailbox;
Charles (admi);adds new member to the member register;adds;new member to the member register;
Charles (admi);sends a letter to person and explaines why not;sends;letter to person|explaines;
Charles (admi);adds in the member register;adds in;member register;
Charles (admi);prepare invoices&send a letter to customer;prepares;invoices&send a letter to customer;
Charles (admi);prints a membership card&send to new customer;prints;membership card&send to new customer;
Miranda;will decide if member or not;decides;member;
Miranda;stamps 'new member'&writes the date;&writeses;stamps' new member|date;
Miranda;calculates fees for the new members;calculates;fees for the new members;
customer;payments will transfer;transfers;payments;
customer;Receive membership card;Receives;membership card;
Customer;Inquire about availability of products;Inquires about;availability of products;
Customer;Submit purchase order;Submits;purchase order;
Customer;Send payment;Sends;payment;
Accounting;Prepare invoice;Prepares;invoice;
Accounting;Process payment;;Process payment;
Accounting;Send reminder to customer;Sends;reminder to customer;
Sales;Create and submit the quotation;Creates|submits;quotation;
Sales;Create sales order;Creates;sales order;
Warehouse;Backorder missing items;;Backorder missing items;
Warehouse;Update sales order;;Update sales order;
Supplier;Assemble shipment and packing list;Assembles;shipment|packing list;
Accounting;Enter PO Information;Enters;PO Information;
Accounting;Enter goods receipt information;Enters;goods receipt information;
Accounting;Verify invoice accuracy;Verifies;invoice accuracy;
Purchasing;Select a suitable vendor and send purchase order;Selects|sends;suitable vendor|purchase order;
Warehouse;Request for more stock;;Request for more stock;
Customer;Send inquiry;Sends;inquiry;
Customer;Fill out application form;Fills out;application form;
Customer;Process documents;;Process documents;
Supervisor;Expedite the assessment process;Expedites;assessment process;
CSR;Send mortgage application form;Sends;mortgage application form;
CSR;Review application form;;Review application form;
CSR;Send a reminder to customer;Sends;reminder to customer;
CSR;Inform customer and close transaction;Informs;customer|close transaction;
Mortgage Specialist;Inform customer of rejection;Informs;customer of rejection;
Mortgage Specialist;Archive details;;Archive details;
Customer;Submit insurance claim;Submits;insurance claim;
Customer;Supply more information;Supplies;more information;
Supervisor;Review the claim;Reviews;claim;
Supervisor;Decide to accept or reject claim;Decides|accepts|rejects;claim;
Claim Adjuster;Review the claim;Reviews;claim;
Claim Adjuster;Decide to accept or reject claim;Decides|accepts|rejects;claim;
Claim Adjuster;Send to supervisor for review;Sends to;supervisor for review;
Claim Adjuster;Inform customer of rejection reasons;Informs;customer of rejection reasons;
Claim Adjuster;Send claim payment to customer;Sends;claim payment to customer;
Customer Service;Review the claim;Reviews;claim;
Customer Service;Contact customer for details;Contacts;customer for details;
Customer Service;Forward claim to claim adjuster;;Forward claim to claim adjuster;
Customer;Bring computer to ACM and describe problem;Brings|describes;computer to ACM|problem;
Customer;Authorize the repair;Authorizes;repair;
Customer;Take computer back;Takes;computer;
Technician;Diagnose the problem;Diagnoses;problem;
Technician;Ask Store Owner to complete the repair;Asks|completes;Store Owner to|repair;
Technician;Complete the repair and test computer;Completes;repair|test computer;
Technician;File a report about the repair;Files;report about the repair;
Store Owner;Create estimate of repair time and cost;Creates;estimate of repair time|cost;
Store Owner;Assign a technician to repair the problem;Assigns|repairs;technician to|problem;
Store Owner;Complete repair and test computer;;Complete repair|test computer;
Store Owner;File a report about the repair;Files;report about the repair;
Store Owner;Inform customer of repair completion;Informs;customer of repair completion;
Store Owner;Inform customer of inability to fix;Informs|fixes;customer of inability to;
lecturer;check process model;checks;process model;
lecturer;assign negative points;assigns;negative points;
lecturer;check the process and assign points;checks|assigns;process|points;
lecturer;check the progress and consult problems;checks|consults;progress|problems;
team;agree on team domain;agrees on;team domain;
team;analyse the field of study;analyses;field of study;
team;assign roles in the tem;assigns;roles in the tem;
team;present the project;presents;project;
student;join team;joins;team;
student;create one process model;creates;process model;
student;fix the problem at the next seasion;fixes;problem at the next seasion;
student;extend the process to L2,3;extends;process to L2;
student;perform work according to role;performs|accords to;work|role;
Checked department;hand in details of their work;;hand in details|work;
Auditor;Look for essential problems within company;Looks for;essential problems within company;
Auditor;look fo preciese information;looks fo;preciese information;
Auditor;statement of employees' work;;statement of employees' work;
Auditor;consult with employes;consults with;employes;
Auditor;general statement;;general statement;
Auditor;deeper look into a company;looks into;company;
examiner;get to know the case;gets|knows;case;
examiner;first evaluation;;first evaluation;
examiner;contact insurer and consult the case;contacts|consults;insurer|case;
examiner;final evaluation;;final evaluation;
Insurance company;a shady incident;;shady incident;
Insurance company;analyse details of the case;analyses;details of the case;
Insurance company;report for insurer;;report for insurer;
insurer;hand in details of an accident;;hand in details of an accident;
insurer;enter a protest;enters;protest;
Customer;Review the Venders;Reviews;Venders;
Customer;Send the RFQ;Sends;RFQ;
Customer;Review The Sales Quote;Reviews;Sales Quote;
Sales;Communicate with the Customer;Communicates with;Customer;
Sales;Review Pricing Options and Generate Sales Quote;Generates;Review Pricing Options|Sales Quote;
Emgineering;Produce L&M Cost Estimates Laser tested;Produces|tests;L|M Cost Estimates Laser;
Finance;Adding The Overhead Cost;Addings;Overhead Cost;
Finance;Generate Pricing Options;Generates;Pricing Options;
Customer;Create RFQ;Creates;RFQ;
Customer;Review Sales Quote;;Review Sales Quote;
Customer;Review the Vendors;Reviews;Vendors;
Customer;Review the Sales Quote;Reviews;Sales Quote;
Sales;Verify the RFQ;Verifies;RFQ;
Engineering;Produce L&M Cost;Produces;M Cost;
Finance;Adding the Overhead Cost;Addings;Overhead Cost;
Reporter;Write Incident Report;;Write Incident Report;
Analyst;Comment arrangements;;Comment arrangements;
reporter;report incident;;report incident;
reporter;note incident number and -code;;note incident number|code;
reporter;answer request;;answer request;
agent;answer request provision;;answer request provision;
activiti process engine;report incident;;report incident;
activiti process engine;deidentify incident step 1;;deidentify incident step 1;
activiti process engine;deidentifiy incident step 2;;deidentifiy incident step 2;
activiti process engine;analyze incident;analyzes;incident;
activiti process engine;answer request by reporter;;answer request by reporter;
activiti process engine;answered request by reporter (list);answers;request by reporter|list;
activiti process engine;answer request by agent;;answer request by agent;
activiti process engine;answered request by agent (list);answers;request by agent|list;
analyst;analyze incident;analyzes;incident;
Customer;Review the sales quote;Reviews;sales quote;
Sales;Review pricing options and generate sales quote;generates;Review pricing options|sales quote;
Engineering;Produce L&M Cost Estimates;Produces;L|M Cost Estimates;
Finance;Adding the Overhead cost;Addings;Overhead cost;
Finance;Generate pricing options;Generates;pricing options;
Customer;Submit the Insurance Claim;Submits;Insurance Claim;
CSR;Review the claim;Reviews;claim;
CSR;communicate with the customer;communicates with;customer;
Claim Adjuster;Evaluate the claim;Evaluates;claim;
Claim Adjuster;send payment;sends;payment;
Claim Adjuster;send rejection letter with explanation;sends;rejection letter with explanation;
Supervisor;evaluate the claim;evaluates;claim;
PURCHASING AGENT;Create Purchase order  2x;Creates;Purchase order 2 x;
FINANCE DEPARTMENT;Create Billing Document;Creates;Billing Document;
FINANCE DEPARTMENT;Post Incoming Payment;Incomings;Post|Payment;
WAREHOUSE TEAM;Display stock/ Requirements list;;Display stock|Requirements list;
WAREHOUSE TEAM;Create Transfer order for Delivery note;Creates;Transfer order for Delivery note;
WAREHOUSE TEAM;Create Purchase requisition;Creates;Purchase requisition;
WAREHOUSE TEAM;Goods Receipt for Purchase order;;Goods Receipt for Purchase order;
PRODUCTION PLANNER;MRP Run;Runs;;MRP
PRODUCTION PLANNER;Create Production order 2x;Creates;Production order 2 x;
PRODUCTION PLANNER;Production Order confirmation & Production of motorcycle 2x;;Production Order confirmation|Production of motorcycle 2 x;
SALES & DISTRIBUTION DEPARTMENT;Create sales order;Creates;sales order;
SALES & DISTRIBUTION DEPARTMENT;Outbound Delivery with order reference;;Outbound Delivery with order reference;
SALES & DISTRIBUTION DEPARTMENT;Check inventory for finished goods;Checks|finishes;inventory|goods;
sales;verify RFQ;verifies;RFQ;
sales;Send to Customer;Sends to;Customer;
sales;Generate sales Quotes;Generates;sales Quotes;
Finance;Produced labor and materal costs;Produceds;labor|materal costs;
Engineering;Add overhead cost;Adds;overhead cost;
Customer;Generate RFQ;Generates;RFQ;
Customer;Analyze Sales Quote;Analyzes;Sales Quote;
Volley Club;emptying the mailbox;empties;mailbox;
Volley Club;Phonecall to complete data;;Phonecall to complete data;
Volley Club;Recording an archieving;Recordings;archieving;
Volley Club;add to the register;adds to;register;
Volley Club;write down member fee into register;writes down;member fee into register;
Volley Club;letter with explanation of rejecting;;letter with explanation of rejecting;
Volley Club;print membership cards;prints;membership cards;
Volley Club;send membership cards;sends;membership cards;
Miranda;new member for the club?;;new member for the club;
Miranda;stamp the letter;stamps;letter;
Miranda;calculkate member fee;;calculkate member fee;
candidate;sending letter;sends;letter;
candidate;Phonecall with Charles;;Phonecall with Charles;
candidate;get rejected;rejects;;
candidate;is a new member of the club;;new member of the club;
candidate;has to pay membership;has|pays;membership;
candidate;pays the fee;pays;fee;
candidate;does not pay the fee;pays;fee;
Web Designer;First informational meeting;;First informational meeting;
Web Designer;Design site;;Design site;
Web Designer;Develop site;Develops;site;
Web Designer;Prepare content;Prepares;content;
Web Designer;Marketing review;;Marketing review;
Web Designer;Final version of content;;Final version of content;
Web Designer;Building the site;Buildings;site;
Web Designer;Review activity;;Review activity;
Web Designer;Approval of the site;;Approval of the site;
Web Designer;Storyboard;;Storyboard;
Miranda;emptying the letterbook;empties;letterbook;
Miranda;rejecting the candidate;rejects;candidate;
Miranda;accepting the candidate and sending the letter to Charles;accepts|sends;candidate|letter to Charles;
Miranda;calculating the member fee for every person;calculates;member fee for every person;
Miranda;giving the fee data to Charles;gives;fee data to Charles;
Charles;Empties Mailbox and check for missing information;Emptieses|misses;Mailbox|check|information;
Charles;Phonecall to complete data;;Phonecall to complete data;
Charles;recording and archiving;;recording|archiving;
Charles;sending of rejection letter;sends of;rejection letter;
Charles;add member to register;adds;member to register;
Charles;sending the data to Miranda;sends;data to Miranda;
Charles;writing the fees into the register;writes;fees into the register;
Charles;preparing invoice for new candidates;prepares;invoice for new candidates;
Charles;waiting for payment of the fees;waits for;payment of the fees;
Charles;prints the membership card;prints;membership card;
Charles;send the membership cards to the new members;sends;membership cards to the new members;
Backup;Backup of Database;;Backup of Database;
Backup;Check the CRM for new registers;Checks;new registers;CRM
Backup;write the registers into the existing table;writes|exists;registers|table;
Backup;alert the supervisor;alerts;supervisor;
Backup;Produce a new table;Produces;new table;
Backup;send it to the account manager;sends;account manager;
Backup;check CRM whether new returns are filled;checks|fills;new returns;CRM
Backup;reconcile with the existing;reconciles with;existing;
Backup;message to the supervisor;;message to the supervisor;
Backup;register;;register;
Customer Service Representative;update case details;;update case details;
Customer Service Representative;archive;;archive;
Customer Service Representative;cancellation;;cancellation;
Customer Service Representative;moved to administration for completion;moves to;administration for completion;
Customer Service Representative;generate message for outstanding documents;generates;message for outstanding documents;
commitee members;check diaries and for conflicts;checks;diaries|conflicts;
support officer;check dates and suggest modifications;checks|suggests;dates|modifications;
support officer;update group calendar;;update group calendar;
support officer;create meeting folders;creates;meeting folders;
support officer;ensure that all documents are uploaded;ensures|uploads;documents;
coordination unit;schedule meetings;;schedule meetings;
coordination unit;add draft dates;adds;draft dates;
coordination unit;recheck all dates - potential conflicts?;rechecks;dates|potential conflicts;
coordination unit;create final schedule;creates;final schedule;
coordination unit;finalize schedule;finalizes;schedule;
Sales and Marketing;Check customer;Checks;customer;
Sales and Marketing;Place order in ERP system;;Place order in ERP system;
Sales and Marketing;Check product availability;Checks;product availability;
Sales and Marketing;Reject the order;Rejects;order;
Sales and Marketing;Invoice the customer;Invoices;customer;
Sales and Marketing;Send Christmas card every year;Sends;card every year;Christmas
Production;Start production;Starts;production;
Logistics and Distribution;Take product from the warehouse;Takes;product from the warehouse;
Logistics and Distribution;Prepare product for shipment;Prepares;product for shipment;
Logistics and Distribution;Deliver the product;Delivers;product;
Accounting;Check reminder >3;Checks;reminder;
Accounting;Check bank account;Checks;bank account;
Accounting;Send reminder;Sends;reminder;
Legal department;Take legal actions;Takes;legal actions;
Validation Department;Forward Validated Invoices to the Registry;Validateds;Invoices to the Registry;
Validation Department;Update Status to Validated;Validateds;Update Status;
The Registry;Receiving Validated Invoices;Receivings Validated;Invoices;
The Registry;Sorting by vendors;Sortings by;vendors;
The Registry;Sorting by Payment Date;Sortings by;Payment Date;
The Registry;Archiving Invoices;;Archiving Invoices;
The Registry;Relocating an Archived Invoice;Relocatings|Archiveds;Invoice;
Payment Department;Process Weekly Payment;;Process Weekly Payment;
Payment Department;Generate Payment Report;Generates;Payment Report;
Payment Department;Send report to Client;Sends;report to Client;
Payment Department;Send Report to the Registry;Sends;Report to the Registry;
Payment Department;Send Report to Accounts Receivable Department;Sends;Report to Accounts Receivable Department;
Account Receivable Department;Generate Monthly Invoices;Generates;Monthly Invoices;
Account Receivable Department;Send Invoice to Client;Sends;Invoice to Client;
Account Receivable Department;Receive Payment from Client;Receives;Payment from Client;
SSP Clients;Client sends invoice to SSP;sends;Client|invoice to SSP;
Admin Department;Sort invoice by client;;Sort invoice by client;
Admin Department;Sub-Sort invoices by vendor;;Sub|Sort invoices by vendor;
Admin Department;Attach Invoice Entry Form;Attaches;Invoice Entry Form;
Admin Department;Fill out Invoice Entry Form;Fills out;Invoice Entry Form;
Admin Department;Check invoice for completeness;Checks;invoice for completeness;
Admin Department;Allocate to Data Entry personel;Allocates to;Data Entry personel;
Mail Centre;Categorise Mail;Categorises;Mail;
Mail Centre;Return invoice to client to complete;Returns;invoice to client;
Mail Centre;Return non-complaint invoice to client;Returns;non-complaint invoice to client;
Validation Department;Sort invoices by client;;Sort invoices by client;
Validation Department;Print invoice validation report sorted by client;Prints|sorts by;invoice validation report|client;
Validation Department;Validate data entry for invoice;Validates;data entry for invoice;
Validation Department;Update invoice batch to validated;validates;Update invoice batch;
The Registry;Pay Invoice;Pays;Invoice;
The Registry;Leave Invoice unpaid until next pay run;Leaves;Invoice unpaid until next pay run;
Payment Department;Generate monthly invoice report for Client;Generates;monthly invoice report for Client;
Account Receivable Department;Sort by Vendor;;Sort by Vendor;
Account Receivable Department;Archive Invoice;;Archive Invoice;
Vendor Master Record Data Entry Department;Create Vendor Master Record;Creates;Vendor Master Record;
Admin Department;Recall Client's SLA;Recalls;Client's SLA;
Admin Department;Search Excel spreadsheet for SLA;Searches;Excel spreadsheet for SLA;
Admin Department;Write SLA on Invoice Entry form;Writes;SLA on Invoice Entry form;
SSP Clients;Forward Invoice;;Forward Invoice;
SSP Clients;Complete Invoice;;Complete Invoice;
SSP Clients;Determine correct compliance information;Determines;correct compliance information;
SSP Clients;Notify Vendor of Invoice Payment;Notifies;Vendor of Invoice Payment;
SSP Clients;Pay Monthly Invoice;Pays;Monthly Invoice;
SSP Clients;Modify information for compliance;Modifies;information for compliance;
Admin Department;Check if invoice is compliant with the SLA;Checks;invoice|SLA;
Admin Department;Return Invoice to Client;Returns;Invoice to Client;
Admin Department;Send Reminder Letter;Sends;Reminder Letter;
Admin Department;Phone client to request required information;requests required;Phone client to|information;
Admin Department;Complete invoice entry form with compliance information;;Complete invoice entry form with compliance information;
Data Entry Department;Enter Master Record Request Form;Enters;Master Record Request Form;
Data Entry Department;Enter Vendor code on Invoice Entry form;Enters;Vendor code on Invoice Entry form;
Data Entry Department;Sort Invoices by Vendor;;Sort Invoices by Vendor;
Data Entry Department;Take Invoice batch to Outbox;Takes;Invoice batch to Outbox;
Data Entry Department;Look up Vendor in SAP system;Looks up;Vendor in SAP system;
Data Entry Department;Sort Invoices by Amount;;Sort Invoices by Amount;
Validation Department;Send Validated Invoices to the Registry;Sends Validated;Invoices to the Registry;
The Registry;Sort by Vendor;;Sort by Vendor;
The Registry;Sort by Payment Date;;Sort by Payment Date;
The Registry;Archive Invoices;;Archive Invoices;
The Registry;File invoice payment report;;File invoice payment report;
Payment Department;Pay Vendor;Pays;Vendor;
Payment Department;Leave Invoice unpaid until next pay run;Leaves;Invoice unpaid until next pay run;
Payment Department;Generate invoice payment report per client;Generates;invoice payment report per client;
Payment Department;Send invoice report to client;Sends;invoice report to client;
Account Receivable Department;Generate monthly invoice for client;Generates;monthly invoice for client;
Account Receivable Department;Monthly invoice marked as paid;marks|pays;Monthly invoice;
Vendor;Issue Invoice;;Issue Invoice;
Vendor;Mark invoice as paid;pays;invoice;Mark
Sales;Check Customer;Checks;Customer;
Sales;Check Solvency;Checks;Solvency;
Sales;Check Intercooperability;Checks;Intercooperability;
Sales;Apply to data base;Applies to;data base;
Sales;Offer Prepayment;Offers;Prepayment;
Sales;create offer for customer;creates;offer for customer;
Sales;Recreate/negotioate offer;Recreates;negotioate offer;
Sales;Send invoice;Sends;invoice;
Sales;Send letter of refusal;Sends;letter of refusal;
Sales;Check payment;Checks;payment;
Sales;Send reminder;Sends;reminder;
Sales;Close order;;Close order;
Sales;Check number of reminders;Checks;number of reminders;
Sales;Contact a lawyer;Contacts;lawyer;
Logistics;Check capacity;Checks;capacity;
Logistics;Send inquiry for goods to supplier;Sends;inquiry for goods to supplier;
Logistics;Receive suppliers offer;Receives|offers;suppliers;
Logistics;preparing the order;prepares;order;
Logistics;Send goods;Sends;goods;
Logistics;start production;starts;production;
Italian Restaurant;ask for menu;asks for;menu;
Italian Restaurant;check available dishes;checks;available dishes;
Italian Restaurant;order tiramisu;orders;tiramisu;
Italian Restaurant;order a glass of red wine;orders;glass of red wine;
Italian Restaurant;consume your dishes;consumes;dishes;
Italian Restaurant;ask for check;asks for;check;
Italian Restaurant;waiter was nice;;waiter;
Italian Restaurant;waiter was not nice;;waiter;
Italian Restaurant;pay bill and tip;pays;bill|tip;
Italian Restaurant;pay the bill;pays;bill;
Italian Restaurant;skip dessert;skips;dessert;
Italian Restaurant;order salad;orders;salad;
Italian Restaurant;ask for tiramisu;asks for;tiramisu;
Part Provision Team;Identify parts;Identifies;parts;
Part Provision Team;Elicit information from customer;Elicits;information from customer;
Part Provision Team;Check availability;Checks;availability;
Part Provision Team;supplied to customer;supplies to;customer;
Part Provision Team;Record customer detail;;Record customer detail;
Part Provision Team;Contract customer;;Contract customer;
Part Provision Team;Parts Collected;Collecteds;Parts;
Part Provision Team;Payment;;Payment;
Army;Hold physical exam;Holds;physical exam;
Army;Shortlist application;;Shortlist application;
Army;Hold mental exam;Holds;mental exam;
Army;Hold interview;Holds;interview;
Army;Recruit applicant;Recruits;applicant;
Army;Notify failure;Notifies;failure;
Army;Schedule exams and interview;;Schedule exams|interview;
Sales & Distribution;Check stock availability;Checks;stock availability;
Sales & Distribution;Confirm order;Confirms;order;
Sales & Distribution;Archive order;;Archive order;
Sales & Distribution;Send invoice;Sends;invoice;
Warehouse;Send product;Sends;product;
Warehouse;Manufacture product;;Manufacture product;
Warehouse;Purchase raw materials from Supplier 1;Purchases;raw materials from Supplier 1;
Warehouse;Purchase raw materials from Supplier 2;Purchases;raw materials from Supplier 2;
Warehouse;Check raw materials availability;Checks;raw materials availability;
Sales;Confirm order;Confirms;order;
Sales;Emit invoice;Emits;invoice;
Sales;Archive order;;Archive order;
Cashier;Capture party details;Captures;party details;
Cashier;Print file server;Prints;file server;
Cashier;Receive payment;Receives;payment;
Small claims tribunal;Retrieve claim file;Retrieves;claim file;
Small claims tribunal;Distribute warrant possession;Distributes;warrant possession;
Small claims tribunal;Store claim file;;Store claim file;
Small claims tribunal;Attach claim report;Attaches;claim report;
Small claims tribunal;Store expanded file;expands;Store|file;
Small claims tribunal;Notify party;Notifies;party;
Party;Archive claim;;Archive claim;
Small claims tribunal;Distribute warrant possession coversheet;Distributes;warrant possession coversheet;
Small claims tribunal;Store expanded claim file;expands;Store|claim file;
Sales;Receive payment;Receives;payment;
Assessment Manager;Store application;;Store application;
Assessment Manager;Get initial validation;Gets;initial validation;
Assessment Manager;Check validation result;Checks;validation result;
Assessment Manager;Check modifications to natural environment;Checks;modifications to natural environment;
Assessment Manager;Apply additional fees;Applies;additional fees;
Assessment Manager;Check environment protection laws;Checks;environment protection laws;
Assessment Manager;Prepare final approval;Prepares;final approval;
Cadastre;Retrieve geographical infromation;Retrieves;geographical infromation;
DMR;Check for road conflicts;Checks for;road conflicts;
Seller;Prepare registration information;Prepares;registration information;
Seller;Request auction creation;;Request auction creation;
Auctioning Service;Check registration status;Checks;registration status;
Auctioning Service;Request account creation;;Request account creation;
Auctioning Service;Confirm auction creation;Confirms;auction creation;
Customer;Pay travel;Pays;travel;
Customer;Check travel offer;Checks;travel offer;
Customer;Reject offer;Rejects;offer;
Customer;Book travel;;Book travel;
Travel Agency;Make travel offer;Makes;travel offer;
Travel Agency;Order ticket;;Order ticket;
Travel Agency;Confirm booking;Confirms;booking;
Airline;Handle payment;Handles;payment;
Airline;Confirm payment;Confirms;payment;
Airline;Refuse payment;Refuses;payment;
Client;Submit request for quote;Submits;request for quote;
Client;Check quote;Checks;quote;
Client;Send order;Sends;order;
Client;Send notification;Sends;notification;
Seller;Prepare quote;Prepares;quote;
Seller;Send quote;Sends;quote;
Seller;Handle order;Handles;order;
Seller;Organize shipment;Organizes;shipment;
Seller;Assess request for merchandise return;Assesses;request for merchandise return;
Seller;Send rejection;Sends;rejection;
Seller;Send acceptance;Sends;acceptance;
Seller;Invoice customer;;Invoice customer;
Seller;Receive merchandise;Receives;merchandise;
Seller;Approve loss claim;Approves;loss claim;
Customer;Sign delivery notice;Signs;delivery notice;
Customer;Assess merchandise;Assesses;merchandise;
Customer;Lodge damage claim report;;Lodge damage claim report;
Customer;Lodge request for merchandise return;;Lodge request for merchandise return;
Customer;Lodge loss claim report;;Lodge loss claim report;
Customer;Attempt suicide;Attempts;suicide;
Customer;Return merchandise;Returns;merchandise;
Customer;Pay;Pays;;
Risk Assessor;Assess loan risk;Assesses;loan risk;
Loan Officer;Return application back to applicant;Returns;application|applicant;
Loan Officer;Check application form completeness;Checks;application form completeness;
Loan Officer;Assess eligibility;Assesses;eligibility;
Loan Officer;Reject application;Rejects;application;
Loan Officer;Send acceptance pack;Sends;acceptance pack;
Loan Officer;Verify repayment agreement;Verifies;repayment agreement;
Loan Officer;Prepare acceptance pack;Prepares;acceptance pack;
Loan Officer;Check if home insurance quote is requested;Checks|requests;home insurance quote;
Loan Officer;Cancel application;Cancels;application;
Loan Officer;Notify cancelation;Notifies;cancelation;
Loan Officer;Approve application;Approves;application;
Loan Officer;Notify approval;Notifies;approval;
Loan Officer;Receive updated application;Receives updated;application;
Financial Officer;Check credit history;Checks;credit history;
Insurance Sales Rep.;Send home insurance quote;Sends;home insurance quote;
Listings;Change schedule;;Change schedule;
Judicary;Resolve judge availability;Resolves;judge availability;
Loan Provider;Return application back to applicant;Returns;application|applicant;
Loan Provider;Check application form completeness;Checks;application form completeness;
Loan Provider;Receive updated application;Receives updated;application;
Sales;Receive Payment;Receives;Payment;
Customer;Provide shipping address;Provides;shipping address;
Customer;Place purchase order;;Place purchase order;
Customer;Make payment;Makes;payment;
Seller;Confirm order;Confirms;order;
Seller;Manufacture product;;Manufacture product;
Seller;Check stock availability;Checks;stock availability;
Seller;Retrieve product from warehouse;Retrieves;product from warehouse;
Seller;Archive order;;Archive order;
Insurance client;Lodge insurance claim;;Lodge insurance claim;
Insurance client;Check witnesses;Checks;witnesses;
Client;Prepare loan application;Prepares;loan application;
Client;Check approval letter;Checks;approval letter;
Client;Reject offer;Rejects;offer;
Client;Accept offer;Accepts;offer;
Mortgage department;Submit disbursement request;Submits;disbursement request;
Mortgage department;Apply interest rate reduction;Applies;interest rate reduction;
Mortgage department;Reject application;Rejects;application;
Mortgage department;Approve application;Approves;application;
Mortgage department;Check loan amount;Checks;loan amount;
Mortgage department;Assess application;Assesses;application;
Insurance department;Prepare insurance offer;Prepares;insurance offer;
Insurance department;Draw insurance contract;Draws;insurance contract;
Financial department;Handle disbursement request;Handles;disbursement request;
Broker;Forward application to BestLoans;;Forward application to BestLoans;
Broker;Examine application;Examines;application;
Broker;Assess application;Assesses;application;
Broker;Reject application;Rejects;application;
Broker;Approve application;Approves;application;
Mortgage department;Register loan application;;Register loan application;
Office;Notify employee;Notifies;employee;
Office;Check expense report;Checks;expense report;
Office;Create account;Creates;account;
Office;Register amount rectification;;Register amount rectification;
Mortgage department;Annul deed;Annuls;deed;
Insurance department;Annul insurance contract;Annuls;insurance contract;
Financial department;Recall loan;Recalls;loan;
Customer;Pay merchandise;Pays;merchandise;
Carrier;Notify delivery;Notifies;delivery;
Carrier;Transport freight;;Transport freight;
Customer;Receive product;Receives;product;
SSP (Mail Center);Contact client;;Contact client;
SSP (Mail Center);Confirm payment of invoice;Confirms;payment of invoice;
SSP (Mail Center);Request relevant info;Requests;relevant info;
SSP (Mail Center);Receive conformation;Receives;conformation;
Admin Office;Check completeness of invoices;Checks;completeness of invoices;
Admin Office;Tick the relevant box on the invoice entry form;Ticks;relevant box on the invoice entry form;
Admin Office;Return to client via postal mail;Returns to;client via postal mail;
Admin Office;Receive completed invoices;Receives completed;invoices;
Mail Center;Open envelopes;;Open envelopes;
Mail Center;Categorise invoices;Categorises;invoices;
Admin Office;Check compliance;Checks;compliance;
Admin Office;Attach invoice entry form to invoices;Attaches;invoice entry form to invoices;
Admin Office;Check priority;Checks;priority;
Admin Office;Apply red stamp on invoice entry form;Applies;red stamp on invoice entry form;
Admin Office;Sort invoices per client;;Sort invoices per client;
Admin Office;Sort invoices per vendor;;Sort invoices per vendor;
Admin Office;Send invoice to experienced staff;Sends|experiences;invoice|staff;
Admin Office;Call client for required information;Calls|requires;client|information;
Admin Office;Enter client/vendor information on the invoice entry form;Enters;client|vendor information on the invoice entry form;
Admin Office;Check service level agreements;Checks;service level agreements;
Data Entry Office;Check priority;Checks;priority;
Data Entry Office;Look up vendor in SAP;Looks up;vendor in SAP;
Data Entry Office;Enter vendor number into invoice entry form;Enters;vendor number into invoice entry form;
Data Entry Office;Resort invoices per Vendor;;Resort invoices per Vendor;
Data Entry Office;Sort invoices based on invoice amount;bases on;Sort invoices|invoice amount;
Data Entry Office;Enter invoice data;Enters;invoice data;
Data Entry Office;Tick invoice entered box on the invoice entry form;enters;Tick invoice|box on the invoice entry form;
Master Data Enter Department;Check priority;Checks;priority;
Master Data Enter Department;Enter new vendor master record into SAP within 5days;Enters;new vendor master record into SAP|days;
Master Data Enter Department;Enter new vendor master record into SAP within 24 hours;Enters;new vendor master record into SAP|hours;
Validation Office;Check priority;Checks;priority;
Validation Office;Sort invoices per client;;Sort invoices per client;
Validation Office;Print invoices report from SAP;Prints;invoices report from SAP;
Validation Office;Login to SAP;Logins to;;SAP
Validation Office;Change status to validated;validates;Change status;
Validation Office;Send invoices to DEO;Sends;invoices to DEO;
Registry;Pay invoices;Pays;invoices;
Registry;Generate payment report;Generates;payment report;
Registry;Send report to client;Sends;report to client;
Registry;Send report to Registry Officer;Sends;report to Registry Officer;
Registry;Select paid invoces;Selects paid;invoces;
Registry;Archive invoices per vendor;;Archive invoices per vendor;
Registry;Archive invoices per payment date;;Archive invoices per payment date;
Registry;Track original invoice;Tracks;original invoice;
Registry;Compare invoice with invoice entry form;Compares;invoice with invoice entry form;
Registry;Send report to Accounts Receivable Department;Sends;report to Accounts Receivable Department;
Account Receivable Department;Generate monthly invoice;Generates;monthly invoice;
Account Receivable Department;Charge flat fee;Charges;flat fee;
Validation Office;Check invoice data for errors;Checks;invoice data for errors;
Validation Office;Highlight errors on invoice entry form;Highlights;errors on invoice entry form;
Validation Office;Keep performance record of DEO;Keeps;performance record of DEO;
Admin Office;Return invoice to client via postal mail;Returns;invoice to client via postal mail;
Admin Office;Send reminder letter;Sends;reminder letter;
Admin Office;Send 2nd reminder letter;Sends;2nd reminder letter;
