Entry;Entities;EntityType
Check Information (3a), (4a), (4b);Check Information;B-misc
Check Registration (1);Check Regis;B-misc
Confirm Start of Delivery (4a);Con|Start of Del;ORGANIZATION|I-org
New Supplier;New Suppl;B-misc
Cancelation of delivery handling;;
Service;Service;B-misc
Schufa;Sc;ORGANIZATION
Academic senate;;
Candidate;;
University;University;ORGANIZATION
President;;
Inspection crew;;
Maintenance crew;;
Business Process perspectine;Business Process;B-misc
TS Recruitment Managers;TS Rec|Manager;B-misc|I-misc
Client End Manager;Cl|End Manager;B-misc|I-misc
Client HR Representive;HR Rep;ORGANIZATION
TS HR;TS HR;PERSON
GovSource;Go;ORGANIZATION
Recruitment Panel;Rec|Panel;B-misc|I-misc
Candidates;;
TS Recruitment Manager;TS Rec|Manager;B-misc|I-misc
Administration department;;
Mailing department;;
Data Office;Data Office;ORGANIZATION
Master Data Management;Master Data Management;B-misc
Recruitment Manager;Rec|Manager;B-misc|I-misc
TS HR Coordinator and their teams;TS HR Co;PERSON
Casual Admin Assisstant;Ca|Ad|Ass;ORGANIZATION|I-org|I-org
Trained specialist;;
Account Provider;Account Pro;B-misc
Bank Customer;Bank Custom;B-misc
Post Officer;Officer|Post;B-misc|I-org
Bank Officer;Bank Officer;ORGANIZATION
Purchase & Manufacturing;P|& Manufacturing;ORGANIZATION|I-org
Accounting office;;
Italian restaurant;Italian;B-misc
Informecial Meeting;Meeting|Info;B-misc|I-misc
Drop-off tech;;
Data entry tech;;
Pick-up tech;;
Producer;;
CVS employee;CV;B-misc
CVS store;CV;B-misc
CVS;CV;ORGANIZATION
CVS IT system;IT|CV;B-misc|I-misc
Transaction;Trans;B-misc
ABC Co. RFG Process;RF|Process|ABC Co;ORGANIZATION|I-misc|I-misc
Passenger;;
Virgin Airline Staff;Staff|Virgin Air;ORGANIZATION|I-org
Passenger role;;
SmartGate role;;
USER;US;PERSON
Landlord/ Agent;Land|Agent;ORGANIZATION|ORGANIZATION
Landlord/Agent;Land|Agent;ORGANIZATION|ORGANIZATION
Agencies & Landlords;Age|& Land;B-misc|I-misc
Landlord / Agency;Agency|Land;ORGANIZATION|ORGANIZATION
Processing Officer;Officer;I-org
Consultant;;
Actuarial Officer;Act|Officer;ORGANIZATION|I-org
Accountant;;
Car Dealer;Car Deal;B-misc
Mechanic;Me;PERSON
Salesman;Sales;ORGANIZATION
Patient (mother);;
Pharmacy;;
Creator;;
Sales Officer;Officer|Sales;B-misc|I-org
Production Engineer;;
Procurement Officer;;
Admission office;;
Academic recognition agency;;
Level-1 staff;;
Dispatcher;;
Driver;Driver;ORGANIZATION
Storeman;Store;PERSON
Tracking;;
Customer(Newlyweds);New;B-misc
Guests;;
Wedding Preparing Group;Group|Wedding Pre;ORGANIZATION|I-org
Seamless Service Provision (SSP);Service Pro|SS|Sea;B-misc|I-misc|ORGANIZATION
Incoming Mail Centre;Mail Centre;LOCATION
Validation Officer;;
Payment Officer;Officer|Pay;B-misc|I-misc
Accounts receivable Department;Department;ORGANIZATION
Experienced SSP;SS;PERSON
Internal Mail;Internal Mail;ORGANIZATION
Master Data Entry Departement;Master Data Entry|Departement;B-misc|I-org
Incoming Mail Employee;Mail Em;ORGANIZATION
Internal Mail Employee;Internal Mail Em;ORGANIZATION
Master Data Entry Officer;Master Data Entry Officer;B-misc
Registry Employee;Em|Regis;ORGANIZATION|I-org
Experienced SSP Employee;Em|SS;ORGANIZATION|I-org
Mail Centre employee;Mail Centre;B-misc
superiisor;;
Logistic Manager;Lo|Manager;ORGANIZATION|I-org
Warehouse Worker;Ware|Work;B-misc|I-misc
Person;;
Market analyst;;
Finance department;;
Detective;Detective;B-misc
Target audience;;
PR department;PR;B-misc
Salesperson;;
Risk analysis department;;
Capitol;Capitol;LOCATION
loan agency;;
rating agency;;
Operational Analyst;Ana|Operation;B-misc|I-org
Analyst Supervisor;Super;B-misc
Customer Registration;Custom|Regis;B-misc|I-misc
Billing form;;
Designer;;
Customer (business);;
Librarian;Li;B-misc
CO;CO;PERSON
Used Book Buyer;Used Book Buy;B-misc
sales & distribution;;
Beneficiary;;
Regulatory Department (Clerk);Department|Reg|Clerk;ORGANIZATION|I-org|PERSON
Insurance Agent;Insurance Agent;ORGANIZATION
Check In Desk;Check In Des;B-misc
Customer Database;Database|Custom;B-misc|I-misc
Translator;;
Local Demand Management;Local Dem|Management;ORGANIZATION|I-org
Requirements Manager;Re|Manager;B-misc|I-org
Requirements Manager Gremium;G;ORGANIZATION
Business architect;;
CAB;CA;PERSON
Technical architect;;
Budget- &amp;;
Release Manager;Manager;I-org
Release Gremium;Release;B-misc
Flower Storage;Flower Stora;B-misc
IITB student;II;B-misc
Traveler;Travel;B-misc
Interested Parties;;
Extract Photo information;;
Manually Update Photo Information;;
clerk;;
pizza chef;;
delivery boy;;
Buy a car;;
Instructor;;
Researcher;;
teacher;;
Business support;;
Technical support;;
On call and email support;;
Level 1 support staff;Level 1;B-misc
Level 2 employee;;
Business Architectural Team;Business Arch|Team;ORGANIZATION|I-org
ISB Management;IS|Management;ORGANIZATION|I-org
Stakeholders;;
BPMC;BP;ORGANIZATION
BPWG;BP;PERSON
EMT;EM;LOCATION
Opportunity Initiator;;
Process Owner;Process Own;B-misc
Business Architecture;Business Architecture;B-misc
Business Architecture Team;Business Architecture Team;B-misc
Credit Division;Credit Division;ORGANIZATION
Application processed;;
Application lodgement;;
Application investigation;;
Views of stakeholders;;
Financial;Financial;ORGANIZATION
Company (HR);Company|HR;ORGANIZATION|PERSON
techGate;;
TechGate;Tech;B-misc
techgate;;
case-worker legal affairs;;
warehouse worker;;
case-worker organization;;
requester;;
service technician;;
accountant;;
SAP;SAP;ORGANIZATION
Officer;;
Customer on 'Your weight loss partner' website.;Your weight loss partner;B-misc
Restaurant preparing and delivering food.;;
Organization;;
patient activities;;
device;;
Purchasing;;
Mortgage specialist;;
Claim Ajuster;Cl|A;PERSON|I-per
Owner;;
Ebay Seller;E|Selle;B-misc|I-misc
Ebay Buyer;E|Buy;PERSON|I-per
Board;Board;ORGANIZATION
CEO;;
User Account Admin;User Account Ad;B-misc
Buyer;;
Shipping Company;Company|Ship;ORGANIZATION|I-org
Mail Center Staff L1;Mail Center Staff L1;B-misc
Admin Officers L2;Officers L2|Ad;B-misc|I-misc
Data Entry Officers L5;Officers|Data Entry|L;B-misc|I-org|PERSON
Agencies & Citizen;& Citizen|Age;B-misc|I-misc
Service Officer;Service Officer;B-misc
Land Administration Officer;Land Administration Officer;B-misc
Agencies and citizens;;
Stakeholder;;
Minister’s Delegate;Del;ORGANIZATION
Government Garzette;Government Ga;ORGANIZATION
Application and Internal System (DCS and ATS);Application and Internal System|AT|DC;B-misc|ORGANIZATION|PERSON
SAP Management;SAP Management;ORGANIZATION
Validate Officer @ Level 7;Level 7;ORGANIZATION
Validate Officer;Officer;I-org
Account Receivable Dept. Level 4;Level 4|De|Account Rec;B-misc|I-misc|I-misc
Minster's Delegate;Del;ORGANIZATION
Land Administrative Officer;Land Administrative Officer;B-misc
Service center officer;;
Agencies and Citizens;Age|and Citizens;B-misc|I-misc
SAP master entry department;SAP;ORGANIZATION
Admin officer;;
Validating Officer;Officer;ORGANIZATION
Accounts Receivable Department L4;Department|Rec|L|Account;B-misc|I-org|I-misc|PERSON
Master data entry department;;
Account Receivable Department Level 4;Department Level 4|Account Rec;B-misc|I-misc
Mail Center Level 1;Mail Center Level 1;B-misc
Data Entry Office Level 5;Data Entry Office Level 5;B-misc
Subsidiary;;
Screening staff;;
Technical support staff;;
Vladimir;Vladimir;PERSON
Lauri;Lauri;PERSON
Adoption coordinator & Process analysts;Process;B-misc
Oganisation Managemnt;;
Process participants;;
Production with ERP-System;ER;B-misc
Sales & Distribution with CRM-System;Sales & Distribution with CR;B-misc
Logistics with ERP-System;ER;B-misc
Finance & Accounting with ERP-System;Finance & Account|with ER;B-misc|I-misc
Customer Service Department;Custom|Service Department;ORGANIZATION|I-org
Grid Operator;G|Operator;B-misc|I-misc
Change Manager;Change Manager;B-misc
Agency Employee;Agency Em;ORGANIZATION
Department Employee;Department Em;ORGANIZATION
Admission Commission;Ad|Commission;ORGANIZATION|I-org
Uni-Assist;Uni;ORGANIZATION
Online Registration Pool;Online Regis|Pool;B-misc|I-misc
Studienabteilung (Study Department);Studien|Study Department;ORGANIZATION|ORGANIZATION
Customer service (TELECO);;
Service management (TELECO);;
Resource provisioning (TELECO);;
Customer service dept.;;
Quality Inspector;Quality Inspector;B-misc
QA Team Leader;Q|Team Leader;B-misc|I-misc
QA Engineer;Q|Engineer;PERSON|I-per
Level 1;Level 1;ORGANIZATION
Level 2;Level 2;ORGANIZATION
Role A;Role A;B-misc
Role C;Role C;B-misc
Role B;Role B;PERSON
Role E;Role E;B-misc
Role D;Role D;PERSON
insurance clerk;;
Mr Franks;Mr Frank;PERSON
Review clerk;;
Attacker;;
JodaEngine;;
ENGINEERING;;
SALES;SA;B-misc
FINANCE;F;PERSON
hardware Retailer;;
Hardware Retailer;Re|Hard;ORGANIZATION|I-org
Flight Centre;Flight Centre;LOCATION
SSP Receivable Department;Department|SS|Rec;ORGANIZATION|I-org|I-org
Board of Drectors;Board of Dre;ORGANIZATION
Service Desk;Service Des;B-misc
Incident Closure Responsible;Cl|Res;ORGANIZATION|I-org
Suppliers Manager;Manager;I-org
Technical Staff;Technical Staff;ORGANIZATION
Administrator;;
Engeneering department;;
Sales ;Sales;ORGANIZATION
Services;Services;B-misc
Klant;;
External Company;Company|Ex;ORGANIZATION|I-org
Process;;
HR Representative;HR Representative;B-misc
Radiology;Radio;ORGANIZATION
Blood test department;;
CT Scan Department;Department|CT Sc;ORGANIZATION|I-org
Recruiting Manager;Manager;I-org
Manager/chairperson;;
SPARQ HR;SP|HR;B-misc|I-misc
Manager/Chairperson;;
Recruitment manager;;
Co-Workers;Co;ORGANIZATION
Phone clerk;;
Home doctor;;
product;;
Personal Service Department;Personal Service Department;ORGANIZATION
Thesis Director;Director|The;PERSON|I-per
Finance Officer;Finance Officer;ORGANIZATION
Administration Officer;Administration|Officer;B-misc|I-org
EC-Lille;EC;ORGANIZATION
boss;;
humain resource;;
Representative;;
Claim adjuster;;
Bill (Owner);Bill;PERSON
Illustration Creation Team;Creation Team;ORGANIZATION
Technical Team;Technical Team;ORGANIZATION
Admin Officers;Officers|Ad;ORGANIZATION|I-org
Cooking Area;Cook|Area;LOCATION|I-loc
Packing Area;Pack|Area;B-misc|I-misc
Lecture;Lecture;B-misc
Real estate;;
ordering;;
purchasing;;
manufacturing;;
Validation Officers;Officers|Val;ORGANIZATION|I-org
Data Entry Officers;Data Entry Officers;B-misc
Master Data Entry;Master Data Entry;B-misc
Payment Officers;Officers|Pay;B-misc|I-misc
Department XYZ;Department X;PERSON
Process 1;Process|1;B-misc|I-org
Team work explorer;;
meeting members;;
meeting manager;;
client;;
Seamless Service Provision(SSP);Service Pro|SS|Sea;B-misc|I-misc|ORGANIZATION
internal mail center;;
Validation Ofiicer;Of;ORGANIZATION
Staff Member;;
Internal Mail Centre;Internal Mail Centre;LOCATION
MetalWorks;Metal;ORGANIZATION
Level-1;;
Level-2;;
Job tracking system;;
Store;;
Headquarter;;
Hermes;Hermes;ORGANIZATION
Disposition;;
Hub;Hub;LOCATION
Resourcing;;
R&D;R|D;PERSON|PERSON
Investment Decision-making Commitee;Investment Dec|Com;ORGANIZATION|ORGANIZATION
Pets@home;;
Topup Method;Top|Method;B-misc|I-misc
Agency & Citizen;Agency & Citizen;B-misc
Minister Delegate;Del;ORGANIZATION
STUDENT;;
PhD OFFICE;;
ADMINISTRATION;AD;B-misc
Sales Director;Director;I-org
Sales Executive;Sales Executive;ORGANIZATION
Automatic procedure;;
company;;
secretary;;
Secratory;;
Administors;;
Students;;
students;;
Doctor school;;
Coordinator;;
advisor;;
PHD OFFICE;P;B-misc
Not EU;EU;ORGANIZATION
EU;EU;ORGANIZATION
Evaluation commission;;
Member of evaluation commission;;
PROFESSORS;;
ADMINISTRATION OFFICE;AD|OF;B-misc|I-misc
Secretatry;;
Administrator Secretary;Secretary;PERSON
Proponent;;
non EU lecturer;EU;B-misc
EU lecturers;EU;B-misc
External Committee member;Ex|Committee;B-misc|I-misc
PROPONENT;;
Catering Service;Service|Cat;B-misc|I-misc
Store Warehouse;Ware|Store;ORGANIZATION|I-loc
Store Front;Store Front;B-misc
production;;
logistic;;
accounting;;
Recruitment Department;Department|Rec;ORGANIZATION|I-org
HR Department;HR Department;ORGANIZATION
Australian Agencies (Client);Cl|Australian Age;B-misc|PERSON
BIA;B;PERSON
TS recruitment;TS;PERSON
Course Facilitators;Course Fa;B-misc
Recruiter;;
VIP Customer;VIP Custom;B-misc
Software developer;;
Support Team;Support Team;ORGANIZATION
indoor service;;
customer service;;
Invoice data entry department;;
Master data record department;;
Payment Officer (Automated System);Auto|Officer|Pay|System;B-misc|I-misc|B-misc|I-misc
reception;;
Minister's Delegate;Del;ORGANIZATION
new Member;;
Office staff;;
Lab;Lab;LOCATION
CDSS;CD;ORGANIZATION
Administrative staff;;
Clinical Lab;Clinical Lab;LOCATION
Surgery dept.;;
Primary care doctor;;
Nurse specialist;;
Surgical oncologist;;
Radiologist;Radio;B-misc
Pathologist;;
Managing Director;;
SAP Dept.;SAP;ORGANIZATION
Validation officer;;
Acc. receivable;;
Trademe;Trade;ORGANIZATION
Trademe system;;
Trademe users;;
Prcocess of creating Web site;Web;B-misc
Administraor;;
Catering company;;
Owner (Bill);Bill;PERSON
State;State;ORGANIZATION
AeroClub;Aero;ORGANIZATION
Potential Customer;Custom;I-misc
customer service representive;;
Application Division;Application Division;ORGANIZATION
Papermill;Paper;B-misc
Logictics;Logic;B-misc
IDC;ID;ORGANIZATION
order department;;
Kitchen;Kitchen;B-misc
Order prepare department;;
Custom bike producer;;
Barista;Bari;ORGANIZATION
Design;;
Development;Development;ORGANIZATION
Contents;;
BVIS;BV;ORGANIZATION
Checkfelix.com;Check;ORGANIZATION
Seler;Se;LOCATION
Provision Team;Pro|Team;ORGANIZATION|I-org
Shipping;;
Consumer;Consumer;ORGANIZATION
Service Investor;Service In;B-misc
Service Provider;Service Pro;B-misc
General Practitioner;;
Diagnostic Testing;Dia|Test;B-misc|I-misc
Allied Health;Allied Health;ORGANIZATION
seller;;
amazon;;
Shipment Company;Company|Ship;ORGANIZATION|I-org
Amazon sales;Amazon;B-misc
Amazon Fulfilment;Amazon Fu;ORGANIZATION
Amazon services;Amazon;B-misc
meeting 1;;
site design + content preperation;;
meeting 2;;
approval of the site;;
building the site;;
Bill Jobs;Bill Jobs;PERSON
Service Technicians;Service Tech;B-misc
Claim Handling;Cl|Hand;B-misc|I-misc
Operator of WF;W;ORGANIZATION
Engine;Engine;ORGANIZATION
Application;;
Product manager;;
Country analyst;;
local delivery employee;;
central pick-up employee;;
transporter;;
Experienced SSP member;SS;B-misc
Master data entry staff;;
Mail centre staff;;
Admin officers;;
Data entry officers;;
Mail Centre Clerk;Mail Centre Clerk;ORGANIZATION
Registry Officer;Officer;I-org
Accounts Receivable Officer;Rec|Officer|Account;B-misc|I-misc|I-misc
Experienced SSP Member;SS|Member;PERSON|I-per
Master Data Officer;Master Data Officer;B-misc
Mortgage Supervisor;Super|Mort;B-misc|I-misc
Online Retailer;Online|Re;B-misc|I-org
ServicingTeam;;
engineering;;
finance;;
SAP Configuration;SAP Con;ORGANIZATION
Buyer Party;Party|Buy;B-misc|I-misc
Seller Party;Party|Selle;B-misc|I-misc
Buyer party;;
Seller party;;
Mall;Mall;B-misc
Households;;
CGPs;CG;ORGANIZATION
Smart Gate Way;Smart Gate Way;B-misc
Owner-Bill;;
Change Co-ordinator;;
Manager, Application Support;Application Support;B-misc
Manager, Enterprise Infrastructure;Enterprise Inf;ORGANIZATION
ITS Change Co-ordinator;IT|Change Co;ORGANIZATION|I-org
Change Requester;Change Re;B-misc
ITS Change Coordinator;IT|Change Co;B-misc|I-misc
ITS Senior Management;IT|Senior Management;ORGANIZATION|I-org
ITS Senior Managers;IT|Manager;B-misc|I-misc
ITS Change Management Process;IT|Change Management Process;B-misc|I-misc
IT Infrastructure;;
Credit Broker;Credit Bro;ORGANIZATION
IT System;IT System;B-misc
HQ;;
Sales representative;;
Sales region;;
Processing plant;;
Purchasing Department;Department;ORGANIZATION
Accounting department;;
Inventory Team;Inventory Team;B-misc
Production Planning Team;Production Planning Team;ORGANIZATION
Manufacturing Team;Manufacturing Team;ORGANIZATION
customser;;
Customer Relationship Management;Management|Custom|Relations;B-misc|I-misc|I-misc
Risk Assement Dept.;Risk Ass|De;B-misc|I-misc
Finance and Operations Dept;Finance and Operations De;ORGANIZATION
Sales and CR Dept.;Sales and CR De;B-misc
Service Department;Service Department;ORGANIZATION
Warehouse Management;Ware|Management;ORGANIZATION|I-org
Level 2 - Admin Officers;Officers|Level 2|Ad;B-misc|B-misc|I-misc
Ground Floor - Mail Center;Ground Floor|Center;LOCATION|I-loc
External Reviewers;Review|Ex;B-misc|I-misc
Woman's Representative;Woman|Representative;B-misc|I-misc
Board of trustees;;
Dean;Dean;PERSON
University Administration;University Administration;ORGANIZATION
Faculty Board;Faculty Board;ORGANIZATION
President of Humboldt University;Humboldt University;ORGANIZATION
Academic Senate;Academic Senate;ORGANIZATION
Selection Committee;Selection Committee;ORGANIZATION
Human Resources;Human Resources;ORGANIZATION
Kuratorium;;
Senator of Education in Berlin;Education|Berlin;I-org|LOCATION
Applicants;;
Test Users;Test User;B-misc
President's office;;
Search Committee;Search|Committee;B-misc|I-org
Board of Trustees;Board of Trust;ORGANIZATION
1st Level (Core Processes);Core Process|1st Level;B-misc|B-misc
1st Level: Core Processes;Core Process;B-misc
DMS(PARTS PROVISIONING TEAM);DM;PERSON
SERVICE AND REPAIR TEAM;T|SE|AND RE;B-misc|I-misc|I-misc
PARTS PROVISIONING TEAM;;
WAREHOUSE CLERK;CL|W;B-misc|I-misc
SHOP FLOOR SPECIALIST;SP|SH|FL;B-misc|I-misc|I-misc
ACCOUNT MANAGER;ACC|MAN;B-misc|I-misc
Sales Administrator;Sales Ad;ORGANIZATION
Sales Billing;Sales Bill;B-misc
Shipping Planning;Ship|Planning;B-misc|I-misc
Account Receivable;;
Mail staff member;;
Finance & Accounting;Finance & Account;B-misc
Payment Gateway;Pay|Gateway;B-misc|I-misc
Flight Centre System;Flight Centre System;B-misc
Credit Card Payment System;System|Credit Card Pay;ORGANIZATION|I-org
Travel management company;;
Passenger - Team Leader;Pass|Leader;B-misc|I-misc
Airport;Airport;LOCATION
ISS;ISS;ORGANIZATION
Airline - Check in operator;Air;ORGANIZATION
Airline - Departure control system;Air;B-misc
Airline- service desk personnel;;
Airport- service desk personnel;Airport;B-misc
Airport- Departure control system;Airport;B-misc
Airline- Check in supervisor;Air;ORGANIZATION
Airport ISS security personnel;Airport ISS;B-misc
Airport volunteer [PER, BNE];PE|B;PERSON|PERSON
Airport staff [MEL];ME;PERSON
BIA enrollment system;B;B-misc
Production Department;Production Department;ORGANIZATION
Marketing Management Dept.;Marketing Management;ORGANIZATION
PR Dept.;PR;ORGANIZATION
Top Management;Top Management;B-misc
Highly creative part of Marketing Dept.;Marketing De;ORGANIZATION
Lending Factory Incorperated;Len|Factory Inc;ORGANIZATION|I-org
Claim Adjustor;Cl|Ad;PERSON|I-per
Repair Technician;Tech|Rep;B-misc|I-misc
PhD secretary (Francesca);Francesca;PERSON
Funder;;
PhD Process Mgmt Platform;Mg|PhD Process|Platform;B-misc|I-org|I-org
Metal Works;Metal Works;B-misc
Receiving technician;;
Service technician;Service;B-misc
Sales dept.;Sales;ORGANIZATION
Production dept.;;
PR dept.;PR;ORGANIZATION
IT dept.;IT;ORGANIZATION
Production department;;
Finance dept.;Finance;ORGANIZATION
Purchasing dept.;;
HR dept.;HR;ORGANIZATION
Marketing dept.;;
R&D dept.;R|D;PERSON|PERSON
Dev. team;;
CDO;CD;B-misc
evidence;;
ambulance;;
pacient;;
patient;;
surgery;;
Previous or New Client;New Cl|Pre;B-misc|B-misc
Sales & Marketing Team;Sales & Marketing Team;ORGANIZATION
Operations / Project Coordinator;Project Co;PERSON
Creative Director;Director;I-org
Service Team Leader;Service Team Leader;B-misc
Production & Service Assistant;Production & Service Assistant;B-misc
eshop staff;;
courier company;;
SMTP server;SM;B-misc
POP3 server;POP;B-misc
Expert;;
Help desk center;;
Grid Access Provider;G|Access Pro;B-misc|I-misc
Metered Data Aggregator;Meter|Data A;B-misc|I-misc
Analyst A;A;PERSON
Analyst B;B;PERSON
Analyst C;C;PERSON
Seminar;Seminar;B-misc
Product Engineer;Engineer;I-org
Level-2 staff;;
Search for Items;Search for It;B-misc
Login;Lo;LOCATION
Bidding;Bi;LOCATION
Search for Item;Search for It;B-misc
Logistic and Shipping;Lo|and Ship;ORGANIZATION|I-org
referee;;
manager;;
Director;;
Hospital Director;Hospital Director;B-misc
expert;;
UNION;UN;ORGANIZATION
Union;Union;ORGANIZATION
Course Manager;Course Manager;B-misc
Citizen Service Center;Citizen Service Center;B-misc
Citizen;Citizen;B-misc
Back Office;Back Office;B-misc
MD;MD;PERSON
Prescription process;;
Research Group;Research Group;ORGANIZATION
Nurse/Patient;Pat;LOCATION
Achat;A;ORGANIZATION
University of Cologne;University of Cologne;ORGANIZATION
Brokering Agency;Agency|Bro;ORGANIZATION|I-org
External Credit Company;Credit Company|Ex;ORGANIZATION|I-org
Mail staff;;
Payment;Pay;B-misc
verfication Shipping Addr.;Ship|Ad;B-misc|I-misc
verfication billing Addr.;;
Verficationn types of payment;;
Mailroom;Mail;B-misc
acounts Receivable Department;Department|Rec|ac;ORGANIZATION|I-org|I-org
Master Data entry Department;Department|Master Data;B-misc|ORGANIZATION
Student Affairs;Student Affairs;ORGANIZATION
Lecturer;;
Trademan;;
Cloud Technology;Cloud Technology;B-misc
Record job activity;;
Company Admin;Company Ad;ORGANIZATION
Accounting system;;
Company scheduler;;
Tradesman;;
Job Scheduler;Job Sc;PERSON
Admin;;
Accounting System;System|Account;B-misc|I-misc
Lecturer;;
Check-in personel;;
Flight Planning;Flight Planning;B-misc
Crew Management;Crew Management;ORGANIZATION
CENTRAL;CE;B-misc
technician;;
Volley tennis club;;
committee members;;
process;;
Claim Supervisor;Cl|Super;B-misc|I-misc
Credit System;Credit System;ORGANIZATION
Admin Officer (Level 2);Level 2|Officer|Ad;B-misc|I-misc|ORGANIZATION
Data Entry (Level 5);Data Entry;B-misc
Master Data Entry Officer (Level 5);Master Data Entry Officer;B-misc
Validation Officer (Level 7);Officer|Val;ORGANIZATION|I-org
Logistics & Shipping;Lo|& Ship;ORGANIZATION|I-org
Sales department;;
online ordering service;;
cooks;;
travel agency;;
tourist;;
Player 1;Player 1;PERSON
Other player;;
Tennis club;;
Student Office;Student Office;ORGANIZATION
Financial dept;Financial;ORGANIZATION
business partner;;
university;;
Accounting (WPLACM);WP|Account;B-misc|B-misc
Phd Student;Ph|Student;PERSON|I-per
Disi Department;Department|Dis;ORGANIZATION|I-org
Doctors commitment;;
Advisor professor;;
Administration Office;Administration Office;ORGANIZATION
exam commission;;
phd office;;
GMNY;GM;ORGANIZATION
Obtain Approval;Ob|App;B-misc|I-misc
Charlse;Cha;LOCATION
Melissa;Melissa;PERSON
DB/CRM Process;CR|DB|Process;B-misc|B-misc|I-misc
Technicians;;
Material Warehouse stock;;
SALES DEPARTMENT;DE|SA;PERSON|I-per
Major-Incident Support;Support|Major;B-misc|I-misc
IT-Manager;IT;B-misc
Internal Third-Level Support;Support|Internal Third;B-misc|I-misc
Second-level support;;
products;;
HIJ-Department;H;ORGANIZATION
Sommelier;;
Room service manager;;
kitchen;;
Waiter;;
Logistics Service Provider;Service Pro|Lo;B-misc|I-misc
Expense Submitter;Ex|Sub;B-misc|I-misc
Procure to Pay;Pay;B-misc
Executive Director;Director;I-org
Educational Institution;Educational Institution;ORGANIZATION
Bob;Bob;PERSON
Alice;Alice;PERSON
agency;;
Office for studies;;
Engineering department;;
Student partners;;
Industry Partner;Industry Partner;B-misc
Mater Data Entry Department;Mater Data Entry Department;B-misc
Sale;Sale;ORGANIZATION
Account Receivable Dept.;De|Account Rec;B-misc|I-misc
SSP Client;Cl|SS;B-misc|I-per
Experienced SSP Staff;Staff|SS;ORGANIZATION|I-org
SAP Master Data Entry Staff;SAP Master Data Entry Staff;ORGANIZATION
Payment Office Staff;Pay|Office Staff;ORGANIZATION|I-org
stock;;
parts provision;;
provison teami;;
Account Manager;Account Manager;B-misc
Talent Seek Human Resources;Human Resources;ORGANIZATION
Client End, Next Level Management;End|Cl|Next Level Management;B-misc|I-misc|B-misc
Talent Seek Recruitment Manager;Talent|Rec|Manager;B-misc|B-misc|I-misc
Talent Seek Recruitment Managers;Manager;I-misc
Client End Managers;Cl|End Manager;B-misc|I-misc
Client End HR;Cl|End HR;B-misc|I-misc
Selection Panel;Panel|Selection;B-misc|I-org
TS Casual Admin Assistant;TS Ca|Assistant|Ad;PERSON|I-per|I-per
HR Specialists;HR Special;B-misc
Client HR;HR;ORGANIZATION
Next Level Manager;Next Level Manager;B-misc
Supervisor 1;Super|1;PERSON|I-per
Supervisor 2;Super|2;PERSON|I-per
Account payable;;
Employee`s organisational unit;;
Purchase department;;
Enterprise System;Enterprise System;B-misc
Goods receipt department;;
Accounts payable department;;
Level-2 support staff;;
Level-1 support staff;;
Suport staff;;
Accounting (backend);;
Approver 1 (portal);1|App;B-misc|I-misc
Approver 2-6 (portal);App;ORGANIZATION
Purchasing (backend);;
Requisitioners (portal);;
Lending Factory;Len|Factory;ORGANIZATION|I-org
Delivery Staff;Staff|Del;ORGANIZATION|I-org
Planning;;
Procurement departement;;
External experts;;
Steering committee;;
Industrial engineering;;
Industrial actors;;
Industrial engineering and industrial actors;;
milk;;
cream;;
crates;;
dispatch;;
Shelf (Bin) Categorization;She|Bin;PERSON|LOCATION
Gourmet Gorilla;Gori|Go;PERSON|I-per
Operations Supervisor;Operations Super;B-misc
Shift Supervisors;Shift Super;B-misc
Cooks;Cook;B-misc
Warehouse Step 1;Ware|1|Step;B-misc|I-misc|I-org
Warehouse Step 2;Ware|Step 2;ORGANIZATION|I-org
Warehouse Step 3;Ware|Step 3;ORGANIZATION|I-org
Batch Tracking;Track|Bat;B-misc|I-misc
Prep;Pre;PERSON
Cook;Cook;PERSON
Package;;
P2P;P;PERSON
Procure To Pay;To Pay|Proc;B-misc|I-misc
School;School;B-misc
Order Capture;Order Cap;B-misc
Parent;Par;PERSON
Warehouse Step 2 (Shelves/Bins);Ware|She|Step 2|Bin;ORGANIZATION|I-org|PERSON|LOCATION
Shelf (Bin) Categorization Process;Cat|She|Process|Bin;PERSON|LOCATION|B-misc|I-misc
School Warehouse step 1;School Ware;B-misc
Warehouse Step 2( Shelves/Bins);Ware|She|Step 2|Bin;ORGANIZATION|I-org|PERSON|LOCATION
Planning and Production;Planning and Production;B-misc
Vendor/Supplier;;
GOURMET GORILLA - Current Ordering System;GO|System|Order;B-misc|I-misc|I-misc|I-misc
Gourmet Gorilla Warehouse;Gori|Ware;LOCATION|I-loc
Purchase Requisition;Re;B-misc
Order Received;;
construction worker;;
remote engineer;;
Sales and Distribution;Sales and Distribution;B-misc
Inventory;;
New Customer;New Custom;B-misc
Pay Pal Website;Pay Pal Website;B-misc
Admin Officer (AO) (level 2);A|Officer|Ad;PERSON|I-org|PERSON
Data Entry Officer (Level 5);Data Entry Officer;ORGANIZATION
Master Data Entry Officer (MDEO);MD|Master Data Entry Officer;B-misc|ORGANIZATION
Validation Officer (level 7);Officer|Val;ORGANIZATION|I-org
PPS;PP;ORGANIZATION
logistic system;;
logistic department;;
supplier;;
warehouse manager;;
Web Design;Web Design;B-misc
Various Departments;Various Department;ORGANIZATION
Support officer;;
Loading Clerk;Lo|Clerk;PERSON|I-per
