Subject;Activity;Verb phrases;Noun phrases
CSR;Send mortgage application form;sends;mortgage application form
CSR;Review application form;reviews;application form
CSR;Send a reminder to customer;sends;reminder to customer
CSR;Inform customer and close transaction;"informs;closes";"Customer;transaction"
Mortgage Specialist;Inform customer of rejection;informs;customer of rejection
Mortgage Specialist;Archive details;archives;details
Customer;Submit insurance claim;submits;insurance claim
Customer;Supply more information;supplies;more information
Supervisor;Review the claim;reviews;claim
Supervisor;Decide to accept or reject claim;decides;claim
Claim Adjuster;Review the claim;reviews;claim
Claim Adjuster;Decide to accept or reject claim;decides;claim
Claim Adjuster;Send to supervisor for review;sends to;supervisor for review
Claim Adjuster;Inform customer of rejection reasons;informs;customer of rejection reasons
Claim Adjuster;Send claim payment to customer;sends;claim payment to customer
Customer Service;Review the claim;reviews;claim
Customer Service;Contact customer for details;contacts;customer for details
Customer Service;Forward claim to claim adjuster;forwards;Claim to claim adjuster
Customer;Bring computer to ACM and describe problem;"brings;describes";"computer to ACM;problem"
Customer;Authorize the repair;authorizes;repair
Customer;Take computer back;takes;computer
Technician;Diagnose the problem;diagnoses;problem
Technician;Ask Store Owner to complete the repair;asks;Store Owner
Technician;Complete the repair and test computer;"completes;tests";"Repair;computer"
Technician;File a report about the repair;files;report about the repair
Store Owner;Create estimate of repair time and cost;creates;estimate of repair time|cost
Store Owner;Assign a technician to repair the problem;assigns;technician|problem
Store Owner;Complete repair and test computer;"completes;tests";"Repair;computer"
Store Owner;File a report about the repair;files;report about the repair
Store Owner;Inform customer of repair completion;informs;customer of repair completion
Store Owner;Inform customer of inability to fix;informs;customer of inability
lecturer;check process model;checks;process model
lecturer;assign negative points;assigns;negative points
lecturer;check the process and assign points;"checks;assigns";"Process;points"
lecturer;check the progress and consult problems;"checks;consults";"Progress;problems"
team;agree on team domain;agrees on;team domain
team;analyse the field of study;analyses;field of study
team;assign roles in the tem;assigns;roles in the tem
team;present the project;presents;project
student;join team;joins;team
student;create one process model;creates;process model
student;fix the problem at the next seasion;fixes;problem at the next seasion
student;extend the process to L2,3;extends;process to L2
student;perform work according to role;performs;work|role
Checked department;hand in details of their work;hands in;details|work
Auditor;Look for essential problems within company;looks for;essential problems within company
Auditor;look fo preciese information;looks fo;preciese information
Auditor;statement of employees' work;;statement of employees work
Auditor;consult with employes;consults with;employes
Auditor;general statement;;general statement
Auditor;deeper look into a company;;deeper look into a company
examiner;get to know the case;gets to know;case
examiner;first evaluation;;first evaluation
examiner;contact insurer and consult the case;"contacts;consults";"Insurer;case"
examiner;final evaluation;;final evaluation
Insurance company;a shady incident;;shady incident
Insurance company;analyse details of the case;analyses;details of the case
Insurance company;report for insurer;;report for insurer
insurer;hand in details of an accident;;hand in details of an accident
insurer;enter a protest;enters;protest
Customer;Review the Venders;reviews;Venders
Customer;Send the RFQ;sends;RFQ
Customer;Review The Sales Quote;reviews;Sales Quote
Sales;Communicate with the Customer;communicates with;Customer
Sales;Review Pricing Options and Generate Sales Quote;"reviews;generates";"Pricing Options;Sales Quote"
Emgineering;Produce L&M Cost Estimates Laser tested;produces;L&M Cost Estimates Laser
Finance;Adding The Overhead Cost;adds;Overhead Cost
Finance;Generate Pricing Options;generates;Pricing Options
Customer;Create RFQ;creates;RFQ
Customer;Review Sales Quote;reviews;Sales Quote
Customer;Review the Vendors;reviews;Vendors
Customer;Review the Sales Quote;reviews;Sales Quote
Sales;Verify the RFQ;verifies;RFQ
Engineering;Produce L&M Cost;produces;M Cost
Finance;Adding the Overhead Cost;adds;Overhead Cost
Reporter;Write Incident Report;writes;Incident Report
Analyst;Comment arrangements;comments;arrangements
reporter;report incident;reports;incident
reporter;note incident number and -code;notes;Incident number|code
reporter;answer request;answers;request
agent;answer request provision;answers;request provision
activiti process engine;report incident;reports;incident
activiti process engine;deidentify incident step 1;deidentifies;deidentify incident step 1
activiti process engine;deidentifiy incident step 2;deidentifies;deidentifiy incident step 2
activiti process engine;analyze incident;analyzes;incident
activiti process engine;answer request by reporter;answers;request by reporter
activiti process engine;answered request by reporter (list);answers;request by reporter|list
activiti process engine;answer request by agent;answers;request by agent
activiti process engine;answered request by agent (list);answers;request by agent|list
analyst;analyze incident;analyzes;incident
Customer;Review the sales quote;reviews;sales quote
Sales;Review pricing options and generate sales quote;generates;Review pricing options|sales quote
Engineering;Produce L&M Cost Estimates;produces;L|M Cost Estimates
Finance;Adding the Overhead cost;adds;Overhead cost
Finance;Generate pricing options;generates;pricing options
Customer;Submit the Insurance Claim;submits;Insurance Claim
CSR;Review the claim;reviews;claim
CSR;communicate with the customer;communicates with;customer
Claim Adjuster;Evaluate the claim;evaluates;claim
Claim Adjuster;send payment;sends;payment
Claim Adjuster;send rejection letter with explanation;sends;rejection letter with explanation
Supervisor;evaluate the claim;evaluates;claim
PURCHASING AGENT;Create Purchase order  2x;creates;Purchase order 2 x
FINANCE DEPARTMENT;Create Billing Document;creates;Billing Document
FINANCE DEPARTMENT;Post Incoming Payment;posts;Incoming Payment
WAREHOUSE TEAM;Display stock/ Requirements list;displays;stock|Requirements list
WAREHOUSE TEAM;Create Transfer order for Delivery note;creates;Transfer order for Delivery note
WAREHOUSE TEAM;Create Purchase requisition;creates;Purchase requisition
WAREHOUSE TEAM;Goods Receipt for Purchase order;;Goods Receipt for Purchase order
PRODUCTION PLANNER;MRP Run;;MRP Run
PRODUCTION PLANNER;Create Production order 2x;creates;Production order 2 x
PRODUCTION PLANNER;Production Order confirmation & Production of motorcycle 2x;;Production Order confirmation|Production of motorcycle 2|x
SALES & DISTRIBUTION DEPARTMENT;Create sales order;creates;sales order
SALES & DISTRIBUTION DEPARTMENT;Outbound Delivery with order reference;;Outbound Delivery with order reference
SALES & DISTRIBUTION DEPARTMENT;Check inventory for finished goods;checks;inventory for|goods
sales;verify RFQ;verifies;RFQ
sales;Send to Customer;sends to;Customer
sales;Generate sales Quotes;generates;sales Quotes
Finance;Produced labor and materal costs;produces;labor|materal costs
Engineering;Add overhead cost;adds;overhead cost
Customer;Generate RFQ;generates;RFQ
Customer;Analyze Sales Quote;analyzes;Sales Quote
Volley Club;emptying the mailbox;empties;mailbox
Volley Club;Phonecall to complete data;;Phonecall to complete data
Volley Club;Recording an archieving;records;archieving
Volley Club;add to the register;adds to;register
Volley Club;write down member fee into register;writes down;member fee into register
Volley Club;letter with explanation of rejecting;;letter with explanation of rejecting
Volley Club;print membership cards;prints;membership cards
Volley Club;send membership cards;sends;membership cards
Miranda;new member for the club?;;new member for the club
Miranda;stamp the letter;stamps;letter
Miranda;calculkate member fee;;calculkate member fee
candidate;sending letter;sends;letter
candidate;Phonecall with Charles;;Phonecall with Charles
candidate;get rejected;gets rejected;
candidate;is a new member of the club;is;new member of the club
candidate;has to pay membership;has to pay;membership
candidate;pays the fee;pays;fee
candidate;does not pay the fee;pays;fee
Web Designer;First informational meeting;;First informational meeting
Web Designer;Design site;designs;site
Web Designer;Develop site;develops;site
Web Designer;Prepare content;prepares;content
Web Designer;Marketing review;;Marketing review
Web Designer;Final version of content;;Final version of content
Web Designer;Building the site;builds;site
Web Designer;Review activity;reviews;activity
Web Designer;Approval of the site;;Approval of the site
Web Designer;Storyboard;;Storyboard
Miranda;emptying the letterbook;empties;letterbook
Miranda;rejecting the candidate;rejects;candidate
Miranda;accepting the candidate and sending the letter to Charles;"accepts;sends";"candidate;letter to Charles"
Miranda;calculating the member fee for every person;calculates;member fee for every person
Miranda;giving the fee data to Charles;gives;fee data to Charles
Charles;Empties Mailbox and check for missing information;"empties;checks";"mailbox;missing information"
Charles;Phonecall to complete data;;Phonecall to complete data
Charles;recording and archiving;;recording|archiving
Charles;sending of rejection letter;sends of;rejection letter
Charles;add member to register;adds;member to register
Charles;sending the data to Miranda;sends;data to Miranda
Charles;writing the fees into the register;writes;fees into the register
Charles;preparing invoice for new candidates;prepares;invoice for new candidates
Charles;waiting for payment of the fees;waits for;payment of the fees
Charles;prints the membership card;prints;membership card
Charles;send the membership cards to the new members;sends;membership cards to the new members
Backup;Backup of Database;;Backup of Database
Backup;Check the CRM for new registers;checks;CRM for new registers
Backup;write the registers into the existing table;writes;registers into the|table
Backup;alert the supervisor;alerts;supervisor
Backup;Produce a new table;produces;new table
Backup;send it to the account manager;sends;account manager
Backup;check CRM whether new returns are filled;checks;CRM whether new returns are filled
Backup;reconcile with the existing;reconciles with;existing
Backup;message to the supervisor;messages to;supervisor
Backup;register;registers;
Customer Service Representative;update case details;updates;case details
Customer Service Representative;archive;;archive
Customer Service Representative;cancellation;;cancellation
Customer Service Representative;moved to administration for completion;moves to;administration for completion
Customer Service Representative;generate message for outstanding documents;generates;message for outstanding documents
commitee members;check diaries and for conflicts;checks;diaries|conflicts
support officer;check dates and suggest modifications;"checks;suggests";"dates;modifications"
support officer;update group calendar;updates;group calendar
support officer;create meeting folders;creates;meeting folders
support officer;ensure that all documents are uploaded;ensures;documents
coordination unit;schedule meetings;schedules;meetings
coordination unit;add draft dates;adds;draft dates
coordination unit;recheck all dates - potential conflicts?;rechecks;dates|potential conflicts
coordination unit;create final schedule;creates;final schedule
coordination unit;finalize schedule;finalizes;schedule
Sales and Marketing;Check customer;checks;customer
Sales and Marketing;Place order in ERP system;places;order in ERP system
Sales and Marketing;Check product availability;checks;product availability
Sales and Marketing;Reject the order;rejects;order
Sales and Marketing;Invoice the customer;invoices;customer
Sales and Marketing;Send Christmas card every year;sends;Christmas card every year
Production;Start production;starts;production
Logistics and Distribution;Take product from the warehouse;takes;product from the warehouse
Logistics and Distribution;Prepare product for shipment;prepares;product for shipment
Logistics and Distribution;Deliver the product;delivers;product
Accounting;Check reminder >3;checks;reminder
Accounting;Check bank account;checks;bank account
Accounting;Send reminder;sends;reminder
Legal department;Take legal actions;takes;legal actions
Validation Department;Forward Validated Invoices to the Registry;forwards;Validated Invoices to the Registry
Validation Department;Update Status to Validated;updates;Status to Validated
The Registry;Receiving Validated Invoices;receives;Validated Invoices
The Registry;Sorting by vendors;sorts by;vendors
The Registry;Sorting by Payment Date;sorts by;Payment Date
The Registry;Archiving Invoices;archives;Invoices
The Registry;Relocating an Archived Invoice;relocates;Invoice
Payment Department;Process Weekly Payment;processes;Weekly Payment
Payment Department;Generate Payment Report;generates;Payment Report
Payment Department;Send report to Client;sends;report to Client
Payment Department;Send Report to the Registry;sends;Report to the Registry
Payment Department;Send Report to Accounts Receivable Department;sends;Report to Accounts Receivable Department
Account Receivable Department;Generate Monthly Invoices;generates;Monthly Invoices
Account Receivable Department;Send Invoice to Client;sends;Invoice to Client
Account Receivable Department;Receive Payment from Client;receives;Payment from Client
SSP Clients;Client sends invoice to SSP;sends;Client|invoice to SSP
Admin Department;Sort invoice by client;sorts;invoice by client
Admin Department;Sub-Sort invoices by vendor;sub-sorts;invoices by vendor
Admin Department;Attach Invoice Entry Form;attaches;Invoice Entry Form
Admin Department;Fill out Invoice Entry Form;fills out;Invoice Entry Form
Admin Department;Check invoice for completeness;checks;invoice for completeness
Admin Department;Allocate to Data Entry personel;allocates to;Data Entry personel
Mail Centre;Categorise Mail;categorises;Mail
Mail Centre;Return invoice to client to complete;returns;invoice to client
Mail Centre;Return non-complaint invoice to client;returns;non-complaint invoice to client
Validation Department;Sort invoices by client;sorts;invoices by client
Validation Department;Print invoice validation report sorted by client;prints;invoice validation report|client
Validation Department;Validate data entry for invoice;validates;data entry for invoice
Validation Department;Update invoice batch to validated;validates;Update invoice batch to
The Registry;Pay Invoice;pays;Invoice
The Registry;Leave Invoice unpaid until next pay run;leaves;Invoice unpaid until next pay run
Payment Department;Generate monthly invoice report for Client;generates;monthly invoice report for Client
Account Receivable Department;Sort by Vendor;sorts by;Vendor
Account Receivable Department;Archive Invoice;archives;Invoice
Vendor Master Record Data Entry Department;Create Vendor Master Record;creates;Vendor Master Record
Admin Department;Recall Client's SLA;recalls;Client|SLA
Admin Department;Search Excel spreadsheet for SLA;searches;Excel spreadsheet for SLA
Admin Department;Write SLA on Invoice Entry form;writes;SLA on Invoice Entry form
SSP Clients;Forward Invoice;forwards;Invoice
SSP Clients;Complete Invoice;completes;Invoice
SSP Clients;Determine correct compliance information;determines;correct compliance information
SSP Clients;Notify Vendor of Invoice Payment;notifies;Vendor of Invoice Payment
SSP Clients;Pay Monthly Invoice;pays;Monthly Invoice
SSP Clients;Modify information for compliance;modifies;information for compliance
Admin Department;Check if invoice is compliant with the SLA;checks;invoice|SLA
Admin Department;Return Invoice to Client;returns;Invoice to Client
Admin Department;Send Reminder Letter;sends;Reminder Letter
Admin Department;Phone client to request required information;"phones;requests";"client;required information"
Admin Department;Complete invoice entry form with compliance information;completes;invoice entry form with compliance information
Data Entry Department;Enter Master Record Request Form;enters;Master Record Request Form
Data Entry Department;Enter Vendor code on Invoice Entry form;enters;Vendor code on Invoice Entry form
Data Entry Department;Sort Invoices by Vendor;sorts;Invoices by Vendor
Data Entry Department;Take Invoice batch to Outbox;takes;Invoice batch to Outbox
Data Entry Department;Look up Vendor in SAP system;looks up;Vendor in SAP system
Data Entry Department;Sort Invoices by Amount;sorts;Invoices by Amount
Validation Department;Send Validated Invoices to the Registry;sends;Validated Invoices to the Registry
The Registry;Sort by Vendor;sorts by;Vendor
The Registry;Sort by Payment Date;sorts by;Payment Date
The Registry;Archive Invoices;archives;Invoices
The Registry;File invoice payment report;files;invoice payment report
Payment Department;Pay Vendor;pays;Vendor
Payment Department;Leave Invoice unpaid until next pay run;leaves;Invoice unpaid until next pay run
Payment Department;Generate invoice payment report per client;generates;invoice payment report per client
Payment Department;Send invoice report to client;sends;invoice report to client
Account Receivable Department;Generate monthly invoice for client;generates;monthly invoice for client
Account Receivable Department;Monthly invoice marked as paid;;Monthly invoice marked as paid
Vendor;Issue Invoice;issues;Invoice
Vendor;Mark invoice as paid;marks;Mark invoice as paid
Sales;Check Customer;checks;Customer
Sales;Check Solvency;checks;Solvency
Sales;Check Intercooperability;checks;Intercooperability
Sales;Apply to data base;applies to;data base
Sales;Offer Prepayment;offers;Prepayment
Sales;create offer for customer;creates;offer for customer
Sales;Recreate/negotioate offer;recreates;negotioate offer
Sales;Send invoice;sends;invoice
Sales;Send letter of refusal;sends;letter of refusal
Sales;Check payment;checks;payment
Sales;Send reminder;sends;reminder
Sales;Close order;closes;order
Sales;Check number of reminders;checks;number of reminders
Sales;Contact a lawyer;contacts;lawyer
Logistics;Check capacity;checks;capacity
Logistics;Send inquiry for goods to supplier;sends;inquiry for goods to supplier
Logistics;Receive suppliers offer;receives;suppliers
Logistics;preparing the order;prepares;order
Logistics;Send goods;sends;goods
Logistics;start production;starts;production
Italian Restaurant;ask for menu;asks for;menu
Italian Restaurant;check available dishes;checks;available dishes
Italian Restaurant;order tiramisu;orders;tiramisu
Italian Restaurant;order a glass of red wine;orders;glass of red wine
Italian Restaurant;consume your dishes;consumes;dishes
Italian Restaurant;ask for check;asks for;check
Italian Restaurant;waiter was nice;;waiter was nice
Italian Restaurant;waiter was not nice;;waiter was not nice
Italian Restaurant;pay bill and tip;pays;bill|tip
Italian Restaurant;pay the bill;pays;bill
Italian Restaurant;skip dessert;skips;dessert
Italian Restaurant;order salad;orders;salad
Italian Restaurant;ask for tiramisu;asks for;tiramisu
Part Provision Team;Identify parts;identifies;parts
Part Provision Team;Elicit information from customer;elicits;information from customer
Part Provision Team;Check availability;checks;availability
Part Provision Team;supplied to customer;supplies to;customer
Part Provision Team;Record customer detail;records;customer detail
Part Provision Team;Contract customer;contracts;customer
Part Provision Team;Parts Collected;;Parts Collected
Part Provision Team;Payment;;Payment
Army;Hold physical exam;holds;physical exam
Army;Shortlist application;shortlists;application
Army;Hold mental exam;holds;mental exam
Army;Hold interview;holds;interview
Army;Recruit applicant;recruits;applicant
Army;Notify failure;notifies;failure
Army;Schedule exams and interview;schedules;exams|interview
Sales & Distribution;Check stock availability;checks;stock availability
Sales & Distribution;Confirm order;confirms;order
Sales & Distribution;Archive order;archives;order
Sales & Distribution;Send invoice;sends;invoice
Warehouse;Send product;sends;product
Warehouse;Manufacture product;manufactures;product
Warehouse;Purchase raw materials from Supplier 1;purchases;raw materials from Supplier 1
Warehouse;Purchase raw materials from Supplier 2;purchases;raw materials from Supplier 2
Warehouse;Check raw materials availability;checks;raw materials availability
Sales;Confirm order;confirms;order
Sales;Emit invoice;emits;invoice
Sales;Archive order;archives;order
Cashier;Capture party details;captures;party details
Cashier;Print file server;prints;file server
Cashier;Receive payment;receives;payment
Small claims tribunal;Retrieve claim file;retrieves;claim file
Small claims tribunal;Distribute warrant possession;distributes;warrant possession
Small claims tribunal;Store claim file;stores;claim file
Small claims tribunal;Attach claim report;attaches;claim report
Small claims tribunal;Store expanded file;stores;expanded file
Small claims tribunal;Notify party;notifies;party
Party;Archive claim;archives;claim
Small claims tribunal;Distribute warrant possession coversheet;distributes;warrant possession coversheet
Small claims tribunal;Store expanded claim file;stores;expanded claim file
Sales;Receive payment;receives;payment
Assessment Manager;Store application;stores;application
Assessment Manager;Get initial validation;gets;initial validation
Assessment Manager;Check validation result;checks;validation result
Assessment Manager;Check modifications to natural environment;checks;modifications to natural environment
Assessment Manager;Apply additional fees;applies;additional fees
Assessment Manager;Check environment protection laws;checks;environment protection laws
Assessment Manager;Prepare final approval;prepares;final approval
Cadastre;Retrieve geographical infromation;retrieves;geographical infromation
DMR;Check for road conflicts;checks for;road conflicts
Seller;Prepare registration information;prepares;registration information
Seller;Request auction creation;requests;auction creation
Auctioning Service;Check registration status;checks;registration status
Auctioning Service;Request account creation;requests;account creation
Auctioning Service;Confirm auction creation;confirms;auction creation
Customer;Pay travel;pays;travel
Customer;Check travel offer;checks;travel offer
Customer;Reject offer;rejects;offer
Customer;Book travel;books;travel
Travel Agency;Make travel offer;makes;travel offer
Travel Agency;Order ticket;orders;ticket
Travel Agency;Confirm booking;confirms;booking
Airline;Handle payment;handles;payment
Airline;Confirm payment;confirms;payment
Airline;Refuse payment;refuses;payment
Client;Submit request for quote;submits;request for quote
Client;Check quote;checks;quote
Client;Send order;sends;order
Client;Send notification;sends;notification
Seller;Prepare quote;prepares;quote
Seller;Send quote;sends;quote
Seller;Handle order;handles;order
Seller;Organize shipment;organizes;shipment
Seller;Assess request for merchandise return;assesses;request for merchandise return
Seller;Send rejection;sends;rejection
Seller;Send acceptance;sends;acceptance
Seller;Invoice customer;invoices;customer
Seller;Receive merchandise;receives;merchandise
Seller;Approve loss claim;approves;loss claim
Customer;Sign delivery notice;signs;delivery notice
Customer;Assess merchandise;assesses;merchandise
Customer;Lodge damage claim report;lodges;damage claim report
Customer;Lodge request for merchandise return;lodges;request for merchandise return
Customer;Lodge loss claim report;lodges;loss claim report
Customer;Attempt suicide;attempts;suicide
Customer;Return merchandise;returns;merchandise
Customer;Pay;pays;
Risk Assessor;Assess loan risk;assesses;loan risk
Loan Officer;Return application back to applicant;returns;application|applicant
Loan Officer;Check application form completeness;checks;application form completeness
Loan Officer;Assess eligibility;assesses;eligibility
Loan Officer;Reject application;rejects;application
Loan Officer;Send acceptance pack;sends;acceptance pack
Loan Officer;Verify repayment agreement;verifies;repayment agreement
Loan Officer;Prepare acceptance pack;prepares;acceptance pack
Loan Officer;Check if home insurance quote is requested;checks;home insurance quote
Loan Officer;Cancel application;cancels;application
Loan Officer;Notify cancelation;notifies;cancelation
Loan Officer;Approve application;approves;application
Loan Officer;Notify approval;notifies;approval
Loan Officer;Receive updated application;receives;updated application
Financial Officer;Check credit history;checks;credit history
Insurance Sales Rep.;Send home insurance quote;sends;home insurance quote
Listings;Change schedule;changes;schedule
Judicary;Resolve judge availability;resolves;judge availability
Loan Provider;Return application back to applicant;returns;application|applicant
Loan Provider;Check application form completeness;checks;application form completeness
Loan Provider;Receive updated application;receives;updated application
Sales;Receive Payment;receives;Payment
Customer;Provide shipping address;receives;shipping address
Customer;Place purchase order;places;purchase order
Customer;Make payment;makes;payment
Seller;Confirm order;confirms;order
Seller;Manufacture product;manufactures;product
Seller;Check stock availability;checks;stock availability
Seller;Retrieve product from warehouse;retrieves;product from warehouse
Seller;Archive order;archives;order
Insurance client;Lodge insurance claim;lodges;insurance claim
Insurance client;Check witnesses;checks;witnesses
Client;Prepare loan application;prepares;loan application
Client;Check approval letter;checks;approval letter
Client;Reject offer;rejects;offer
Client;Accept offer;accepts;offer
Mortgage department;Submit disbursement request;submits;disbursement request
Mortgage department;Apply interest rate reduction;applies;interest rate reduction
Mortgage department;Reject application;rejects;application
Mortgage department;Approve application;approves;application
Mortgage department;Check loan amount;checks;loan amount
Mortgage department;Assess application;assesses;application
Insurance department;Prepare insurance offer;prepares;insurance offer
Insurance department;Draw insurance contract;draws;insurance contract
Financial department;Handle disbursement request;handles;disbursement request
Broker;Forward application to BestLoans;forwards;application to BestLoans
Broker;Examine application;examines;application
Broker;Assess application;assesses;application
Broker;Reject application;rejects;application
Broker;Approve application;approves;application
Mortgage department;Register loan application;registers;loan application
Office;Notify employee;notifies;employee
Office;Check expense report;checks;expense report
Office;Create account;creates;account
Office;Register amount rectification;registers;amount rectification
Mortgage department;Annul deed;annuls;deed
Insurance department;Annul insurance contract;annuls;insurance contract
Financial department;Recall loan;recalls;loan
Customer;Pay merchandise;pays;merchandise
Carrier;Notify delivery;notifies;delivery
Carrier;Transport freight;transports;freight
Customer;Receive product;receives;product
SSP (Mail Center);Contact client;contacts;client
SSP (Mail Center);Confirm payment of invoice;confirms;payment of invoice
SSP (Mail Center);Request relevant info;requests;relevant info
SSP (Mail Center);Receive conformation;receives;conformation
Admin Office;Check completeness of invoices;checks;completeness of invoices
Admin Office;Tick the relevant box on the invoice entry form;ticks;relevant box on the invoice entry form
Admin Office;Return to client via postal mail;returns to;client via postal mail
Admin Office;Receive completed invoices;receives;completed invoices
Mail Center;Open envelopes;opens;envelopes
Mail Center;Categorise invoices;categorises;invoices
Admin Office;Check compliance;checks;compliance
Admin Office;Attach invoice entry form to invoices;attaches;invoice entry form to invoices
Admin Office;Check priority;checks;priority
Admin Office;Apply red stamp on invoice entry form;applies;red stamp on invoice entry form
Admin Office;Sort invoices per client;sorts;invoices per client
Admin Office;Sort invoices per vendor;sorts;invoices per vendor
Admin Office;Send invoice to experienced staff;sends;invoice to|staff
Admin Office;Call client for required information;calls;client for|information
Admin Office;Enter client/vendor information on the invoice entry form;enters;client|vendor information on the invoice entry form
Admin Office;Check service level agreements;checks;service level agreements
Data Entry Office;Check priority;checks;priority
Data Entry Office;Look up vendor in SAP;looks up;vendor in SAP
Data Entry Office;Enter vendor number into invoice entry form;enters;vendor number into invoice entry form
Data Entry Office;Resort invoices per Vendor;resorts;invoices per Vendor
Data Entry Office;Sort invoices based on invoice amount;bases on;Sort invoices|invoice amount
Data Entry Office;Enter invoice data;enters;invoice data
Data Entry Office;Tick invoice entered box on the invoice entry form;ticks;invoice entered box on the invoice entry form
Master Data Enter Department;Check priority;checks;priority
Master Data Enter Department;Enter new vendor master record into SAP within 5days;enters;new vendor master record into SAP|days
Master Data Enter Department;Enter new vendor master record into SAP within 24 hours;enters;new vendor master record into SAP|hours
Validation Office;Check priority;checks;priority
Validation Office;Sort invoices per client;sorts;Sort invoices per client
Validation Office;Print invoices report from SAP;prints;invoices report from SAP
Validation Office;Login to SAP;logins to;SAP
Validation Office;Change status to validated;changes status to;validated
Validation Office;Send invoices to DEO;sends;invoices to DEO
Registry;Pay invoices;pays;invoices
Registry;Generate payment report;generates;payment report
Registry;Send report to client;sends;report to client
Registry;Send report to Registry Officer;sends;report to Registry Officer
Registry;Select paid invoces;selects paid;invoces
Registry;Archive invoices per vendor;archives;invoices per vendor
Registry;Archive invoices per payment date;archives;invoices per payment date
Registry;Track original invoice;tracks;original invoice
Registry;Compare invoice with invoice entry form;compares;invoice with invoice entry form
Registry;Send report to Accounts Receivable Department;sends;report to Accounts Receivable Department
Account Receivable Department;Generate monthly invoice;generates;monthly invoice
Account Receivable Department;Charge flat fee;charges;flat fee
Validation Office;Check invoice data for errors;checks;invoice data for errors
Validation Office;Highlight errors on invoice entry form;highlights;errors on invoice entry form
Validation Office;Keep performance record of DEO;keeps;performance record of DEO
Admin Office;Return invoice to client via postal mail;returns;invoice to client|postal mail
Admin Office;Send reminder letter;sends;reminder letter
Admin Office;Send 2nd reminder letter;sends;2nd reminder letter
Data Entry Office;Generate Vendor master record request form;generates;Vendor master record request form
Data Entry Office;Staple form to invoice;staples;form to invoice
Data Entry Office;Place form to invoice;places;form to invoice
Credit Company;Collect credit information;collects;credit information
Credit Company;Assess risk;assesses;risk
Credit Company;Request approval;requests;approval
Credit Company;Accept credit;accepts;credit
Credit Company;Reject credit;rejects;credit
Order to Cash;Processing customer demand;processes;customer demand
Order to Cash;Sell product to customer;sells;product to customer
Make to Inventory;Determine demanded components according to planning;determines demanded;demanded components according to planning
Make to Inventory;Purchase missing parts and put on stock;"purchases;puts on";"missing parts;stock"
Production;Perform production;performs;production
Production;Perform quality checks;performs;quality checks
Production;Fill product into a packaging;fills;product into a packaging
Production;Pack and label product;packs|labels;product
Production;Transport product to the warehouse;transports;product to the warehouse
Production;Perform follow-up production;performs;follow-up production
Teacher;Check process model;checks;process model
Teacher;Assign penalty points;assigns;penalty points
Teacher;Check process assign points;checks;process|points
Teacher;Consult project, check progress;consults;project|progress
Team;Agree on team field;agrees on;team field
Team;Analyse field and identify process;"analyses;identifies";"field;process"
Team;Assign roles in team;assigns;roles in team
Team;Present the project;presents;project
Student;Join team;joins;team
Student;Create one process model;creates;process model
Student;Fix process until next session;fixes;process until next session
Student;Extend their process to L 2,3;extends;process to L 2,3
Student;perform work according to the role;performs;work according to the role
Client;Deposit amount of money;deposits;amount of money
Client;Withdraw amount of money;withdraws;amount of money
Client;Transfer amount of money;transfers;amount of money
Client;Provide Further Information;provides;Further Information
Client;Cancel the order;cancels;order
Client;Receive invoice;receives;invoice
Bank Agent;Enter the required transaction details;enters;transaction details
Bank Agent;Enter client's account details;enters;client's account details
Bank Agent;Notify the client of problem;notifies;client of problem
Bank Agent;Notify client of complete transaction;notifies;client of complete transaction
Bank System;Check Client's account details;checks;Client's account details
Bank System;Add amount of money deposit to account;adds;amount of money deposit
Bank System;transfer amount of money to account;accounts;transfer amount of money
Bank System;Check account balance;checks;account balance
Bank System;Withdraw amount from account;withdraws;amount from account
Bank System;Issue invoice;issues;invoice
Business Analyst;Collect data conduct business analysis regarding customer feedback;collects;data conduct business analysis regarding customer feedback
Business Analyst;Check design and provide feedback;"checks;provides";"design;feedback"
Web Designer;Change design;changes;design
PHP/HTML/CSS Specialist;Integrate with the overall implemenation;integrates with;overall implemenation
PHP/HTML/CSS Specialist;Adjust according to test results;adjusts according to;test results
Tester;Test the final website to make sure everything is going well;tests;final website
Tester;provide test results;provides;test results
Business Analyst;Collect data conduct business analysis regarding customer service;collects;data conduct business analysis regarding customer service
Marketing Manager;Create and provide information about the company;creates|provides;information about the company
IT Staff Member;Create community groups on Facebook, Twitter and Myspace;creates;community groups on Facebook,Twitter and Myspace
IT Staff Member;Add provided information to the created groups;adds provided;information
IT Staff Member;Add the provided information to the community;adds;information to the community
IT Staff Member;Add new information as soon as Received;adds;new information
Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;inquires about;PRWeb press release services|prices for company's specific requirements
Company's Spokesperson;Make an order for the specific first run press release;makes;order for the specific first run press release
PRWeb Representative;Send back information regarding the requested requirements;sends;back information regarding the requested requirements
PRWeb Representative;Place an order for a fist run press release with the detailed company info;places;order for a fist run press release with the detailed company info
PRWeb Services Headquarters;Run the first press release for the company;runs;first press release for the company
Business Analyst;Collect data about company's products conduct business analysis;collects;data about company|products|business analysis
Web Designer;Integrate Design and decide where such data should be placed;"integrates;decides";"Design;where such data should be placed"
Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;"collects;conducts";data|business analysis covering all aspects about company's products
