;Lane;Task;Verb;NounPhrases;Label;
2243;Team Assistant;A2: place the order;place;A2|order;Starts with subject;
2244;Team Assistant;A3: enter the mission data in the budget management tool;enter;A3|mission data in the budget management tool;Starts with subject;
2245;Team Assistant;A5: send the dossier to direction to get approved;send;A5|dossier to direction;Starts with subject;
2246;Team Assistant;A7: classify all the documents;classify;A7|documents;Starts with subject;
2247;Team Assistant;A6: give to the employee a copy of the MO and/or the MOWE;give to;A6|employee a copy|MO|MOWE;Starts with subject;
2248;Team Assistant;A4: make mission order without expenses (MOWE);make;A4|mission order without expenses|MOWE;Acronym explanation;
2249;Team Leader;TL1: check the relevancy and the cost of the mission;check;TL1|relevancy|cost of the mission;Conjunctive clause;
2250;Team Leader;TL2: choose financial contract;choose;TL2|financial contract;Starts with subject;
2251;Team Leader;TL4 : approve by signing;approve by;TL4|signing;Bad prefix;
2252;Team Leader;TL3: disapprove;disapprove;TL3;Starts with subject;
2253;Employee;E1: set the travel schedules;set;E1|travel schedules;Starts with subject;
2254;Employee;E2: look for accommodation;look for;E2|accommodation;Starts with subject;
2255;Employee;E3: request quote for transportation and accommodation;;E3|request quote for transportation|accommodation;Conjunctive clause;
2256;Employee;E4: fill mission order request (MOR);fill;E4|mission order request|MOR;Acronym explanation;
2257;Employee;E5: address the MOR and the quote to the assistant;address;E5|MOR|quote to the assistant;Conjunctive clause;
2258;Direction;D1: check the documents;check;D1|documents;Starts with subject;
2259;Direction;D3: disapprove;disapprove;D3;Starts with subject;
2260;Direction;D2: approve by signing;approve by;D2|signing;Starts with subject;
2261;Manufacturer;Reject Order;Reject;Order;;
2262;Manufacturer;Confirm Order;Confirm;Order;;
2263;Manufacturer;Deliver Order;Deliver;Order;;
2264;Customer;Request Order;;Request Order;;
2265;Student;Login to QUT Virtual;Login to;QUT Virtual;;
2266;Student;Proceed to Manage Study Plan/Package;Proceed;Study Plan|Package;;
2267;Student;Check Enrol Boxes;Check;Enrol Boxes;;
2268;Student;Confirm Enrolment;Confirm;Enrolment;;
2269;Student;Do Nothing;Do;;;
2270;Student;Pay Fees;Pay;Fees;;
2271;Student;View Prerequisites Information;;View Prerequisites Information;;
2272;Student;Request Prerequisites Waiver;;Request Prerequisites Waiver;;
2273;QUT Administration;Verify User;Verify;User;;
2274;QUT Administration;Process Search;;Process Search;;
2275;QUT Administration;Administer Enrolment;Administer;Enrolment;;
2276;QUT Administration;Process Unit/s Swap;;Process Unit|Swap;;
2277;QUT Administration;Process Unit/s Withdrawal;;Process Unit|Withdrawal;;
2278;QUT Administration;Process Payment;;Process Payment;;
2279;Student;Log out of QUT Virtual;Log out;QUT Virtual;;
2280;QUT Administration;Process Prerequisites Waiver;;Process Prerequisites Waiver;;
2281;QUT Administration;Check Census Date;Check;Census Date;;
2282;Student;Select Enrolled Unit to Swap;Select Enrolled;Unit to Swap;;
2283;Student;Search for Unit;Search for;Unit;;
2284;Student;Confirm Unit Swap;Confirm;Unit Swap;;
2285;Student;Select enrolled unit to be Swapped;Select enrolled;unit;;
2286;Student;Select Unit/s to Withdraw;Select;Unit;;
2287;Student;Confirm Withdrawal;Confirm;Withdrawal;;
2288;QUT Administration;Administer Unit Withdrawal;Administer;Unit Withdrawal;;
2289;QUT Administration;Revise Tuition Fees;Revise;Tuition Fees;;
2290;Student;Proceed to pay fees;Proceed;fees;;
2291;QUT Administration;Check cut-off date;Check;cut|date;;
2292;QUT Virtual;Verify User;Verify;User;;
2293;QUT Virtual;Process Search;;Process Search;;
2294;QUT Virtual;Administer Enrolment;Administer;Enrolment;;
2295;Unit Coordinator;Process Prerequisites Waiver;;Process Prerequisites Waiver;;
2296;Student;Search for unit;Search for;unit;;
2297;Student;Change unit selection;Change;unit selection;;
2298;Student;Request pre-requisites waiver;;Request pre-requisites waiver;;
2299;Student;View pre-requisites information;;View pre-requisites information;;
2300;Student;Select unit;Select;unit;;
2301;QUT Virtual;Process search;;Process search;;
2302;QUT Virtual;Process unit selection;;Process unit selection;;
2303;Unit Coordinator;Process pre-requisites waiver;;Process pre-requisites waiver;;
2304;Unit Coordinator;Update system;;Update system;;
2305;Student;Proceed to manage Study Plan/Package;Proceed;Study Plan|Package;;
2306;Student;Check Enrol boxes;Check Enrol;boxes;;
2307;Student;Confirm enrolment;Confirm;enrolment;;
2308;Student;Select enrolled unit to be swapped;Select enrolled;unit;;
2309;Student;Select complimentary studies unit;Select;complimentary studies unit;;
2310;Student;Select core unit;Select;core unit;;
2311;Student;Select unit/s to withdraw;Select;unit;;
2312;Student;Confirm withdrawal;Confirm;withdrawal;;
2313;Student;Pay fees;Pay;fees;;
2314;QUT Virtual;Verify user;Verify;user;;
2315;QUT Virtual;Administer enrolment;Administer;enrolment;;
2316;QUT Virtual;Check census date;Check;census date;;
2317;QUT Virtual;Process unit/s swap;;Process unit|swap;;
2318;QUT Virtual;Administer unit/s withdrawal;Administer;unit/s withdrawal;;
2319;QUT Virtual;Process payment;;Process payment;;
2320;QUT Virtual;Revise tuition fees;Revise;tuition fees;;
2321;QUT Virtual;Check date for academic penalty;Check;date for academic penalty;;
2322;QUT Virtual;Check cut-off date;Check;cut|date;;
2323;Pit;Updates the online catalogue;Updates;online catalogue;;
2324;Pit;Check available bikes;Check;available bikes;;
2325;Pit;Prepare proposal;Prepare;proposal;;
2326;Pit;Send order to Fami;Send;order to Fami;;
2327;Pit;Update Order;;Update Order;;
2328;Customer;Choosing the bike configuration;Choosing;bike configuration;;
2329;Customer;Go for a test ride;Go for;test ride;;
2330;Customer;Ask for proposal;Ask for;proposal;;
2331;Fami;Deliver bikes;Deliver;bikes;;
2332;employee;submit expense report;submit;expense report;;
2333;employee;use the account;use;account;;
2334;employee;creat the account;creat;account;;
2335;employee;receive money;receive;money;;
2336;finance team;review expense report;;review expense report;;
2337;finance team;approve <$200;approve;;Invalid text;
2338;finance team;Investigate $200=<;Investigate;;Invalid text;
2339;Manufacturer;Products Creation;;Products Creation;;
2340;Manufacturer;Packing products to packungs;;Packing products to packungs;;
2341;Manufacturer;Packing packungs to pallets;Packing;packungs to pallets;;
2342;Manufacturer;Ship of pallets;;Ship of pallets;;
2343;Wholesaler;Ship of packungs;;Ship of packungs;;
2344;Wholesaler;Unpacking of pallets;;Unpacking of pallets;;
2345;Wholesaler;Purchasing of pallets;;Purchasing of pallets;;
2346;Distributor;Purchasing of packungs;;Purchasing of packungs;;
2347;Distributor;Unpacking of packungs;;Unpacking of packungs;;
2348;Distributor;Ship of products;;Ship of products;;
2349;Manteinance;Purchase Order Reception;Purchase;Order Reception;;
2350;Administration;Purchase Item Entry;;Purchase Item Entry;;
2351;Administration;System Item Creation;;System Item Creation;;
2352;Administration;Item Inventory;;Item Inventory;;
2353;Administration;Item activation and creation of the element in the ERP;;Item activation|creation of the element|ERP;Conjunctive clause;
2354;Administration;Item activation in the System;;Item activation in the System;;
2355;Administration;Approval Request;;Approval Request;;
2356;Administration;Item Form Printing;;Item Form Printing;;
2357;Administration;Item Bar Code Printing;;Item Bar Code Printing;;
2358;Manufacturing Department;Create production order;Create;production order;;
2359;Manufacturing Department;Perform material resource planning;Perform;material resource planning;;
2360;Manufacturing Department;Manufacture motorcycles;;Manufacture motorcycles;;
2361;Manufacturing Department;Move manufactured motorcycles to warehouse for storage;Move manufactured;motorcycles to warehouse|storage;;
2362;Manufacturing Department;Production confirmation is sent to concerned parties;sent to;Production confirmation|concerned parties;Starts with subject;
2363;Inventory Department;Check availability of materials in the warehouse;Check;availability of materials|warehouse;;
2364;Inventory Department;Move materials to the production floor;Move;materials to the production floor;;
2365;Inventory Department;Document receipt of motorcycles;;Document receipt of motorcycles;;
2366;Finance Department;Release funds for payment;;Release funds for payment;;
2367;Procurement Department;Select vendor and create purchase order;Select;vendor|purchase order;Conjunctive clause;
2368;Procurement Department;Pay vendor;Pay;vendor;;
2369;Inventory Department;Accept materials from vendor into warehouse;Accept;materials from vendor|warehouse;;
2370;Inventory Department;Document receipt of materials;;Document receipt of materials;;
2371;Sales Department;Create new customer record;Create;new customer record;;
2372;Sales Department;Process sales request: check availability of goods;check;Process sales request|availability of goods;Starts with subject;
2373;Sales Department;Determine date of goods delivery and inform customer;Determine;date of goods delivery|customer;Conjunctive clause;
2374;Sales Department;Agree on payment conditions;Agree on;payment conditions;;
2375;Sales Department;Create sales order;Create;sales order;;
2376;Sales Department;Accept payments and generate invoice;Accept;payments|invoice;Conjunctive clause;
2377;Sales Department;Deliver products to customer;Deliver;products to customer;;
2430;Student Engagement;Check history of orientation week attendance from previous years;Check;history of orientation week attendance|previous years;;
2431;Student Engagement;Gather information about expected attendance from different faculties;Gather;information about|attendance from different faculties;;
2432;Student Engagement;Prioritise space availability according to demand based on faculty needs;Prioritise;space availability|demand|faculty needs;;
2433;Faculty;Provides expected number of students;Provides expected;number of students;;
2434;Facilities Department;Provide space availability for all sessions based on expected student numbers;Provide;space availability for all sessions|student numbers;;
2435;Facilities Department;Provide extra room in a close location, if attendance number exceeded;Provide;extra room in a close location|attendance number;Condition;
2436;Data Entry Officer;Complete Vendor Master Record request form;;Complete Vendor Master Record request form;;
2437;Data Entry Officer;Put into new SAP master record outbox;Put into;new SAP master record outbox;;
2438;Data Entry Officer;Staples the form to the invoice;Staples;form to the invoice;;
2439;Mail centre Staff;Collect all forms;Collect;forms;;
2440;Mail centre Staff;Send invoice;Send;invoice;;
2441;Master Data Entry Department;Enter it with in 24 hourse;Enter;;;
2442;Master Data Entry Department;Enter with in 1-5 days;Enter with;days;;
2443;Master Data Entry Department;Note vendor number on invoice entry form;;Note vendor number on invoice entry form;;
2444;Master Data Entry Department;Check invoice urgency;Check;invoice urgency;;
2445;Validatoin Officer;Sorts invoices per client;;Sorts invoices per client;;
2446;Validatoin Officer;Process urgent invoices first;;Process urgent invoices;;
2447;Validatoin Officer;Check invoice urgency;Check;invoice urgency;;
2448;Validatoin Officer;Check correctness;Check;correctness;;
2449;Validatoin Officer;Highlight invoice entry form;Highlight;invoice entry form;;
2450;Validatoin Officer;Keep record of the number of mistakes/DEO;Keep;record of the number|mistakes|DEO;;
2451;Validatoin Officer;Send to the form back to DEO;Send to;form|DEO;;
2452;Validatoin Officer;check 'invoice entered correclty' box;check;invoice|correclty|box;;
2453;Validatoin Officer;Log into SAP;Log into;SAP;;
2454;Validatoin Officer;Change the status from: Parked to: Validated;Change;status from;;
2455;Validatoin Officer;Forward to the Registry;;Registry;;
2456;Validatoin Officer;Print report with all invoices;Print;report with all invoices;;
2457;Validatoin Officer;Compare the report with actual paper invoices;Compare;report with actual paper invoices;;
2458;Data Entry Officer;Re-enter invoices;Re-enter;invoices;;
2459;Client;Send invoice;Send;invoice;;
2460;Client;Confrim Invoice can be paid;paid;Confrim Invoice;Starts with subject;
2461;Client;Add relevent cost centre to invoice;Add;relevent cost centre to invoice;;
2462;Mail Centre Staff;Empity high priority outbox;;Empity high priority outbox;;
2463;Mail Centre Staff;Open and categorise invoice;Open;invoice;Conjunctive clause;
2464;Mail Centre Staff;Forward Invoice;;Forward Invoice;;
2465;Mail Centre Staff;Collect invoice with form;Collect;invoice with form;;
2466;Mail Centre Staff;Send invoice with form;Send;invoice with form;;
2467;Admin Officer;Enter Form data;Enter;Form data;;
2468;Admin Officer;Put red stamp;Put;red stamp;;
2469;Data Entry Officer;Collect allocated invoices;Collect allocated;invoices;;
2470;Data Entry Officer;Check if include urgent invoice;Check;urgent invoice;Condition;
2471;Data Entry Officer;put in collective high priority outbox;put in;collective high priority outbox;;
2472;Data Entry Officer;Give priority to urgent invoice;Give;priority to urgent invoice;;
2473;Data Entry Officer;Look up Vendor number in SAP;Look up;Vendor number in SAP;;
2474;Data Entry Officer;Add vendor number to the invoice entry form;Add;vendor number to the invoice entry form;;
2475;Data Entry Officer;Enter invoivce to SAP;Enter;invoivce to SAP;;
2476;Data Entry Officer;Decide which strategy to use to entre invoice to SAP;Decide;strategy|invoice to SAP;;
2477;Data Entry Officer;Re-sort Invoice per vendor;;Re- sort Invoice per vendor;;
2478;Data Entry Officer;Re-sort Invoice per amount;;Re- sort Invoice per amount;;
2479;RM;Use a structured interview templates;Use;interview templates;;
2480;RM;Identify preferred candidate;Identify preferred;candidate;;
2481;RM;Arrange for second interview;Arrange for;second interview;;
2482;RM;determine if psychometric test is needed;determine;psychometric test;Condition;
2483;RM;undergo a psychometric test;undergo;psychometric test;;
2484;RM;Recommend & obtain approvals;Recommend;approvals;Conjunctive clause;
2485;RM;Advise unsuccessful Candidates verbally;Advise;unsuccessful Candidates;;
2486;Faculty;Create Faculty sessions time table;Create;Faculty sessions time table;;
2487;Faculty;System prompt clash massage;;System prompt clash massage;;
2488;Faculty;Confirm;Confirm;;;
2489;Faculty;Change time for clashed sessions;Change;time for|sessions;;
2490;Student Engagement Department;Open QUT Vritual;;Open QUT Vritual;;
2491;Student Engagement Department;Create Connect sessions time table;Create Connect;sessions time table;;
2492;Student Engagement;Create Connect session program agenda;Create;Connect session program agenda;;
2493;Student Engagement;Review both program agenda;Review;program agenda;;
2494;Student Engagement;Change the duplicated agenda;Change;agenda;;
2495;Student Engagement;Aprrove;;Aprrove;;
2496;Faculty;Create Faculty session program agenda;Create;Faculty session program agenda;;
2497;Student Engagment;Advertise Volunteer jobs using QUT Virtual different method;Advertise;Volunteer jobs|QUT Virtual different method;;
2498;Student Engagment;Keep record of all applied volunteers;Keep;record of all|volunteers;;
2499;Student Engagment;Check volunteer information about QUT;Check;volunteer information about QUT;;
2500;Student Engagment;Decline the volunteer application;Decline;volunteer application;;
2501;Student Engagment;Approve the volunteer application;Approve;volunteer application;;
2502;Student Engagment;Inform the volunteer with decision;Inform;volunteer with decision;;
2503;Student Volunteer;Apply for Voluntary job;Apply for;Voluntary job;;
2504;Student Volunteer;State if he/she has enough information about QUT;has;State|enough information about QUT;Condition;
2505;Student Engagement;Develop interview techniques;Develop;interview techniques;;
2506;Student Engagement;Identify interview time;Identify;interview time;;
2507;Student Engagement;Conduct interview;;Conduct interview;;
2508;Student Engagement;Decline;;Decline;;
2509;Student Engagement;Appoint volunteer;Appoint;volunteer;;
2510;Student Engagement;Inform volunteer;Inform;volunteer;;
2511;Student Engagement;Create social events;Create;social events;;
2512;Student Engagement;Advertise social events for new students;Advertise;social events for new students;;
2513;Student Engagement;Make sure there is no clash between social event and orientation sessions;Make;clash between social event|orientation sessions;Conjunctive clause;
2514;Student Engagement;Conduct the social event;Conduct;social event;;
2515;Student Engagement;Post event pictures in social network;Post;event pictures in social network;;
2516;Central purchase department;Checking the completeness;Checking;completeness;;
2517;Central purchase department;Complete;;;Invalid name;
2518;Central purchase department;Not complete;;;Invalid name;
2519;Central purchase department;Entering request into Enterprise system;Entering;request into Enterprise system;;
2520;Central purchase department;Selecting vendors;Selecting;vendors;;
2521;Central purchase department;PO automatically generated from the system;generated from;PO|system;Bad prefix;
2522;Central purchase department;Initial quote is expired;expired;Initial quote;Starts with subject;
2523;Central purchase department;Make the PO copy and send to AP;Make;PO copy|AP;Conjunctive clause;
2524;Requestor;Start the request preparation;Start;request preparation;;
2525;Requestor;Reguest complete;;;Invalid name;
2526;Requestor;Return approved request;Return approved;request;;
2527;Requestor;Make a copy for monitoring;Make;copy for monitoring;;
2528;Supervisors;Hand deliver;;Hand deliver;;
2529;Supervisors;Internal mail;;Internal mail;;
2530;Supervisors;Checking the request;Checking;request;;
2531;Supervisors;Financial approvement;;Financial approvement;;
2532;Supervisors;Necessity and conformance approvement;;Necessity|conformance approvement;Conjunctive clause;
2533;Supervisors;Rejection;;Rejection;;
2534;Accounts payable;Trigger payment;;Trigger payment;;
2535;Accounts payable;Comapre “three way matching” process;matching;Comapre|way|process;Starts with subject;
2536;Accounts payable;In case of discrepancies -investigate;investigate;case of discrepancies;Starts with subject;
2537;Receipt department;Quality and quantity check of the arrived goods;arrived;Quality|quantity check of the|goods;Conjunctive clause;
2538;Receipt department;Select the corresponding purchase order;Select;purchase order;;
2539;Receipt department;Quantity and quality is OK;;Quantity|quality;Conjunctive clause;
2540;Receipt department;Quantity and quality is not OK;;Quantity|quality;Conjunctive clause;
2541;Receipt department;Automatic goods receipt form from the purchase order;;Automatic goods receipt form from the purchase order;;
2542;Receipt department;Forwarding goods to the employee;;Forwarding goods to the employee;;
2543;Receipt department;Send receipt form print-out to AP;Send;receipt form print|AP;;
2544;Receipt department;Send paper based note to AP;Send;paper|note to AP;;
2545;Receipt department;Send paper based note to the purchase department;Send;paper|note to the purchase department;;
2546;Vendor;check the data of PO;check;data of PO;;
2547;Vendor;goods check by requestor;check by;goods|requestor;Starts with subject;
2548;Vendor;goods deliveried do not match with PO;deliveried;goods|PO;Starts with subject;
2549;Vendor;goods delivered match with PO;delivered;goods|match with PO;Starts with subject;
2550;Vendor;correct data, payment arrives;;correct data|payment arrives;Conjunctive clause;
2551;Vendor;incorrect data, payment bounces back;;incorrect data|payment bounces;Conjunctive clause;
2552;Vendor;request from AP to validate bank data arrives;validate;request from AP|bank data arrives;Starts with subject;
2553;Vendor;cheque arrives from AP;arrives from;cheque|AP;Starts with subject;
2554;Vendor;checking prices;checking;prices;;
2555;Vendor;goods invoice is sent to AP;sent to;goods invoice|AP;Starts with subject;
2556;Pharmacy technicians;Produce drugs;Produce;drugs;;
2557;Tech;Enter script;Enter;script;;
2558;Tech;Ascertain the pick up time;Ascertain;pick up time;;
2559;Tech;Generate DUR;Generate;DUR;;
2560;Tech;Check insurance;Check;insurance;;
2561;Tech;Seal drugs in bag;;Seal drugs in bag;;
2562;Tech;Store sealed bags;sealed;Store|bags;Starts with subject;
2563;Tech;Hand over drugs;;Hand over drugs;;
2564;Tech;Solve problems;Solve;problems;;
2565;Tech;Inform customer of problems;Inform;customer of problems;;
2566;Tech;Check technical problems;Check;technical problems;;
2567;Pharmacist;Solve DUR problems;Solve;DUR problems;;
2568;Pharmacist;Check quality (QA);Check;quality|QA;Acronym explanation;
2569;Tech;Notify customer of untaken prescription;Notify;customer of untaken prescription;;
2570;Tech;Dispose of drugs;Dispose of;drugs;;
2571;Sales Manager;Verify the RFQ;Verify;RFQ;;
2572;Sales Manager;Review the pricing;Review;pricing;;
2573;Sales Assistant;Back to Customer for more information;;Customer for more information;;
2574;Engineering Department;Verified Quote;Verified;Quote;;
2575;Engineering Department;Produce an Estimate for labor & materials cost;Produce;Estimate for labor|materials cost;Conjunctive clause;
2576;Finance Department;Labor and Materials costs are evaluated Minimum, Mid-range, High Price;evaluated;Labor|Materials costs|range|High Price;Conjunctive clause;
2577;Finance Department;Add Overhead Costs;Add;Overhead Costs;;
2578;Finance Department;Create Sales Quote;Create;Sales Quote;;
2579;Agency;Check if requested loan is < 20 times mothly income (Bank A);Check;loan|times mothly income|Bank A;Invalid text;
2580;Agency;Check if income is > 2.000€ and requested loan < 100.000 € (Bank B);Check;income|€|loan|€|Bank B;Invalid text;
2581;Agency;Request credit rating;;Request credit rating;;
2582;Agency;Check security with customer;Check;security with customer;;
2583;Agency;Send offer for 15% rate (Bank B);Send;offer for|rate|Bank B;;
2584;Agency;Send offer for 12.5% rate (Bank B);Send;offer for|rate|Bank B;;
2585;Agency;Send letter of regret;Send;letter of regret;;
2586;Agency;Check eligibility for Bank B;Check;eligibility for Bank B;;
2587;Agency;Send offer for 22,5% rate (Bank B);Send;offer for|rate|Bank B;Conjunctive clause;
2588;Agency;Send offer for 20% rate (Bank A);Send;offer for|rate|Bank A;;
2589;Loan Agency;Forward to bank A;Forward to;bank A;;
2590;Loan Agency;receive answer;receive;answer;;
2591;Loan Agency;receive anwer;receive;anwer;;
2592;Loan Agency;process Answers;;process Answers;;
2593;Customer;Fill out loan request;Fill out;loan request;;
2594;Customer;send loan request;send;loan request;;
2595;Customer;receive loan proposal;receive;loan proposal;;
2596;Bank A;check loan request;check;loan request;;
2597;Bank A;accept loan request;accept;loan request;;
2598;Bank A;refuse loan request;refuse;loan request;;
2599;Bank A;create answer;create;answer;;
2600;Bank B;check loan request;check;loan request;;
2601;Bank B;refuse loan request;refuse;loan request;;
2602;Bank B;security check;;security check;;
2603;Bank B;calculate interest;calculate;interest;;
2604;Bank B;accept loan request;accept;loan request;;
2605;Bank B;create answer;create;answer;;
2606;Prefect;Define safety perimeter;Define;safety perimeter;;
2607;Prefect;Ask for implementation of safety perimeter;Ask for;implementation of safety perimeter;;
2608;Prefect;Define alternative circulation plan;Define;alternative circulation plan;;
2609;Prefect;Define circulation plan;Define;circulation plan;;
2610;Prefect;Ask for implementation of circulation plan;Ask for;implementation of circulation plan;;
2611;Prefect;Define new alternative circulation plan;Define;new alternative circulation plan;;
2612;Prefect;Ask for implementation of second circulation plan;Ask for;implementation of second circulation plan;;
2613;Prefect;Ask for implementation of third circulation plan;Ask for;implementation of third circulation plan;;
2614;Prefect;Activate crisis cell;Activate;crisis cell;;
2615;Prefect;Contact media to inform that PUI is activated;Contact;media|PUI;;
2616;Prefect;Alert field actors;;Alert field actors;;
2617;Prefect;Ask for measurements;Ask for;measurements;;
2618;Prefect;ask for advice from IRSN;ask for;advice from IRSN;;
2619;Prefect;Analyse recommendations;Analyse;recommendations;;
2620;Prefect;Ask for evacuation;Ask for;evacuation;;
2621;Prefect;Ask for confinement and iodine treatment;Ask for;confinement|iodine treatment;Conjunctive clause;
2622;Prefect;Regularly inform media and population about operations;inform;media|population about operations;Conjunctive clause;
2623;Prefect;Close operations;;Close operations;;
2624;IRSN Scientific experts;Study radiation and weather reports;;Study radiation|weather reports;Conjunctive clause;
2625;IRSN Scientific experts;Send advice to Prefect;Send;advice to Prefect;;
2626;IRSN;Study radiation and weather reports;;Study radiation|weather reports;Conjunctive clause;
2627;IRSN;Send advice to Prefet;Send;advice to Prefet;;
2628;Prefet;Ask for radiation and weather measures;Ask for;radiation|weather measures;Conjunctive clause;
2629;Prefet;ask for advice from IRSN;ask for;advice from IRSN;;
2630;Prefet;Ask for confinment and iodine treatment;Ask for;confinment|iodine treatment;Conjunctive clause;
2631;Firemen;Deliver iodine capsules;Deliver;iodine capsules;;
2632;Firemen;wait for resources;wait for;resources;;
2633;Police;ensure and control confinment;ensure;confinment;Conjunctive clause;
2634;Police;wait for resources;wait for;resources;;
2635;Meteo France;Measure weather data;Measure;weather data;;
2636;Meteo France;Send measure report;Send;measure report;;
2637;Radiation Survey Network;Measure radiation data;Measure;radiation data;;
2638;Radiation Survey Network;Send measure report;Send;measure report;;
2639;Police;Provide confinment materials + vehicles;Provide;confinment materials|vehicles;;
2640;Firemen;Provide iodine capsules + vehicles;Provide;iodine capsules|vehicles;;
2641;Police;Implement safety parameter;Implement;safety parameter;;
2642;Army;ensure and control evacuation;ensure;evacuation;Conjunctive clause;
2643;Army;wait for resources;wait for;resources;;
2644;Office of infrastructures;Implement circulation plan;Implement;circulation plan;;
2645;Office of infrastructures;wait for resources;wait for;resources;;
2646;Office of infrastructures;Implement new circulation plan;Implement;new circulation plan;;
2647;Media;Inform population to take iodine;Inform;population|iodine;;
2648;Media;Inform population to stay confined;Inform;population;;
2649;Media;Inform population to evacuate;Inform;population;;
2650;Media;Keep population informed;Keep;population;;
2651;Firemen;Assist and evacuate victims;Assist;victims;Conjunctive clause;
2652;Hospitals;receive and treat victims;receive;victims;Conjunctive clause;
2653;MEMS;Assist victims and support psychologically;Assist;victims|support;Conjunctive clause;
2654;Radiation survey network;Measure radiation data;Measure;radiation data;;
2655;Radiation survey network;Send measure report;Send;measure report;;
2656;Office of infrastructure;Provide road signs and vehicles;Provide;road signs|vehicles;Conjunctive clause;
2657;Office of infrastructure;Provide additional road signs and vehicules;Provide;additional road signs|vehicules;Conjunctive clause;
2658;Representative of the local authority;Requisition buses;;Requisition buses;;
2659;Representative of the local authority;Send buses to evacuation points;Send;buses to evacuation points;;
2660;Pit;Welcomes customer;Welcomes;customer;;
2661;Pit;Stop the Purchase;Stop;Purchase;;
2662;Pit;Offer a test drive;Offer;test drive;;
2663;Pit;Notifiy customer;;Notifiy customer;;
2664;Fami;Transfer Refund to Pit;;Transfer Refund to Pit;;
2665;Fami;Receive Cancellation fee;Receive;Cancellation fee;;
2666;Fami;Process Order;;Process Order;;
2667;Fami;Deliver bike;Deliver;bike;;
2668;Fami;Assemble bike;Assemble;bike;;
2669;Fami;Get money;Get;money;;
2670;Customer;Enter Pit's shop;Enter;Pit|shop;;
2671;Customer;Browse through online catalog;Browse through;online catalog;;
2672;Customer;Stop the Purchasing;Stop;Purchasing;;
2673;Customer;Understand solution;Understand;solution;;
2674;HO CC CRC;Create Contexts for HO and NWUs;Create;Contexts for HO|NWUs;Conjunctive clause;
2675;HO CC CRC;Generate CORP-Reports for FMA;Generate;CORP|Reports for FMA;;
2676;HO CC CRC;Calculate RWA;Calculate;RWA;;
2677;HO CC CRC;Create Layer3 Data;Create;Layer3 Data;;
2678;HO CC CRC;Generate RWA-Reports for FMA;Generate;RWA|Reports for FMA;;
2679;HO CC CRC;Calculate EAD;Calculate;EAD;;
2680;HO CC CRC;Technical Check;;Technical Check;;
2681;HO CC CRC;Unlock User for Context HO;Unlock;User for Context HO;;
2682;HO CR Business Field;Report via Custom SQL;;Report via Custom SQL;;
2683;HO CR Business Field;Run FRM-Reports;Run;FRM|Reports;;
2684;HO CR Business Field;Present Board;;Present Board;;
2685;HO CR Business Field;BF Check;;BF Check;Bad prefix;
2686;HO CR Business Field;Define Parametrization;Define;Parametrization;;
2687;Local CC CRC;Receive RBRU Data from local HO;Receive;RBRU Data from local HO;;
2688;Local CC CRC;Calculate EAD;Calculate;EAD;;
2689;Local CC CRC;Install local Calculation Setup;Install;local Calculation Setup;;
2690;Local CC CRC;Technical Check;;Technical Check;;
2691;Local CC CRC;Calculate RWA;Calculate;RWA;;
2692;Local CC CRC;Generate CORP-Reports for local Supervisor;Generate;CORP|Reports for local Supervisor;;
2693;Local CC CRC;Generate FIN-Reports for local Supervisor;Generate;FIN|Reports for local Supervisor;;
2694;Local CC CRC;Prepare DFF-Files for Stresstesting;Prepare;DFF|Files for Stresstesting;;
2695;Local CC CRC;Load DFF-Files into Stresstesting;;Load DFF|Files into Stresstesting;;
2696;Local CC CRC;Calculate Stresstesting-Scenarios;Calculate;Stresstesting|Scenarios;;
2697;Local CC CRC;Generate RWA-Reports for local Supervisor;Generate;RWA|Reports for local Supervisor;;
2698;Local CC CRC;Unlock User for Context RBRU;Unlock;User for Context RBRU;;
2699;Local CR Business Field;BF Check;;BF Check;Bad prefix;
2700;Local CR Business Field;Define Parametrization;Define;Parametrization;;
2701;Local CR Business Field;Present Board;;Present Board;;
2702;Local CR Business Field;Report via Custom SQL + MS EXCEL;;Report via Custom SQL|MS EXCEL;;
2703;Local CC CRC;Genrate RWA-Reports for local Supervisor;;Genrate RWA|Reports for local Supervisor;;
2704;Local CR Business Field;Generate FRM-Reports;Generate;FRM|Reports;;
2705;Local CC CRC;RWA Calculation;;RWA Calculation;Bad prefix;
2706;Local CR Business Field;Generate FRT-Reports;Generate;FRT|Reports;;
2707;NWU CC CRC;Receive RBSG Data from local HO;Receive;RBSG Data from local HO;;
2708;NWU CC CRC;Generate CORP-Reports for FMA;Generate;CORP|Reports for FMA;;
2709;NWU CC CRC;Calculate RWA;Calculate;RWA;;
2710;NWU CC CRC;Install local Calculation Setup;Install;local Calculation Setup;;
2711;NWU CC CRC;Generate RWA-Reports for FMA;Generate;RWA|Reports for FMA;;
2712;NWU CC CRC;Calculate EAD;Calculate;EAD;;
2713;NWU CC CRC;Technical Check;;Technical Check;;
2714;NWU CC CRC;Unlock User for Context HO;Unlock;User for Context HO;;
2715;NWU CR Business Field;Report via Custom SQL;;Report via Custom SQL;;
2716;NWU CR Business Field;Run FRM-Reports;Run;FRM|Reports;;
2717;NWU CR Business Field;Present Board;;Present Board;;
2718;NWU CR Business Field;BF Check;;BF Check;Bad prefix;
