Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
Admin Department;Recall Client's SLA;recalls;"Admin Department;Client|SLA";Admin Department Recall Client's SLA;;admin department recall client'|sla;
Admin Department;Search Excel spreadsheet for SLA;searches;"Admin Department;Excel spreadsheet for SLA";Admin Department Search Excel spreadsheet for SLA;;admin department search excel spreadsheet for sla;
Admin Department;Write SLA on Invoice Entry form;writes;"Admin Department;SLA on Invoice Entry form";Admin Department Write SLA on Invoice Entry form;writes;admin department|sla on invoice entry form;
SSP Clients;Forward Invoice;forwards;"SSP Clients;Invoice";SSP Clients Forward Invoice;;ssp clients forward invoice;
SSP Clients;Complete Invoice;completes;"SSP Clients;Invoice";SSP Clients Complete Invoice;;ssp clients complete invoice;
SSP Clients;Determine correct compliance information;determines;"SSP Clients;correct compliance information";SSP Clients Determine correct compliance information;determines;ssp clients|correct compliance information;
SSP Clients;Notify Vendor of Invoice Payment;notifies;"SSP Clients;Vendor of Invoice Payment";SSP Clients Notify Vendor of Invoice Payment;notifies;ssp clients|vendor of invoice payment;
SSP Clients;Pay Monthly Invoice;pays;"SSP Clients;Monthly Invoice";SSP Clients Pay Monthly Invoice;pays;ssp clients|monthly invoice;
SSP Clients;Modify information for compliance;modifies;"SSP Clients;information for compliance";SSP Clients Modify information for compliance;modifies;ssp clients|information for compliance;
Admin Department;Check if invoice is compliant with the SLA;checks;"Admin Department;invoice|SLA";Admin Department Check if invoice is compliant with the SLA;checks;admin department|invoice|sla;
Admin Department;Return Invoice to Client;returns;"Admin Department;Invoice to Client";Admin Department Return Invoice to Client;returns;admin department|invoice to client;
Admin Department;Send Reminder Letter;sends;"Admin Department;Reminder Letter";Admin Department Send Reminder Letter;sends;admin department|reminder letter;
Admin Department;Phone client to request required information;"phones;requests";"Admin Department;client;required information";Admin Department Phone client to request required information;requests required;admin department phone client to|information;
Admin Department;Complete invoice entry form with compliance information;completes;"Admin Department;invoice entry form with compliance information";Admin Department Complete invoice entry form with compliance information;completes;admin department|invoice entry form with compliance information;
Data Entry Department;Enter Master Record Request Form;enters;"Data Entry Department;Master Record Request Form";Data Entry Department Enter Master Record Request Form;enters;data entry department|master record request form;
Data Entry Department;Enter Vendor code on Invoice Entry form;enters;"Data Entry Department;Vendor code on Invoice Entry form";Data Entry Department Enter Vendor code on Invoice Entry form;enters;data entry department|vendor code on invoice entry form;
Data Entry Department;Sort Invoices by Vendor;sorts;"Data Entry Department;Invoices by Vendor";Data Entry Department Sort Invoices by Vendor;sorts;data entry department|invoices by vendor;
Data Entry Department;Take Invoice batch to Outbox;takes;"Data Entry Department;Invoice batch to Outbox";Data Entry Department Take Invoice batch to Outbox;takes;data entry department|invoice batch to outbox;
Data Entry Department;Look up Vendor in SAP system;looks up;"Data Entry Department;Vendor in SAP system";Data Entry Department Look up Vendor in SAP system;looks up;data entry department|vendor in sap system;
Data Entry Department;Sort Invoices by Amount;sorts;"Data Entry Department;Invoices by Amount";Data Entry Department Sort Invoices by Amount;sorts;data entry department|invoices by amount;
Validation Department;Send Validated Invoices to the Registry;sends;"Validation Department;Validated Invoices to the Registry";Validation Department Send Validated Invoices to the Registry;sends validated;validation department|invoices to the registry;
The Registry;Sort by Vendor;sorts by;"The Registry;Vendor";The Registry Sort by Vendor;sorts by;registry|vendor;
The Registry;Sort by Payment Date;sorts by;"The Registry;Payment Date";The Registry Sort by Payment Date;sorts by;registry|payment date;
The Registry;Archive Invoices;archives;"The Registry;Invoices";The Registry Archive Invoices;;registry archive invoices;
The Registry;File invoice payment report;files;"The Registry;invoice payment report";The Registry File invoice payment report;;registry file invoice payment report;
Payment Department;Pay Vendor;pays;"Payment Department;Vendor";Payment Department Pay Vendor;pays;payment department|vendor;
Payment Department;Leave Invoice unpaid until next pay run;leaves;"Payment Department;Invoice unpaid until next pay run";Payment Department Leave Invoice unpaid until next pay run;leaves;payment department|invoice|next pay run;
Payment Department;Generate invoice payment report per client;generates;"Payment Department;invoice payment report per client";Payment Department Generate invoice payment report per client;generates;payment department|invoice payment report per client;
Payment Department;Send invoice report to client;sends;"Payment Department;invoice report to client";Payment Department Send invoice report to client;sends;payment department|invoice report to client;
Account Receivable Department;Generate monthly invoice for client;generates;"Account Receivable Department;monthly invoice for client";Account Receivable Department Generate monthly invoice for client;generates;account receivable department|monthly invoice for client;
Account Receivable Department;Monthly invoice marked as paid;;Account Receivable Department Monthly invoice marked as paid;Account Receivable Department Monthly invoice marked as paid;reces|##vables|marks as|pays;account|##ei|department monthly invoice;
Vendor;Issue Invoice;issues;"Vendor;Invoice";Vendor Issue Invoice;;vendor issue invoice;
Vendor;Mark invoice as paid;marks;"Vendor;Mark invoice as paid";Vendor Mark invoice as paid;pays;vendor mark invoice;
Sales;Check Customer;checks;"Sales;Customer";Sales Check Customer;;sales check customer;
Sales;Check Solvency;checks;"Sales;Solvency";Sales Check Solvency;;sales check solvency;
Sales;Check Intercooperability;checks;"Sales;Intercooperability";Sales Check Intercooperability;;sales check intercooperability;
Sales;Apply to data base;applies to;"Sales;data base";Sales Apply to data base;applies to;sales|data base;
Sales;Offer Prepayment;offers;"Sales;Prepayment";Sales Offer Prepayment;offers;sales|prepayment;
Sales;create offer for customer;creates;"Sales;offer for customer";Sales create offer for customer;creates;sales|offer for customer;
Sales;Recreate/negotioate offer;recreates;"Sales;negotioate offer";Sales Recreate/negotioate offer;##reates;sales rec|nego|##oate offer;
Sales;Send invoice;sends;"Sales;invoice";Sales Send invoice;sends;sales|invoice;
Sales;Send letter of refusal;sends;"Sales;letter of refusal";Sales Send letter of refusal;sends;sales|letter of refusal;
Sales;Check payment;checks;"Sales;payment";Sales Check payment;;sales check payment;
Sales;Send reminder;sends;"Sales;reminder";Sales Send reminder;sends;sales|reminder;
Sales;Close order;closes;"Sales;order";Sales Close order;;sales close order;
Sales;Check number of reminders;checks;"Sales;number of reminders";Sales Check number of reminders;;sales check number of reminders;
Sales;Contact a lawyer;contacts;"Sales;lawyer";Sales Contact a lawyer;contacts;sales|lawyer;
Logistics;Check capacity;checks;"Logistics;capacity";Logistics Check capacity;;logistics check capacity;
Logistics;Send inquiry for goods to supplier;sends;"Logistics;inquiry for goods to supplier";Logistics Send inquiry for goods to supplier;sends;logistics|inquiry for goods to supplier;
Logistics;Receive suppliers offer;receives;"Logistics;suppliers";Logistics Receive suppliers offer;receives;logistics|suppliers offer;
Logistics;preparing the order;prepares;"Logistics;order";Logistics preparing the order;prepares;logistics|order;
Logistics;Send goods;sends;"Logistics;goods";Logistics Send goods;sends;logistics|goods;
Logistics;start production;starts;"Logistics;production";Logistics start production;;logistics start production;
Italian Restaurant;ask for menu;asks for;"Italian Restaurant;menu";Italian Restaurant ask for menu;asks for;italian restaurant|menu;
Italian Restaurant;check available dishes;checks;"Italian Restaurant;available dishes";Italian Restaurant check available dishes;checks;italian restaurant|available dishes;
Italian Restaurant;order tiramisu;orders;"Italian Restaurant;tiramisu";Italian Restaurant order tiramisu;;italian restaurant order tiramisu;
Italian Restaurant;order a glass of red wine;orders;"Italian Restaurant;glass of red wine";Italian Restaurant order a glass of red wine;orders;italian restaurant|glass of red wine;
Italian Restaurant;consume your dishes;consumes;"Italian Restaurant;dishes";Italian Restaurant consume your dishes;consumes;italian restaurant|dishes;
Italian Restaurant;ask for check;asks for;"Italian Restaurant;check";Italian Restaurant ask for check;asks for;italian restaurant|check;
Italian Restaurant;waiter was nice;;Italian Restaurant waiter was nice;Italian Restaurant waiter was nice;;italian restaurant waiter;
Italian Restaurant;waiter was not nice;;Italian Restaurant waiter was not nice;Italian Restaurant waiter was not nice;;italian restaurant waiter;
Italian Restaurant;pay bill and tip;pays;"Italian Restaurant;bill|tip";Italian Restaurant pay bill and tip;pays;italian restaurant|bill|tip;
Italian Restaurant;pay the bill;pays;"Italian Restaurant;bill";Italian Restaurant pay the bill;pays;italian restaurant|bill;
Italian Restaurant;skip dessert;skips;"Italian Restaurant;dessert";Italian Restaurant skip dessert;skips;italian restaurant|dessert;
Italian Restaurant;order salad;orders;"Italian Restaurant;salad";Italian Restaurant order salad;;italian restaurant order salad;
Italian Restaurant;ask for tiramisu;asks for;"Italian Restaurant;tiramisu";Italian Restaurant ask for tiramisu;asks for;italian restaurant|tiramisu;
Part Provision Team;Identify parts;identifies;"Part Provision Team;parts";Part Provision Team Identify parts;identifies;part provision team|parts;
Part Provision Team;Elicit information from customer;elicits;"Part Provision Team;information from customer";Part Provision Team Elicit information from customer;elicits;part provision team|information from customer;
Part Provision Team;Check availability;checks;"Part Provision Team;availability";Part Provision Team Check availability;;part provision team check availability;
Part Provision Team;supplied to customer;supplies to;"Part Provision Team;customer";Part Provision Team supplied to customer;supplies to;part provision team|customer;
Part Provision Team;Record customer detail;records;"Part Provision Team;customer detail";Part Provision Team Record customer detail;records;part provision team|customer detail;
Part Provision Team;Contract customer;contracts;"Part Provision Team;customer";Part Provision Team Contract customer;;part provision team contract customer;
Part Provision Team;Parts Collected;;Part Provision Team Parts Collected;Part Provision Team Parts Collected;collects;part provision team parts;
Part Provision Team;Payment;;Part Provision Team Payment;Part Provision Team Payment;;part provision team payment;
Army;Hold physical exam;holds;"Army;physical exam";Army Hold physical exam;holds;army|physical exam;
Army;Shortlist application;shortlists;"Army;application";Army Shortlist application;;army shortlist application;
Army;Hold mental exam;holds;"Army;mental exam";Army Hold mental exam;holds;army|mental exam;
Army;Hold interview;holds;"Army;interview";Army Hold interview;;army hold interview;
Army;Recruit applicant;recruits;"Army;applicant";Army Recruit applicant;;army recruit applicant;
Army;Notify failure;notifies;"Army;failure";Army Notify failure;notifies;army|failure;
Army;Schedule exams and interview;schedules;"Army;exams|interview";Army Schedule exams and interview;;army schedule exams|interview;
Sales & Distribution;Check stock availability;checks;"Sales & Distribution;stock availability";Sales & Distribution Check stock availability;;sales|distribution check stock availability;
Sales & Distribution;Confirm order;confirms;"Sales & Distribution;order";Sales & Distribution Confirm order;;sales|distribution confirm order;
Sales & Distribution;Archive order;archives;"Sales & Distribution;order";Sales & Distribution Archive order;;sales|distribution archive order;
Sales & Distribution;Send invoice;sends;"Sales & Distribution;invoice";Sales & Distribution Send invoice;sends;sales|distribution|invoice;
Warehouse;Send product;sends;"Warehouse;product";Warehouse Send product;sends;warehouse|product;
Warehouse;Manufacture product;manufactures;"Warehouse;product";Warehouse Manufacture product;;warehouse manufacture product;
Warehouse;Purchase raw materials from Supplier 1;purchases;"Warehouse;raw materials from Supplier 1";Warehouse Purchase raw materials from Supplier 1;purchases;warehouse|raw materials from supplier 1;
Warehouse;Purchase raw materials from Supplier 2;purchases;"Warehouse;raw materials from Supplier 2";Warehouse Purchase raw materials from Supplier 2;purchases;warehouse|raw materials from supplier 2;
Warehouse;Check raw materials availability;checks;"Warehouse;raw materials availability";Warehouse Check raw materials availability;;warehouse check raw materials availability;
Sales;Confirm order;confirms;"Sales;order";Sales Confirm order;confirms;sales|order;
Sales;Emit invoice;emits;"Sales;invoice";Sales Emit invoice;emits;sales|invoice;
Sales;Archive order;archives;"Sales;order";Sales Archive order;;sales archive order;
Cashier;Capture party details;captures;"Cashier;party details";Cashier Capture party details;;cashier capture party details;
Cashier;Print file server;prints;"Cashier;file server";Cashier Print file server;;cashier print file server;
Cashier;Receive payment;receives;"Cashier;payment";Cashier Receive payment;receives;cashier|payment;
Small claims tribunal;Retrieve claim file;retrieves;"Small claims tribunal;claim file";Small claims tribunal Retrieve claim file;retrieves;small claims tribunal|claim file;
Small claims tribunal;Distribute warrant possession;distributes;"Small claims tribunal;warrant possession";Small claims tribunal Distribute warrant possession;distributes;small claims tribunal|warrant possession;
Small claims tribunal;Store claim file;stores;"Small claims tribunal;claim file";Small claims tribunal Store claim file;;small claims tribunal store claim file;
Small claims tribunal;Attach claim report;attaches;"Small claims tribunal;claim report";Small claims tribunal Attach claim report;;small claims tribunal attach claim report;
Small claims tribunal;Store expanded file;stores;"Small claims tribunal;expanded file";Small claims tribunal Store expanded file;expands;small claims tribunal store|file;
Small claims tribunal;Notify party;notifies;"Small claims tribunal;party";Small claims tribunal Notify party;notifies;small claims tribunal|party;
Party;Archive claim;archives;"Party;claim";Party Archive claim;;party archive claim;
Small claims tribunal;Distribute warrant possession coversheet;distributes;"Small claims tribunal;warrant possession coversheet";Small claims tribunal Distribute warrant possession coversheet;distributes;small claims tribunal|warrant possession coversheet;
Small claims tribunal;Store expanded claim file;stores;"Small claims tribunal;expanded claim file";Small claims tribunal Store expanded claim file;expands;small claims tribunal store|claim file;
Sales;Receive payment;receives;"Sales;payment";Sales Receive payment;receives;sales|payment;
Assessment Manager;Store application;stores;"Assessment Manager;application";Assessment Manager Store application;;assessment manager store application;
Assessment Manager;Get initial validation;gets;"Assessment Manager;initial validation";Assessment Manager Get initial validation;gets;assessment manager|initial validation;
Assessment Manager;Check validation result;checks;"Assessment Manager;validation result";Assessment Manager Check validation result;;assessment manager check validation result;
Assessment Manager;Check modifications to natural environment;checks;"Assessment Manager;modifications to natural environment";Assessment Manager Check modifications to natural environment;checks;assessment manager|modifications to natural environment;
Assessment Manager;Apply additional fees;applies;"Assessment Manager;additional fees";Assessment Manager Apply additional fees;applies;assessment manager|additional fees;
Assessment Manager;Check environment protection laws;checks;"Assessment Manager;environment protection laws";Assessment Manager Check environment protection laws;checks;assessment manager|environment protection laws;
Assessment Manager;Prepare final approval;prepares;"Assessment Manager;final approval";Assessment Manager Prepare final approval;prepares;assessment manager|final approval;
Cadastre;Retrieve geographical infromation;retrieves;"Cadastre;geographical infromation";Cadastre Retrieve geographical infromation;retrieves;cadastre|geographical infromation;
DMR;Check for road conflicts;checks for;"DMR;road conflicts";DMR Check for road conflicts;checks for;dmr|road conflicts;
Seller;Prepare registration information;prepares;"Seller;registration information";Seller Prepare registration information;prepares;seller|registration information;
Seller;Request auction creation;requests;"Seller;auction creation";Seller Request auction creation;;seller request auction creation;
Auctioning Service;Check registration status;checks;"Auctioning Service;registration status";Auctioning Service Check registration status;checks;auctioning service|registration status;
Auctioning Service;Request account creation;requests;"Auctioning Service;account creation";Auctioning Service Request account creation;;auctioning service request account creation;
Auctioning Service;Confirm auction creation;confirms;"Auctioning Service;auction creation";Auctioning Service Confirm auction creation;confirms;auctioning service|auction creation;
Customer;Pay travel;pays;"Customer;travel";Customer Pay travel;pays;customer|travel;
Customer;Check travel offer;checks;"Customer;travel offer";Customer Check travel offer;;customer check travel offer;
Customer;Reject offer;rejects;"Customer;offer";Customer Reject offer;;customer reject offer;
Customer;Book travel;books;"Customer;travel";Customer Book travel;;customer book travel;
Travel Agency;Make travel offer;makes;"Travel Agency;travel offer";Travel Agency Make travel offer;makes;travel agency|travel offer;
Travel Agency;Order ticket;orders;"Travel Agency;ticket";Travel Agency Order ticket;;travel agency order ticket;
Travel Agency;Confirm booking;confirms;"Travel Agency;booking";Travel Agency Confirm booking;;travel agency confirm booking;
Airline;Handle payment;handles;"Airline;payment";Airline Handle payment;handles;airline|payment;
Airline;Confirm payment;confirms;"Airline;payment";Airline Confirm payment;confirms;airline|payment;
Airline;Refuse payment;refuses;"Airline;payment";Airline Refuse payment;refuses;airline|payment;
Client;Submit request for quote;submits;"Client;request for quote";Client Submit request for quote;submits;client|request for quote;
Client;Check quote;checks;"Client;quote";Client Check quote;;client check quote;
Client;Send order;sends;"Client;order";Client Send order;sends;client|order;
Client;Send notification;sends;"Client;notification";Client Send notification;sends;client|notification;
Seller;Prepare quote;prepares;"Seller;quote";Seller Prepare quote;prepares;seller|quote;
Seller;Send quote;sends;"Seller;quote";Seller Send quote;sends;seller|quote;
Seller;Handle order;handles;"Seller;order";Seller Handle order;handles;seller|order;
Seller;Organize shipment;organizes;"Seller;shipment";Seller Organize shipment;organizes;seller|shipment;
Seller;Assess request for merchandise return;assesses;"Seller;request for merchandise return";Seller Assess request for merchandise return;assesses;seller|request for merchandise return;
Seller;Send rejection;sends;"Seller;rejection";Seller Send rejection;sends;seller|rejection;
Seller;Send acceptance;sends;"Seller;acceptance";Seller Send acceptance;sends;seller|acceptance;
Seller;Invoice customer;invoices;"Seller;customer";Seller Invoice customer;;seller invoice customer;
Seller;Receive merchandise;receives;"Seller;merchandise";Seller Receive merchandise;receives;seller|merchandise;
Seller;Approve loss claim;approves;"Seller;loss claim";Seller Approve loss claim;approves;seller|loss claim;
Customer;Sign delivery notice;signs;"Customer;delivery notice";Customer Sign delivery notice;signs;customer|delivery notice;
Customer;Assess merchandise;assesses;"Customer;merchandise";Customer Assess merchandise;assesses;customer|merchandise;
Customer;Lodge damage claim report;lodges;"Customer;damage claim report";Customer Lodge damage claim report;;customer lodge damage claim report;
Customer;Lodge request for merchandise return;lodges;"Customer;request for merchandise return";Customer Lodge request for merchandise return;;customer lodge request for merchandise return;
Customer;Lodge loss claim report;lodges;"Customer;loss claim report";Customer Lodge loss claim report;;customer lodge loss claim report;
Customer;Attempt suicide;attempts;"Customer;suicide";Customer Attempt suicide;attempts;customer|suicide;
Customer;Return merchandise;returns;"Customer;merchandise";Customer Return merchandise;;customer return merchandise;
Customer;Pay;pays;"Customer;nan";Customer Pay;;customer pay;
Risk Assessor;Assess loan risk;assesses;"Risk Assessor;loan risk";Risk Assessor Assess loan risk;assesses;risk assessor|loan risk;
Loan Officer;Return application back to applicant;returns;"Loan Officer;application|applicant";Loan Officer Return application back to applicant;;loan officer return application|applicant;
Loan Officer;Check application form completeness;checks;"Loan Officer;application form completeness";Loan Officer Check application form completeness;;loan officer check application form completeness;
Loan Officer;Assess eligibility;assesses;"Loan Officer;eligibility";Loan Officer Assess eligibility;assesses;loan officer|eligibility;
Loan Officer;Reject application;rejects;"Loan Officer;application";Loan Officer Reject application;rejects;loan officer|application;
Loan Officer;Send acceptance pack;sends;"Loan Officer;acceptance pack";Loan Officer Send acceptance pack;sends;loan officer|acceptance pack;
Loan Officer;Verify repayment agreement;verifies;"Loan Officer;repayment agreement";Loan Officer Verify repayment agreement;verifies;loan officer|repayment agreement;
Loan Officer;Prepare acceptance pack;prepares;"Loan Officer;acceptance pack";Loan Officer Prepare acceptance pack;prepares;loan officer|acceptance pack;
Loan Officer;Check if home insurance quote is requested;checks;"Loan Officer;home insurance quote";Loan Officer Check if home insurance quote is requested;checks|requests;loan officer|home insurance quote;
Loan Officer;Cancel application;cancels;"Loan Officer;application";Loan Officer Cancel application;cancels;loan officer|application;
Loan Officer;Notify cancelation;notifies;"Loan Officer;cancelation";Loan Officer Notify cancelation;notifies;loan officer|cancelation;
Loan Officer;Approve application;approves;"Loan Officer;application";Loan Officer Approve application;approves;loan officer|application;
Loan Officer;Notify approval;notifies;"Loan Officer;approval";Loan Officer Notify approval;notifies;loan officer|approval;
Loan Officer;Receive updated application;receives;"Loan Officer;updated application";Loan Officer Receive updated application;receives updated;loan officer|application;
Financial Officer;Check credit history;checks;"Financial Officer;credit history";Financial Officer Check credit history;;financial officer check credit history;
Insurance Sales Rep.;Send home insurance quote;sends;"Insurance Sales Rep.;home insurance quote";Insurance Sales Rep. Send home insurance quote;sends;insurance sales rep|home insurance quote;
Listings;Change schedule;changes;"Listings;schedule";Listings Change schedule;changes;listings|schedule;
Judicary;Resolve judge availability;resolves;"Judicary;judge availability";Judicary Resolve judge availability;;judicary resolve judge availability;
Loan Provider;Return application back to applicant;returns;"Loan Provider;application|applicant";Loan Provider Return application back to applicant;;loan provider return application|applicant;
Loan Provider;Check application form completeness;checks;"Loan Provider;application form completeness";Loan Provider Check application form completeness;;loan provider check application form completeness;
Loan Provider;Receive updated application;receives;"Loan Provider;updated application";Loan Provider Receive updated application;receives updated;loan provider|application;
Sales;Receive Payment;receives;"Sales;Payment";Sales Receive Payment;receives;sales|payment;
Customer;Provide shipping address;receives;"Customer;shipping address";Customer Provide shipping address;provides;customer|shipping address;
Customer;Place purchase order;places;"Customer;purchase order";Customer Place purchase order;;customer place purchase order;
Customer;Make payment;makes;"Customer;payment";Customer Make payment;makes;customer|payment;
Seller;Confirm order;confirms;"Seller;order";Seller Confirm order;confirms;seller|order;
Seller;Manufacture product;manufactures;"Seller;product";Seller Manufacture product;manufactures;seller|product;
Seller;Check stock availability;checks;"Seller;stock availability";Seller Check stock availability;;seller check stock availability;
Seller;Retrieve product from warehouse;retrieves;"Seller;product from warehouse";Seller Retrieve product from warehouse;retrieves;seller|product from warehouse;
Seller;Archive order;archives;"Seller;order";Seller Archive order;;seller archive order;
Insurance client;Lodge insurance claim;lodges;"Insurance client;insurance claim";Insurance client Lodge insurance claim;;insurance client lodge insurance claim;
Insurance client;Check witnesses;checks;"Insurance client;witnesses";Insurance client Check witnesses;;insurance client check witnesses;
Client;Prepare loan application;prepares;"Client;loan application";Client Prepare loan application;prepares;client|loan application;
Client;Check approval letter;checks;"Client;approval letter";Client Check approval letter;;client check approval letter;
Client;Reject offer;rejects;"Client;offer";Client Reject offer;rejects;client|offer;
Client;Accept offer;accepts;"Client;offer";Client Accept offer;accepts;client|offer;
Mortgage department;Submit disbursement request;submits;"Mortgage department;disbursement request";Mortgage department Submit disbursement request;submits;mortgage department|disbursement request;
Mortgage department;Apply interest rate reduction;applies;"Mortgage department;interest rate reduction";Mortgage department Apply interest rate reduction;applies;mortgage department|interest rate reduction;
Mortgage department;Reject application;rejects;"Mortgage department;application";Mortgage department Reject application;rejects;mortgage department|application;
Mortgage department;Approve application;approves;"Mortgage department;application";Mortgage department Approve application;approves;mortgage department|application;
Mortgage department;Check loan amount;checks;"Mortgage department;loan amount";Mortgage department Check loan amount;;mortgage department check loan amount;
Mortgage department;Assess application;assesses;"Mortgage department;application";Mortgage department Assess application;assesses;mortgage department|application;
Insurance department;Prepare insurance offer;prepares;"Insurance department;insurance offer";Insurance department Prepare insurance offer;prepares;insurance department|insurance offer;
Insurance department;Draw insurance contract;draws;"Insurance department;insurance contract";Insurance department Draw insurance contract;;insurance department draw insurance contract;
Financial department;Handle disbursement request;handles;"Financial department;disbursement request";Financial department Handle disbursement request;handles;financial department|disbursement request;
Broker;Forward application to BestLoans;forwards;"Broker;application to BestLoans";Broker Forward application to BestLoans;brokers;forward application to bestloans;
Broker;Examine application;examines;"Broker;application";Broker Examine application;examines;broker|application;
Broker;Assess application;assesses;"Broker;application";Broker Assess application;assesses;broker|application;
Broker;Reject application;rejects;"Broker;application";Broker Reject application;rejects;broker|application;
Broker;Approve application;approves;"Broker;application";Broker Approve application;approves;broker|application;
Mortgage department;Register loan application;registers;"Mortgage department;loan application";Mortgage department Register loan application;;mortgage department register loan application;
Office;Notify employee;notifies;"Office;employee";Office Notify employee;notifies;office|employee;
Office;Check expense report;checks;"Office;expense report";Office Check expense report;;office check expense report;
Office;Create account;creates;"Office;account";Office Create account;creates;office|account;
Office;Register amount rectification;registers;"Office;amount rectification";Office Register amount rectification;;office register amount rectification;
Mortgage department;Annul deed;annuls;"Mortgage department;deed";Mortgage department Annul deed;annuls;mortgage department|deed;
Insurance department;Annul insurance contract;annuls;"Insurance department;insurance contract";Insurance department Annul insurance contract;annuls;insurance department|insurance contract;
Financial department;Recall loan;recalls;"Financial department;loan";Financial department Recall loan;;financial department recall loan;
Customer;Pay merchandise;pays;"Customer;merchandise";Customer Pay merchandise;pays;customer|merchandise;
Carrier;Notify delivery;notifies;"Carrier;delivery";Carrier Notify delivery;notifies;carrier|delivery;
Carrier;Transport freight;transports;"Carrier;freight";Carrier Transport freight;;carrier transport freight;
Customer;Receive product;receives;"Customer;product";Customer Receive product;receives;customer|product;
SSP (Mail Center);Contact client;contacts;"SSP (Mail Center);client";SSP (Mail Center) Contact client;;ssp|mail center|contact client;
SSP (Mail Center);Confirm payment of invoice;confirms;"SSP (Mail Center);payment of invoice";SSP (Mail Center) Confirm payment of invoice;confirms;ssp|mail center|payment of invoice;
SSP (Mail Center);Request relevant info;requests;"SSP (Mail Center);relevant info";SSP (Mail Center) Request relevant info;requests;ssp|mail center|relevant info;
SSP (Mail Center);Receive conformation;receives;"SSP (Mail Center);conformation";SSP (Mail Center) Receive conformation;receives;ssp|mail center|conformation;
Admin Office;Check completeness of invoices;checks;"Admin Office;completeness of invoices";Admin Office Check completeness of invoices;checks;admin office|completeness of invoices;
Admin Office;Tick the relevant box on the invoice entry form;ticks;"Admin Office;relevant box on the invoice entry form";Admin Office Tick the relevant box on the invoice entry form;ticks;admin office|relevant box on the invoice entry form;
Admin Office;Return to client via postal mail;returns to;"Admin Office;client via postal mail";Admin Office Return to client via postal mail;returns to;admin office|client via postal mail;
Admin Office;Receive completed invoices;receives;"Admin Office;completed invoices";Admin Office Receive completed invoices;receives completed;admin office|invoices;
Mail Center;Open envelopes;opens;"Mail Center;envelopes";Mail Center Open envelopes;;mail center open envelopes;
Mail Center;Categorise invoices;categorises;"Mail Center;invoices";Mail Center Categorise invoices;categorises;mail center|invoices;
Admin Office;Check compliance;checks;"Admin Office;compliance";Admin Office Check compliance;checks;admin office|compliance;
Admin Office;Attach invoice entry form to invoices;attaches;"Admin Office;invoice entry form to invoices";Admin Office Attach invoice entry form to invoices;attaches;admin office|invoice entry form to invoices;
Admin Office;Check priority;checks;"Admin Office;priority";Admin Office Check priority;checks;admin office|priority;
Admin Office;Apply red stamp on invoice entry form;applies;"Admin Office;red stamp on invoice entry form";Admin Office Apply red stamp on invoice entry form;applies;admin office|red stamp on invoice entry form;
Admin Office;Sort invoices per client;sorts;"Admin Office;invoices per client";Admin Office Sort invoices per client;sorts;admin office|invoices per client;
Admin Office;Sort invoices per vendor;sorts;"Admin Office;invoices per vendor";Admin Office Sort invoices per vendor;sorts;admin office|invoices per vendor;
Admin Office;Send invoice to experienced staff;sends;"Admin Office;invoice to|staff";Admin Office Send invoice to experienced staff;sends;admin office|invoice to experienced staff;
Admin Office;Call client for required information;calls;"Admin Office;client for|information";Admin Office Call client for required information;requires;admin office call client|information;
Admin Office;Enter client/vendor information on the invoice entry form;enters;"Admin Office;client|vendor information on the invoice entry form";Admin Office Enter client/vendor information on the invoice entry form;enters;admin office|client|vendor information on the invoice entry form;
Admin Office;Check service level agreements;checks;"Admin Office;service level agreements";Admin Office Check service level agreements;checks;admin office|service level agreements;
Data Entry Office;Check priority;checks;"Data Entry Office;priority";Data Entry Office Check priority;;data entry office check priority;
Data Entry Office;Look up vendor in SAP;looks up;"Data Entry Office;vendor in SAP";Data Entry Office Look up vendor in SAP;looks up;data entry office|vendor in sap;
Data Entry Office;Enter vendor number into invoice entry form;enters;"Data Entry Office;vendor number into invoice entry form";Data Entry Office Enter vendor number into invoice entry form;enters;data entry office|vendor number into invoice entry form;
Data Entry Office;Resort invoices per Vendor;resorts;"Data Entry Office;invoices per Vendor";Data Entry Office Resort invoices per Vendor;;data entry office resort invoices per vendor;
Data Entry Office;Sort invoices based on invoice amount;bases on;"Data Entry Office;Sort invoices|invoice amount";Data Entry Office Sort invoices based on invoice amount;sorts|bases on;data entry office|invoices|invoice amount;
Data Entry Office;Enter invoice data;enters;"Data Entry Office;invoice data";Data Entry Office Enter invoice data;enters;data entry office|invoice data;
Data Entry Office;Tick invoice entered box on the invoice entry form;ticks;"Data Entry Office;invoice entered box on the invoice entry form";Data Entry Office Tick invoice entered box on the invoice entry form;enters;data entry office tick invoice|box on the invoice entry form;
Master Data Enter Department;Check priority;checks;"Master Data Enter Department;priority";Master Data Enter Department Check priority;enters;master data|department check priority;
Master Data Enter Department;Enter new vendor master record into SAP within 5days;enters;"Master Data Enter Department;new vendor master record into SAP|days";Master Data Enter Department Enter new vendor master record into SAP within 5days;enters;master data enter department|new vendor master record into sap|##days;
Master Data Enter Department;Enter new vendor master record into SAP within 24 hours;enters;"Master Data Enter Department;new vendor master record into SAP|hours";Master Data Enter Department Enter new vendor master record into SAP within 24 hours;enters;master data enter department|new vendor master record into sap|hours;
