Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
examiner;first evaluation;;examiner first evaluation;examiner first evaluation;;examiner first evaluation;
examiner;contact insurer and consult the case;"contacts;consults";"examiner;Insurer;case";examiner contact insurer and consult the case;consults;examiner contact insurer|case;
examiner;final evaluation;;examiner final evaluation;examiner final evaluation;;examiner final evaluation;
Insurance company;a shady incident;;Insurance company shady incident;Insurance company a shady incident;;Insurance company a shady incident;
Insurance company;analyse details of the case;analyses;"Insurance company;details of the case";Insurance company analyse details of the case;;Insurance company|details of the case;
Insurance company;report for insurer;;Insurance company report for insurer;Insurance company report for insurer;;Insurance company report for insurer;
insurer;hand in details of an accident;;insurer hand in details of an accident;insurer hand in details of an accident;;insurer hand in details of an accident;
insurer;enter a protest;enters;"insurer;protest";insurer enter a protest;;insurer|protest;
Customer;Review the Venders;reviews;"Customer;Venders";Customer Review the Venders;;Customer Review;Venders
Customer;Send the RFQ;sends;"Customer;RFQ";Customer Send the RFQ;Sends;Customer|RFQ;
Customer;Review The Sales Quote;reviews;"Customer;Sales Quote";Customer Review The Sales Quote;;Customer Review The Sales Quote;
Sales;Communicate with the Customer;communicates with;"Sales;Customer";Sales Communicate with the Customer;;Sales|Customer;
Sales;Review Pricing Options and Generate Sales Quote;"reviews;generates";"Sales;Pricing Options;Sales Quote";Sales Review Pricing Options and Generate Sales Quote;Generates|Quotes;Sales|Pricing Options|Sales;Review
Emgineering;Produce L&M Cost Estimates Laser tested;produces;"Emgineering;L&M Cost Estimates Laser";Emgineering Produce L&M Cost Estimates Laser tested;Produces;Emgineering|Cost Estimates;L&M|Laser
Finance;Adding The Overhead Cost;adds;"Finance;Overhead Cost";Finance Adding The Overhead Cost;;Adding The Overhead Cost;Finance
Finance;Generate Pricing Options;generates;"Finance;Pricing Options";Finance Generate Pricing Options;;Pricing Options;Finance Generate
Customer;Create RFQ;creates;"Customer;RFQ";Customer Create RFQ;Creates;Customer|RFQ;
Customer;Review Sales Quote;reviews;"Customer;Sales Quote";Customer Review Sales Quote;;Customer Review Sales;
Customer;Review the Vendors;reviews;"Customer;Vendors";Customer Review the Vendors;;Customer Review;Vendors
Customer;Review the Sales Quote;reviews;"Customer;Sales Quote";Customer Review the Sales Quote;;Customer Review the Sales Quote;
Sales;Verify the RFQ;verifies;"Sales;RFQ";Sales Verify the RFQ;;Sales|RFQ;
Engineering;Produce L&M Cost;produces;"Engineering;M Cost";Engineering Produce L&M Cost;Produces;Cost;Engineering|L&M
Finance;Adding the Overhead Cost;adds;"Finance;Overhead Cost";Finance Adding the Overhead Cost;;Adding the Overhead Cost;Finance
Reporter;Write Incident Report;writes;"Reporter;Incident Report";Reporter Write Incident Report;Writes;Reporter;Incident Report
Analyst;Comment arrangements;comments;"Analyst;arrangements";Analyst Comment arrangements;;Analyst Comment arrangements;
reporter;report incident;reports;"reporter;incident";reporter report incident;;reporter report incident;
reporter;note incident number and -code;notes;"reporter;Incident number|code";reporter note incident number and -code;;reporter note incident number|code;
reporter;answer request;answers;"reporter;request";reporter answer request;;reporter answer request;
agent;answer request provision;answers;"agent;request provision";agent answer request provision;;agent answer request provision;
activiti process engine;report incident;reports;"activiti process engine;incident";activiti process engine report incident;;activiti process engine report incident;
activiti process engine;deidentify incident step 1;deidentifies;"activiti process engine;deidentify incident step 1";activiti process engine deidentify incident step 1;;activiti process engine deidentify incident step 1;
activiti process engine;deidentifiy incident step 2;deidentifies;"activiti process engine;deidentifiy incident step 2";activiti process engine deidentifiy incident step 2;;activiti process engine deidentifiy incident step 2;
activiti process engine;analyze incident;analyzes;"activiti process engine;incident";activiti process engine analyze incident;;activiti process engine|incident;
activiti process engine;answer request by reporter;answers;"activiti process engine;request by reporter";activiti process engine answer request by reporter;;activiti process engine answer request by reporter;
activiti process engine;answered request by reporter (list);answers;"activiti process engine;request by reporter|list";activiti process engine answered request by reporter (list);;activiti process engine|request by reporter|list;
activiti process engine;answer request by agent;answers;"activiti process engine;request by agent";activiti process engine answer request by agent;;activiti process engine answer request by agent;
activiti process engine;answered request by agent (list);answers;"activiti process engine;request by agent|list";activiti process engine answered request by agent (list);;activiti process engine|request by agent|list;
analyst;analyze incident;analyzes;"analyst;incident";analyst analyze incident;;analyst|incident;
Customer;Review the sales quote;reviews;"Customer;sales quote";Customer Review the sales quote;;Customer Review the sales quote;
Sales;Review pricing options and generate sales quote;generates;"Sales;Review pricing options|sales quote";Sales Review pricing options and generate sales quote;generates;Sales Review pricing options|sales quote;
Engineering;Produce L&M Cost Estimates;produces;"Engineering;L|M Cost Estimates";Engineering Produce L&M Cost Estimates;Produces;Cost Estimates;Engineering|L&M
Finance;Adding the Overhead cost;adds;"Finance;Overhead cost";Finance Adding the Overhead cost;;Adding the Overhead cost;Finance
Finance;Generate pricing options;generates;"Finance;pricing options";Finance Generate pricing options;;pricing options;Finance Generate
Customer;Submit the Insurance Claim;submits;"Customer;Insurance Claim";Customer Submit the Insurance Claim;Submits;Customer|Insurance Claim;
CSR;Review the claim;reviews;"CSR;claim";CSR Review the claim;;claim;CSR Review
CSR;communicate with the customer;communicates with;"CSR;customer";CSR communicate with the customer;;customer;CSR
Claim Adjuster;Evaluate the claim;evaluates;"Claim Adjuster;claim";Claim Adjuster Evaluate the claim;Evaluates;claim;Claim Adjuster
Claim Adjuster;send payment;sends;"Claim Adjuster;payment";Claim Adjuster send payment;;Claim Adjuster|payment;
Claim Adjuster;send rejection letter with explanation;sends;"Claim Adjuster;rejection letter with explanation";Claim Adjuster send rejection letter with explanation;sends;rejection letter with explanation;Claim Adjuster
Supervisor;evaluate the claim;evaluates;"Supervisor;claim";Supervisor evaluate the claim;evaluates;Supervisor|claim;
PURCHASING AGENT;Create Purchase order  2x;creates;"PURCHASING AGENT;Purchase order 2 x";PURCHASING AGENT Create Purchase order  2x;Creates;PURCHASING|Purchase order 2x;AGENT
FINANCE DEPARTMENT;Create Billing Document;creates;"FINANCE DEPARTMENT;Billing Document";FINANCE DEPARTMENT Create Billing Document;Creates;FINANCE|Billing;DEPARTMENT|Document
FINANCE DEPARTMENT;Post Incoming Payment;posts;"FINANCE DEPARTMENT;Incoming Payment";FINANCE DEPARTMENT Post Incoming Payment;;FINANCE|Incoming Payment;DEPARTMENT Post
WAREHOUSE TEAM;Display stock/ Requirements list;displays;"WAREHOUSE TEAM;stock|Requirements list";WAREHOUSE TEAM Display stock/ Requirements list;Displays;stock|Requirements list;WAREHOUSE TEAM
WAREHOUSE TEAM;Create Transfer order for Delivery note;creates;"WAREHOUSE TEAM;Transfer order for Delivery note";WAREHOUSE TEAM Create Transfer order for Delivery note;Creates;Transfer order for Delivery note;WAREHOUSE TEAM
WAREHOUSE TEAM;Create Purchase requisition;creates;"WAREHOUSE TEAM;Purchase requisition";WAREHOUSE TEAM Create Purchase requisition;Creates;Purchase requisition;WAREHOUSE TEAM
WAREHOUSE TEAM;Goods Receipt for Purchase order;;WAREHOUSE TEAM Goods Receipt for Purchase order;WAREHOUSE TEAM Goods Receipt for Purchase order;;order;WAREHOUSE TEAM Goods Receipt|Purchase
PRODUCTION PLANNER;MRP Run;;PRODUCTION PLANNER MRP Run;PRODUCTION PLANNER MRP Run;;PRODUCTION PLANNER MRP;Run
PRODUCTION PLANNER;Create Production order 2x;creates;"PRODUCTION PLANNER;Production order 2 x";PRODUCTION PLANNER Create Production order 2x;Creates;PRODUCTION PLANNER|Production order 2x;
PRODUCTION PLANNER;Production Order confirmation & Production of motorcycle 2x;;PRODUCTION PLANNER Production Order confirmation|Production of motorcycle 2|x;PRODUCTION PLANNER Production Order confirmation & Production of motorcycle 2x;;PRODUCTION PLANNER Production Order confirmation|Production of motorcycle 2x;
SALES & DISTRIBUTION DEPARTMENT;Create sales order;creates;"SALES & DISTRIBUTION DEPARTMENT;sales order";SALES & DISTRIBUTION DEPARTMENT Create sales order;Creates;sales order;SALES|DISTRIBUTION DEPARTMENT
SALES & DISTRIBUTION DEPARTMENT;Outbound Delivery with order reference;;SALES & DISTRIBUTION DEPARTMENT Outbound Delivery with order reference;SALES & DISTRIBUTION DEPARTMENT Outbound Delivery with order reference;;Delivery with order reference;SALES|DISTRIBUTION DEPARTMENT Outbound
SALES & DISTRIBUTION DEPARTMENT;Check inventory for finished goods;checks;"SALES & DISTRIBUTION DEPARTMENT;inventory for|goods";SALES & DISTRIBUTION DEPARTMENT Check inventory for finished goods;Checks;inventory|goods;SALES|DISTRIBUTION DEPARTMENT
sales;verify RFQ;verifies;"sales;RFQ";sales verify RFQ;;sales|RFQ;
sales;Send to Customer;sends to;"sales;Customer";sales Send to Customer;;sales|Customer;
sales;Generate sales Quotes;generates;"sales;sales Quotes";sales Generate sales Quotes;Generates;sales|sales;
Finance;Produced labor and materal costs;produces;"Finance;labor|materal costs";Finance Produced labor and materal costs;;labor|materal costs;Finance Produced
Engineering;Add overhead cost;adds;"Engineering;overhead cost";Engineering Add overhead cost;Adds;overhead cost;Engineering
Customer;Generate RFQ;generates;"Customer;RFQ";Customer Generate RFQ;Generates;Customer|RFQ;
Customer;Analyze Sales Quote;analyzes;"Customer;Sales Quote";Customer Analyze Sales Quote;Analyzes|Quotes;Customer|Sales;
Volley Club;emptying the mailbox;empties;"Volley Club;mailbox";Volley Club emptying the mailbox;;emptying the mailbox;Volley Club
Volley Club;Phonecall to complete data;;Volley Club Phonecall to complete data;Volley Club Phonecall to complete data;completes;data;Volley Club Phonecall
Volley Club;Recording an archieving;records;"Volley Club;archieving";Volley Club Recording an archieving;;archieving;Volley Club Recording
Volley Club;add to the register;adds to;"Volley Club;register";Volley Club add to the register;adds to;register;Volley Club
Volley Club;write down member fee into register;writes down;"Volley Club;member fee into register";Volley Club write down member fee into register;writes down;member fee into register;Volley Club
Volley Club;letter with explanation of rejecting;;Volley Club letter with explanation of rejecting;Volley Club letter with explanation of rejecting;;letter with explanation of rejecting;Volley Club
Volley Club;print membership cards;prints;"Volley Club;membership cards";Volley Club print membership cards;;print membership cards;Volley Club
Volley Club;send membership cards;sends;"Volley Club;membership cards";Volley Club send membership cards;sends;membership cards;Volley Club
Miranda;new member for the club?;;Miranda new member for the club;Miranda new member for the club?;;new member for the club;Miranda
Miranda;stamp the letter;stamps;"Miranda;letter";Miranda stamp the letter;stamps;letter;Miranda
Miranda;calculkate member fee;;Miranda calculkate member fee;Miranda calculkate member fee;;calculkate member fee;Miranda
candidate;sending letter;sends;"candidate;letter";candidate sending letter;;candidate sending letter;
candidate;Phonecall with Charles;;candidate Phonecall with Charles;candidate Phonecall with Charles;;candidate Phonecall;Charles
candidate;get rejected;gets rejected;"candidate;nan";candidate get rejected;gets;candidate;
candidate;is a new member of the club;is;"candidate;new member of the club";candidate is a new member of the club;;candidate|new member of the club;
candidate;has to pay membership;has to pay;"candidate;membership";candidate has to pay membership;pays;candidate|membership;
candidate;pays the fee;pays;"candidate;fee";candidate pays the fee;;candidate|fee;
candidate;does not pay the fee;pays;"candidate;fee";candidate does not pay the fee;pays;candidate|fee;
Web Designer;First informational meeting;;Web Designer First informational meeting;Web Designer First informational meeting;;Web Designer First informational meeting;
Web Designer;Design site;designs;"Web Designer;site";Web Designer Design site;;Web Designer Design site;
Web Designer;Develop site;develops;"Web Designer;site";Web Designer Develop site;Develops;Web Designer|site;
Web Designer;Prepare content;prepares;"Web Designer;content";Web Designer Prepare content;Prepares;Web Designer|content;
Web Designer;Marketing review;;Web Designer Marketing review;Web Designer Marketing review;;Web Designer|review;Marketing
Web Designer;Final version of content;;Web Designer Final version of content;Web Designer Final version of content;;Web Designer Final version of content;
Web Designer;Building the site;builds;"Web Designer;site";Web Designer Building the site;;Web Designer Building the site;
Web Designer;Review activity;reviews;"Web Designer;activity";Web Designer Review activity;;Web Designer Review activity;
Web Designer;Approval of the site;;Web Designer Approval of the site;Web Designer Approval of the site;;Web Designer Approval of the site;
Web Designer;Storyboard;;Web Designer Storyboard;Web Designer Storyboard;;Web Designer Storyboard;
Miranda;emptying the letterbook;empties;"Miranda;letterbook";Miranda emptying the letterbook;;emptying the letterbook;Miranda
Miranda;rejecting the candidate;rejects;"Miranda;candidate";Miranda rejecting the candidate;;rejecting the candidate;Miranda
Miranda;accepting the candidate and sending the letter to Charles;"accepts;sends";"Miranda;candidate;letter to Charles";Miranda accepting the candidate and sending the letter to Charles;;accepting the candidate|sending the letter;Miranda|Charles
Miranda;calculating the member fee for every person;calculates;"Miranda;member fee for every person";Miranda calculating the member fee for every person;;calculating the member fee for every person;Miranda
Miranda;giving the fee data to Charles;gives;"Miranda;fee data to Charles";Miranda giving the fee data to Charles;;giving the fee data;Miranda|Charles
Charles;Empties Mailbox and check for missing information;"empties;checks";"Charles;mailbox;missing information";Charles Empties Mailbox and check for missing information;checks for;missing information;Charles Empties Mailbox
Charles;Phonecall to complete data;;Charles Phonecall to complete data;Charles Phonecall to complete data;completes;data;Charles Phonecall
Charles;recording and archiving;;Charles recording|archiving;Charles recording and archiving;;recording|archiving;Charles
Charles;sending of rejection letter;sends of;"Charles;rejection letter";Charles sending of rejection letter;;sending of rejection letter;Charles
Charles;add member to register;adds;"Charles;member to register";Charles add member to register;adds|registers;member;Charles
Charles;sending the data to Miranda;sends;"Charles;data to Miranda";Charles sending the data to Miranda;;sending the data;Charles|Miranda
Charles;writing the fees into the register;writes;"Charles;fees into the register";Charles writing the fees into the register;;writing the fees into the register;Charles
Charles;preparing invoice for new candidates;prepares;"Charles;invoice for new candidates";Charles preparing invoice for new candidates;;preparing invoice for new candidates;Charles
Charles;waiting for payment of the fees;waits for;"Charles;payment of the fees";Charles waiting for payment of the fees;;waiting for payment of the fees;Charles
Charles;prints the membership card;prints;"Charles;membership card";Charles prints the membership card;;membership card;Charles
Charles;send the membership cards to the new members;sends;"Charles;membership cards to the new members";Charles send the membership cards to the new members;sends;membership cards to the new members;Charles
Backup;Backup of Database;;Backup Backup of Database;Backup Backup of Database;;Backup Backup of Database;
Backup;Check the CRM for new registers;checks;"Backup;CRM for new registers";Backup Check the CRM for new registers;Checks;Backup;CRM
Backup;write the registers into the existing table;writes;"Backup;registers into the|table";Backup write the registers into the existing table;writes;Backup|existing table;
Backup;alert the supervisor;alerts;"Backup;supervisor";Backup alert the supervisor;;Backup|supervisor;
Backup;Produce a new table;produces;"Backup;new table";Backup Produce a new table;Produces;Backup|new table;
Backup;send it to the account manager;sends;"Backup;account manager";Backup send it to the account manager;sends;Backup|it to the account manager;
Backup;check CRM whether new returns are filled;checks;"Backup;CRM whether new returns are filled";Backup check CRM whether new returns are filled;;Backup check|new returns;CRM
Backup;reconcile with the existing;reconciles with;"Backup;existing";Backup reconcile with the existing;reconciles with;Backup|existing;
Backup;message to the supervisor;messages to;"Backup;supervisor";Backup message to the supervisor;;Backup message to the supervisor;
Backup;register;registers;"Backup;nan";Backup register;;Backup register;
Customer Service Representative;update case details;updates;"Customer Service Representative;case details";Customer Service Representative update case details;;Customer|case details;Service Representative
Customer Service Representative;archive;;Customer Service Representative archive;Customer Service Representative archive;;Customer|archive;Service Representative
Customer Service Representative;cancellation;;Customer Service Representative cancellation;Customer Service Representative cancellation;;Customer|cancellation;Service Representative
Customer Service Representative;moved to administration for completion;moves to;"Customer Service Representative;administration for completion";Customer Service Representative moved to administration for completion;;Customer|administration for completion;Service Representative
Customer Service Representative;generate message for outstanding documents;generates;"Customer Service Representative;message for outstanding documents";Customer Service Representative generate message for outstanding documents;generates;Customer|message for outstanding documents;Service Representative
commitee members;check diaries and for conflicts;checks;"commitee members;diaries|conflicts";commitee members check diaries and for conflicts;;commitee members|diaries|conflicts;
support officer;check dates and suggest modifications;"checks;suggests";"support officer;dates;modifications";support officer check dates and suggest modifications;;support officer check dates|modifications;
support officer;update group calendar;updates;"support officer;group calendar";support officer update group calendar;;support officer|group calendar;
support officer;create meeting folders;creates;"support officer;meeting folders";support officer create meeting folders;;support officer|meeting folders;
support officer;ensure that all documents are uploaded;ensures;"support officer;documents";support officer ensure that all documents are uploaded;ensures that;support officer|documents;
coordination unit;schedule meetings;schedules;"coordination unit;meetings";coordination unit schedule meetings;;coordination unit schedule meetings;
coordination unit;add draft dates;adds;"coordination unit;draft dates";coordination unit add draft dates;;coordination unit|draft dates;
coordination unit;recheck all dates - potential conflicts?;rechecks;"coordination unit;dates|potential conflicts";coordination unit recheck all dates - potential conflicts?;rechecks;coordination unit|dates|potential conflicts;
coordination unit;create final schedule;creates;"coordination unit;final schedule";coordination unit create final schedule;creates;coordination unit|final schedule;
coordination unit;finalize schedule;finalizes;"coordination unit;schedule";coordination unit finalize schedule;;coordination unit|schedule;
Sales and Marketing;Check customer;checks;"Sales and Marketing;customer";Sales and Marketing Check customer;Checks;Sales|customer;Marketing
Sales and Marketing;Place order in ERP system;places;"Sales and Marketing;order in ERP system";Sales and Marketing Place order in ERP system;;Sales|order in ERP system;Marketing Place
Sales and Marketing;Check product availability;checks;"Sales and Marketing;product availability";Sales and Marketing Check product availability;Checks;Sales|product availability;Marketing
Sales and Marketing;Reject the order;rejects;"Sales and Marketing;order";Sales and Marketing Reject the order;Rejects;Sales|order;Marketing
Sales and Marketing;Invoice the customer;invoices;"Sales and Marketing;customer";Sales and Marketing Invoice the customer;;Sales|customer;Marketing Invoice
Sales and Marketing;Send Christmas card every year;sends;"Sales and Marketing;Christmas card every year";Sales and Marketing Send Christmas card every year;Sends;Sales|card every year;Marketing|Christmas
Production;Start production;starts;"Production;production";Production Start production;;Production|production;Start
Logistics and Distribution;Take product from the warehouse;takes;"Logistics and Distribution;product from the warehouse";Logistics and Distribution Take product from the warehouse;Takes;Distribution|product from the warehouse;Logistics
Logistics and Distribution;Prepare product for shipment;prepares;"Logistics and Distribution;product for shipment";Logistics and Distribution Prepare product for shipment;Prepares;Distribution|product for shipment;Logistics
Logistics and Distribution;Deliver the product;delivers;"Logistics and Distribution;product";Logistics and Distribution Deliver the product;Delivers;Distribution|product;Logistics
Accounting;Check reminder >3;checks;"Accounting;reminder";Accounting Check reminder >3;Checks;reminder;Accounting
Accounting;Check bank account;checks;"Accounting;bank account";Accounting Check bank account;Checks;bank account;Accounting
Accounting;Send reminder;sends;"Accounting;reminder";Accounting Send reminder;Sends;reminder;Accounting
Legal department;Take legal actions;takes;"Legal department;legal actions";Legal department Take legal actions;Takes;Legal department|legal actions;
Validation Department;Forward Validated Invoices to the Registry;forwards;"Validation Department;Validated Invoices to the Registry";Validation Department Forward Validated Invoices to the Registry;;Invoices to the Registry;Validation Department
Validation Department;Update Status to Validated;updates;"Validation Department;Status to Validated";Validation Department Update Status to Validated;;;Validation Department Update Status|Validated
The Registry;Receiving Validated Invoices;receives;"The Registry;Validated Invoices";The Registry Receiving Validated Invoices;;Receiving|Invoices;Registry|Validated
The Registry;Sorting by vendors;sorts by;"The Registry;vendors";The Registry Sorting by vendors;;Sorting by vendors;Registry
The Registry;Sorting by Payment Date;sorts by;"The Registry;Payment Date";The Registry Sorting by Payment Date;;Sorting by Payment Date;Registry
The Registry;Archiving Invoices;archives;"The Registry;Invoices";The Registry Archiving Invoices;;;Registry Archiving Invoices
The Registry;Relocating an Archived Invoice;relocates;"The Registry;Invoice";The Registry Relocating an Archived Invoice;;Relocating;Registry|Archived Invoice
Payment Department;Process Weekly Payment;processes;"Payment Department;Weekly Payment";Payment Department Process Weekly Payment;Processes;Payment|Payment;Department|Weekly
Payment Department;Generate Payment Report;generates;"Payment Department;Payment Report";Payment Department Generate Payment Report;;Payment|Payment;Department Generate|Report
Payment Department;Send report to Client;sends;"Payment Department;report to Client";Payment Department Send report to Client;Sends;Payment|report;Department|Client
Payment Department;Send Report to the Registry;sends;"Payment Department;Report to the Registry";Payment Department Send Report to the Registry;Sends;Payment|Registry;Department|Report
Payment Department;Send Report to Accounts Receivable Department;sends;"Payment Department;Report to Accounts Receivable Department";Payment Department Send Report to Accounts Receivable Department;Sends;Payment;Department|Report|Accounts Receivable Department
Account Receivable Department;Generate Monthly Invoices;generates;"Account Receivable Department;Monthly Invoices";Account Receivable Department Generate Monthly Invoices;;Monthly Invoices;Account Receivable Department Generate
Account Receivable Department;Send Invoice to Client;sends;"Account Receivable Department;Invoice to Client";Account Receivable Department Send Invoice to Client;Sends;;Account Receivable Department|Invoice|Client
Account Receivable Department;Receive Payment from Client;receives;"Account Receivable Department;Payment from Client";Account Receivable Department Receive Payment from Client;;Payment;Account Receivable Department Receive|Client
SSP Clients;Client sends invoice to SSP;sends;"SSP Clients;Client|invoice to SSP";SSP Clients Client sends invoice to SSP;;Clients|invoice to SSP;SSP|Client
Admin Department;Sort invoice by client;sorts;"Admin Department;invoice by client";Admin Department Sort invoice by client;;invoice by client;Admin Department Sort
Admin Department;Sub-Sort invoices by vendor;sub-sorts;"Admin Department;invoices by vendor";Admin Department Sub-Sort invoices by vendor;;invoices by vendor;Admin Department Sub-Sort
Admin Department;Attach Invoice Entry Form;attaches;"Admin Department;Invoice Entry Form";Admin Department Attach Invoice Entry Form;Attaches;Form;Admin Department|Invoice Entry
Admin Department;Fill out Invoice Entry Form;fills out;"Admin Department;Invoice Entry Form";Admin Department Fill out Invoice Entry Form;Fills out;Form;Admin Department|Invoice Entry
Admin Department;Check invoice for completeness;checks;"Admin Department;invoice for completeness";Admin Department Check invoice for completeness;Checks;invoice for completeness;Admin Department
Admin Department;Allocate to Data Entry personel;allocates to;"Admin Department;Data Entry personel";Admin Department Allocate to Data Entry personel;Allocates to;Data Entry personel;Admin Department
Mail Centre;Categorise Mail;categorises;"Mail Centre;Mail";Mail Centre Categorise Mail;;;Mail Centre Categorise Mail
Mail Centre;Return invoice to client to complete;returns;"Mail Centre;invoice to client";Mail Centre Return invoice to client to complete;completes;Return invoice to client;Mail Centre
Mail Centre;Return non-complaint invoice to client;returns;"Mail Centre;non-complaint invoice to client";Mail Centre Return non-complaint invoice to client;;Return non-complaint invoice to client;Mail Centre
Validation Department;Sort invoices by client;sorts;"Validation Department;invoices by client";Validation Department Sort invoices by client;;invoices by client;Validation Department Sort
Validation Department;Print invoice validation report sorted by client;prints;"Validation Department;invoice validation report|client";Validation Department Print invoice validation report sorted by client;Prints;invoice validation report|client;Validation Department
Validation Department;Validate data entry for invoice;validates;"Validation Department;data entry for invoice";Validation Department Validate data entry for invoice;;data entry for invoice;Validation Department Validate
Validation Department;Update invoice batch to validated;validates;"Validation Department;Update invoice batch to";Validation Department Update invoice batch to validated;;invoice batch;Validation Department Update
The Registry;Pay Invoice;pays;"The Registry;Invoice";The Registry Pay Invoice;Pays;;Registry|Invoice
The Registry;Leave Invoice unpaid until next pay run;leaves;"The Registry;Invoice unpaid until next pay run";The Registry Leave Invoice unpaid until next pay run;Leaves;next pay run;Registry|Invoice
Payment Department;Generate monthly invoice report for Client;generates;"Payment Department;monthly invoice report for Client";Payment Department Generate monthly invoice report for Client;;Payment|monthly invoice report;Department Generate|Client
Account Receivable Department;Sort by Vendor;sorts by;"Account Receivable Department;Vendor";Account Receivable Department Sort by Vendor;;Sort;Account Receivable Department|Vendor
Account Receivable Department;Archive Invoice;archives;"Account Receivable Department;Invoice";Account Receivable Department Archive Invoice;;;Account Receivable Department Archive Invoice
Vendor Master Record Data Entry Department;Create Vendor Master Record;creates;"Vendor Master Record Data Entry Department;Vendor Master Record";Vendor Master Record Data Entry Department Create Vendor Master Record;Creates;;Vendor Master Record Data Entry Department|Vendor Master Record
Admin Department;Recall Client's SLA;recalls;"Admin Department;Client|SLA";Admin Department Recall Client's SLA;Recalls;;Admin Department|Client|SLA
Admin Department;Search Excel spreadsheet for SLA;searches;"Admin Department;Excel spreadsheet for SLA";Admin Department Search Excel spreadsheet for SLA;Searches;spreadsheet;Admin Department|Excel|SLA
Admin Department;Write SLA on Invoice Entry form;writes;"Admin Department;SLA on Invoice Entry form";Admin Department Write SLA on Invoice Entry form;Writes;SLA|form;Admin Department|Invoice Entry
SSP Clients;Forward Invoice;forwards;"SSP Clients;Invoice";SSP Clients Forward Invoice;;Clients;SSP|Invoice
SSP Clients;Complete Invoice;completes;"SSP Clients;Invoice";SSP Clients Complete Invoice;;Clients;SSP|Invoice
SSP Clients;Determine correct compliance information;determines;"SSP Clients;correct compliance information";SSP Clients Determine correct compliance information;;Clients|correct compliance information;SSP
SSP Clients;Notify Vendor of Invoice Payment;notifies;"SSP Clients;Vendor of Invoice Payment";SSP Clients Notify Vendor of Invoice Payment;Notifies;Clients|Vendor|Payment;SSP|Invoice
SSP Clients;Pay Monthly Invoice;pays;"SSP Clients;Monthly Invoice";SSP Clients Pay Monthly Invoice;Pays;Clients|Monthly Invoice;SSP
SSP Clients;Modify information for compliance;modifies;"SSP Clients;information for compliance";SSP Clients Modify information for compliance;;Clients|information for compliance;SSP
Admin Department;Check if invoice is compliant with the SLA;checks;"Admin Department;invoice|SLA";Admin Department Check if invoice is compliant with the SLA;Checks if;invoice;Admin Department|SLA
Admin Department;Return Invoice to Client;returns;"Admin Department;Invoice to Client";Admin Department Return Invoice to Client;;Return;Admin Department|Invoice|Client
Admin Department;Send Reminder Letter;sends;"Admin Department;Reminder Letter";Admin Department Send Reminder Letter;Sends;;Admin Department|Reminder Letter
Admin Department;Phone client to request required information;"phones;requests";"Admin Department;client;required information";Admin Department Phone client to request required information;;Phone client to request|information;Admin Department
Admin Department;Complete invoice entry form with compliance information;completes;"Admin Department;invoice entry form with compliance information";Admin Department Complete invoice entry form with compliance information;;Complete invoice entry form with compliance information;Admin Department
Data Entry Department;Enter Master Record Request Form;enters;"Data Entry Department;Master Record Request Form";Data Entry Department Enter Master Record Request Form;Enters;Data|Master|Form;Entry Department|Record Request
Data Entry Department;Enter Vendor code on Invoice Entry form;enters;"Data Entry Department;Vendor code on Invoice Entry form";Data Entry Department Enter Vendor code on Invoice Entry form;Enters;Data|code|form;Entry Department|Vendor|Invoice Entry
Data Entry Department;Sort Invoices by Vendor;sorts;"Data Entry Department;Invoices by Vendor";Data Entry Department Sort Invoices by Vendor;;Data;Entry Department Sort Invoices|Vendor
Data Entry Department;Take Invoice batch to Outbox;takes;"Data Entry Department;Invoice batch to Outbox";Data Entry Department Take Invoice batch to Outbox;Takes;Data|batch;Entry Department|Invoice|Outbox
Data Entry Department;Look up Vendor in SAP system;looks up;"Data Entry Department;Vendor in SAP system";Data Entry Department Look up Vendor in SAP system;Looks up;Data|SAP system;Entry Department|Vendor
Data Entry Department;Sort Invoices by Amount;sorts;"Data Entry Department;Invoices by Amount";Data Entry Department Sort Invoices by Amount;;Data;Entry Department Sort Invoices|Amount
Validation Department;Send Validated Invoices to the Registry;sends;"Validation Department;Validated Invoices to the Registry";Validation Department Send Validated Invoices to the Registry;Sends;Registry;Validation Department|Validated Invoices
The Registry;Sort by Vendor;sorts by;"The Registry;Vendor";The Registry Sort by Vendor;;;Registry Sort|Vendor
The Registry;Sort by Payment Date;sorts by;"The Registry;Payment Date";The Registry Sort by Payment Date;;Payment Date;Registry Sort
The Registry;Archive Invoices;archives;"The Registry;Invoices";The Registry Archive Invoices;;;Registry Archive Invoices
The Registry;File invoice payment report;files;"The Registry;invoice payment report";The Registry File invoice payment report;;invoice payment report;Registry File
Payment Department;Pay Vendor;pays;"Payment Department;Vendor";Payment Department Pay Vendor;Pays;Payment;Department|Vendor
Payment Department;Leave Invoice unpaid until next pay run;leaves;"Payment Department;Invoice unpaid until next pay run";Payment Department Leave Invoice unpaid until next pay run;Leaves;Payment|next pay run;Department|Invoice
Payment Department;Generate invoice payment report per client;generates;"Payment Department;invoice payment report per client";Payment Department Generate invoice payment report per client;;Payment|invoice payment report per client;Department Generate
Payment Department;Send invoice report to client;sends;"Payment Department;invoice report to client";Payment Department Send invoice report to client;Sends;Payment|invoice report to client;Department
