Subject;Activity;Verb phrases;Noun phrases;Activity Combined;VerbPhrases;NounPhrases;ProperNouns
Admin Office;Call client for required information;calls;"Admin Office;client for|information";Admin Office Call client for required information;;Call client|information;Admin Office
Admin Office;Enter client/vendor information on the invoice entry form;enters;"Admin Office;client|vendor information on the invoice entry form";Admin Office Enter client/vendor information on the invoice entry form;Enters;Office|client|vendor information on the invoice entry form;Admin
Admin Office;Check service level agreements;checks;"Admin Office;service level agreements";Admin Office Check service level agreements;Checks;service level agreements;Admin Office
Data Entry Office;Check priority;checks;"Data Entry Office;priority";Data Entry Office Check priority;Checks;priority;Data Entry Office
Data Entry Office;Look up vendor in SAP;looks up;"Data Entry Office;vendor in SAP";Data Entry Office Look up vendor in SAP;Looks up;Data Entry Office|vendor;SAP
Data Entry Office;Enter vendor number into invoice entry form;enters;"Data Entry Office;vendor number into invoice entry form";Data Entry Office Enter vendor number into invoice entry form;Enters;Data Entry Office|vendor number into invoice entry form;
Data Entry Office;Resort invoices per Vendor;resorts;"Data Entry Office;invoices per Vendor";Data Entry Office Resort invoices per Vendor;;Data Entry Office Resort invoices per Vendor;
Data Entry Office;Sort invoices based on invoice amount;bases on;"Data Entry Office;Sort invoices|invoice amount";Data Entry Office Sort invoices based on invoice amount;;Data Entry Office Sort invoices|invoice amount;
Data Entry Office;Enter invoice data;enters;"Data Entry Office;invoice data";Data Entry Office Enter invoice data;Enters invoice;Data Entry Office|data;
Data Entry Office;Tick invoice entered box on the invoice entry form;ticks;"Data Entry Office;invoice entered box on the invoice entry form";Data Entry Office Tick invoice entered box on the invoice entry form;;invoice|box on the invoice entry form;Data Entry Office Tick
Master Data Enter Department;Check priority;checks;"Master Data Enter Department;priority";Master Data Enter Department Check priority;Enters|Checks;priority;Master Data|Department
Master Data Enter Department;Enter new vendor master record into SAP within 5days;enters;"Master Data Enter Department;new vendor master record into SAP|days";Master Data Enter Department Enter new vendor master record into SAP within 5days;Enters|Enters;new vendor master record;Master Data|Department|SAP|5days
Master Data Enter Department;Enter new vendor master record into SAP within 24 hours;enters;"Master Data Enter Department;new vendor master record into SAP|hours";Master Data Enter Department Enter new vendor master record into SAP within 24 hours;Enters|Enters;new vendor master record|hours;Master Data|Department|SAP
Validation Office;Check priority;checks;"Validation Office;priority";Validation Office Check priority;;Validation Office Check priority;
Validation Office;Sort invoices per client;sorts;"Validation Office;Sort invoices per client";Validation Office Sort invoices per client;;Validation Office Sort invoices per client;
Validation Office;Print invoices report from SAP;prints;"Validation Office;invoices report from SAP";Validation Office Print invoices report from SAP;reports from;Print invoices;Validation Office|SAP
Validation Office;Login to SAP;logins to;"Validation Office;SAP";Validation Office Login to SAP;;Validation Office Login;SAP
Validation Office;Change status to validated;changes status to;"Validation Office;validated";Validation Office Change status to validated;validates;Validation Office Change status;
Validation Office;Send invoices to DEO;sends;"Validation Office;invoices to DEO";Validation Office Send invoices to DEO;Sends;Validation Office|invoices;DEO
Registry;Pay invoices;pays;"Registry;invoices";Registry Pay invoices;;Registry Pay invoices;
Registry;Generate payment report;generates;"Registry;payment report";Registry Generate payment report;Generates;Registry|payment report;
Registry;Send report to client;sends;"Registry;report to client";Registry Send report to client;Sends report to;Registry|client;
Registry;Send report to Registry Officer;sends;"Registry;report to Registry Officer";Registry Send report to Registry Officer;Sends report to;Registry;Registry Officer
Registry;Select paid invoces;selects paid;"Registry;invoces";Registry Select paid invoces;;invoces;Registry Select
Registry;Archive invoices per vendor;archives;"Registry;invoices per vendor";Registry Archive invoices per vendor;;Registry Archive invoices per vendor;
Registry;Archive invoices per payment date;archives;"Registry;invoices per payment date";Registry Archive invoices per payment date;;Registry Archive invoices per payment date;
Registry;Track original invoice;tracks;"Registry;original invoice";Registry Track original invoice;;Registry Track original invoice;
Registry;Compare invoice with invoice entry form;compares;"Registry;invoice with invoice entry form";Registry Compare invoice with invoice entry form;Compares invoice with;Registry|invoice entry form;
Registry;Send report to Accounts Receivable Department;sends;"Registry;report to Accounts Receivable Department";Registry Send report to Accounts Receivable Department;Sends report to;Registry|Accounts;Receivable Department
Account Receivable Department;Generate monthly invoice;generates;"Account Receivable Department;monthly invoice";Account Receivable Department Generate monthly invoice;Generates;Account|monthly invoice;Receivable Department
Account Receivable Department;Charge flat fee;charges;"Account Receivable Department;flat fee";Account Receivable Department Charge flat fee;Charges;Account|flat fee;Receivable Department
Validation Office;Check invoice data for errors;checks;"Validation Office;invoice data for errors";Validation Office Check invoice data for errors;Checks;Validation Office|invoice data for errors;
Validation Office;Highlight errors on invoice entry form;highlights;"Validation Office;errors on invoice entry form";Validation Office Highlight errors on invoice entry form;;Validation Office Highlight errors on invoice entry form;
Validation Office;Keep performance record of DEO;keeps;"Validation Office;performance record of DEO";Validation Office Keep performance record of DEO;Keeps;Validation Office|performance record;DEO
Admin Office;Return invoice to client via postal mail;returns;"Admin Office;invoice to client|postal mail";Admin Office Return invoice to client via postal mail;;Admin Office Return invoice to client via postal mail;
Admin Office;Send reminder letter;sends;"Admin Office;reminder letter";Admin Office Send reminder letter;Sends;Admin Office|reminder letter;
Admin Office;Send 2nd reminder letter;sends;"Admin Office;2nd reminder letter";Admin Office Send 2nd reminder letter;Sends;Admin Office|2nd reminder letter;
Data Entry Office;Generate Vendor master record request form;generates;"Data Entry Office;Vendor master record request form";Data Entry Office Generate Vendor master record request form;Generates|requests;Vendor master record|form;Data Entry Office
Data Entry Office;Staple form to invoice;staples;"Data Entry Office;form to invoice";Data Entry Office Staple form to invoice;forms to|invoices;Data Entry Office Staple;
Data Entry Office;Place form to invoice;places;"Data Entry Office;form to invoice";Data Entry Office Place form to invoice;forms to|invoices;;Data Entry Office Place
Credit Company;Collect credit information;collects;"Credit Company;credit information";Credit Company Collect credit information;Collects;Credit Company|credit information;
Credit Company;Assess risk;assesses;"Credit Company;risk";Credit Company Assess risk;Assesses;Credit Company|risk;
Credit Company;Request approval;requests;"Credit Company;approval";Credit Company Request approval;;Credit Company Request approval;
Credit Company;Accept credit;accepts;"Credit Company;credit";Credit Company Accept credit;Accepts;Credit Company|credit;
Credit Company;Reject credit;rejects;"Credit Company;credit";Credit Company Reject credit;Rejects;Credit Company|credit;
Order to Cash;Processing customer demand;processes;"Order to Cash;customer demand";Order to Cash Processing customer demand;Orders to;Cash Processing customer demand;
Order to Cash;Sell product to customer;sells;"Order to Cash;product to customer";Order to Cash Sell product to customer;Sells;Order to Cash|product to customer;
Make to Inventory;Determine demanded components according to planning;determines demanded;"Make to Inventory;demanded components according to planning";Make to Inventory Determine demanded components according to planning;Makes to|Determines;Inventory|components according to planning;
Make to Inventory;Purchase missing parts and put on stock;"purchases;puts on";"Make to Inventory;missing parts;stock";Make to Inventory Purchase missing parts and put on stock;Makes to|puts on;Inventory Purchase missing parts|stock;
Production;Perform production;performs;"Production;production";Production Perform production;Performs;Production|production;
Production;Perform quality checks;performs;"Production;quality checks";Production Perform quality checks;Performs;Production|quality checks;
Production;Fill product into a packaging;fills;"Production;product into a packaging";Production Fill product into a packaging;Fills;Production|product into a packaging;
Production;Pack and label product;packs|labels;"Production;product";Production Pack and label product;;Production Pack|label product;
Production;Transport product to the warehouse;transports;"Production;product to the warehouse";Production Transport product to the warehouse;;Production Transport product to the warehouse;
Production;Perform follow-up production;performs;"Production;follow-up production";Production Perform follow-up production;Performs follow;Production|production;
Teacher;Check process model;checks;"Teacher;process model";Teacher Check process model;processes;Teacher Check|model;
Teacher;Assign penalty points;assigns;"Teacher;penalty points";Teacher Assign penalty points;Assigns;Teacher|penalty points;
Teacher;Check process assign points;checks;"Teacher;process|points";Teacher Check process assign points;assigns;Teacher Check process|points;
Teacher;Consult project, check progress;consults;"Teacher;project|progress";Teacher Consult project, check progress;Consults project|checks;Teacher|progress;
Team;Agree on team field;agrees on;"Team;team field";Team Agree on team field;Agrees on;Team|team field;
Team;Analyse field and identify process;"analyses;identifies";"Team;field;process";Team Analyse field and identify process;identifies;Team Analyse field|process;
Team;Assign roles in team;assigns;"Team;roles in team";Team Assign roles in team;Assigns;Team|roles in team;
Team;Present the project;presents;"Team;project";Team Present the project;Presents;Team|project;
Student;Join team;joins;"Student;team";Student Join team;Joins;Student|team;
Student;Create one process model;creates;"Student;process model";Student Create one process model;Creates|processes;Student|model;
Student;Fix process until next session;fixes;"Student;process until next session";Student Fix process until next session;Fixes process until;Student|next session;
Student;Extend their process to L 2,3;extends;"Student;process to L 2,3";Student Extend their process to L 2,3;Extends;Student|process to L 2;
Student;perform work according to the role;performs;"Student;work according to the role";Student perform work according to the role;performs;Student|work according to the role;
Client;Deposit amount of money;deposits;"Client;amount of money";Client Deposit amount of money;;Client Deposit amount of money;
Client;Withdraw amount of money;withdraws;"Client;amount of money";Client Withdraw amount of money;Withdraws;Client|amount of money;
Client;Transfer amount of money;transfers;"Client;amount of money";Client Transfer amount of money;;Client Transfer amount of money;
Client;Provide Further Information;provides;"Client;Further Information";Client Provide Further Information;Provides;Client|Further Information;
Client;Cancel the order;cancels;"Client;order";Client Cancel the order;Cancels;Client|order;
Client;Receive invoice;receives;"Client;invoice";Client Receive invoice;Receives;Client|invoice;
Bank Agent;Enter the required transaction details;enters;"Bank Agent;transaction details";Bank Agent Enter the required transaction details;Enters;transaction details;Bank Agent
Bank Agent;Enter client's account details;enters;"Bank Agent;client's account details";Bank Agent Enter client's account details;Enters;client'|account details;Bank Agent
Bank Agent;Notify the client of problem;notifies;"Bank Agent;client of problem";Bank Agent Notify the client of problem;Notifies;client of problem;Bank Agent
Bank Agent;Notify client of complete transaction;notifies;"Bank Agent;client of complete transaction";Bank Agent Notify client of complete transaction;Notifies;client of complete transaction;Bank Agent
Bank System;Check Client's account details;checks;"Bank System;Client's account details";Bank System Check Client's account details;Checks;Client|account details;Bank System
Bank System;Add amount of money deposit to account;adds;"Bank System;amount of money deposit";Bank System Add amount of money deposit to account;Adds;amount of money deposit to account;Bank System
Bank System;transfer amount of money to account;accounts;"Bank System;transfer amount of money";Bank System transfer amount of money to account;transfers;amount of money to account;Bank System
Bank System;Check account balance;checks;"Bank System;account balance";Bank System Check account balance;;Bank System Check account balance;
Bank System;Withdraw amount from account;withdraws;"Bank System;amount from account";Bank System Withdraw amount from account;Withdraws amount from;account;Bank System
Bank System;Issue invoice;issues;"Bank System;invoice";Bank System Issue invoice;;Issue invoice;Bank System
Business Analyst;Collect data conduct business analysis regarding customer feedback;collects;"Business Analyst;data conduct business analysis regarding customer feedback";Business Analyst Collect data conduct business analysis regarding customer feedback;Collects|conducts;Business Analyst|data|business analysis regarding customer feedback;
Business Analyst;Check design and provide feedback;"checks;provides";"Business Analyst;design;feedback";Business Analyst Check design and provide feedback;Checks design|provides;Business Analyst|feedback;
Web Designer;Change design;changes;"Web Designer;design";Web Designer Change design;designs;Web Designer Change;
PHP Specialist;Integrate with the overall implemenation;integrates with;"PHP Specialist;overall implemenation";PHP Specialist Integrate with the overall implemenation;Integrates with;overall implemenation;PHP Specialist
PHP Specialist;Adjust according to test results;adjusts according to;"PHP Specialist;test results";PHP Specialist Adjust according to test results;Adjusts;according to test results;PHP Specialist
Tester;Test the final website to make sure everything is going well;tests;"Tester;final website";Tester Test the final website to make sure everything is going well;Tests|makes;final website|sure everything|going;Tester
Tester;provide test results;provides;"Tester;test results";Tester provide test results;provides;test results;Tester
Business Analyst;Collect data conduct business analysis regarding customer service;collects;"Business Analyst;data conduct business analysis regarding customer service";Business Analyst Collect data conduct business analysis regarding customer service;Collects|conducts;Business Analyst|data|business analysis regarding customer service;
Marketing Manager;Create and provide information about the company;creates|provides;"Marketing Manager;information about the company";Marketing Manager Create and provide information about the company;Creates|provides;Marketing Manager|information about the company;
IT Staff Member;Create community groups on Facebook, Twitter and Myspace;creates;"IT Staff Member;community groups on Facebook,Twitter and Myspace";IT Staff Member Create community groups on Facebook, Twitter and Myspace;Creates;IT Staff Member|community groups;Facebook|Twitter|Myspace
IT Staff Member;Add provided information to the created groups;adds provided;"IT Staff Member;information";IT Staff Member Add provided information to the created groups;Adds;IT Staff Member|information|groups;
IT Staff Member;Add the provided information to the community;adds;"IT Staff Member;information to the community";IT Staff Member Add the provided information to the community;Adds;IT Staff Member|information to the community;
IT Staff Member;Add new information as soon as Received;adds;"IT Staff Member;new information";IT Staff Member Add new information as soon as Received;Adds;IT Staff Member|new information;
Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;inquires about;"Company's Spokesperson;PRWeb press release services|prices for company's specific requirements";Company's Spokesperson Inquire about PRWeb press release services and prices for company's specific requirements;;;
Company's Spokesperson;Make an order for the specific first run press release;makes;"Company's Spokesperson;order for the specific first run press release";Company's Spokesperson Make an order for the specific first run press release;Makes|runs;Company|Spokesperson|order|press release;
PRWeb Representative;Send back information regarding the requested requirements;sends;"PRWeb Representative;back information regarding the requested requirements";PRWeb Representative Send back information regarding the requested requirements;Sends back;information regarding|requirements;PRWeb Representative
PRWeb Representative;Place an order for a fist run press release with the detailed company info;places;"PRWeb Representative;order for a fist run press release with the detailed company info";PRWeb Representative Place an order for a fist run press release with the detailed company info;Places|runs;order for a fist|press release with the detailed company info;PRWeb Representative
PRWeb Services Headquarters;Run the first press release for the company;runs;"PRWeb Services Headquarters;first press release for the company";PRWeb Services Headquarters Run the first press release for the company;Runs;first press release for the company;PRWeb Services Headquarters
Business Analyst;Collect data about company's products conduct business analysis;collects;"Business Analyst;data about company|products|business analysis";Business Analyst Collect data about company's products conduct business analysis;Collects|conducts;Business Analyst|data about company' s products|business analysis;
Web Designer;Integrate Design and decide where such data should be placed;"integrates;decides";"Web Designer;Design;where such data should be placed";Web Designer Integrate Design and decide where such data should be placed;Integrates|decides|is;Web Designer|Design|such data;
Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;"collects;conducts";"Marketing Manager;data|business analysis covering all aspects about company's products";Marketing Manager collect data and conduct business analysis covering all aspects about company's products;collects|conducts;Marketing Manager|data|business analysis covering all aspects about company' s products;
Marketing Manager;create written material for the leaflet;creates;"Marketing Manager;written material for the leaflet";Marketing Manager create written material for the leaflet;creates;Marketing Manager|written material for the leaflet;
Marketing Manager;create written material for the whitepaper;creates;"Marketing Manager;written material for the whitepaper";Marketing Manager create written material for the whitepaper;creates;Marketing Manager|written material for the whitepaper;
Graphic Designer;create graphics and develop design for the leaflet;"creates;develops";"Graphic Designer;graphics;design for the leaflet";Graphic Designer create graphics and develop design for the leaflet;creates|develops design for;Graphic Designer|graphics|leaflet;
Graphic Designer;create graphics and develop design for the whitepaper;"creates;develops";"Graphic Designer;graphics;design for the whitepaper";Graphic Designer create graphics and develop design for the whitepaper;creates|develops design for;Graphic Designer|graphics|whitepaper;
Printing house;Print leaflets as ordered;prints;"Printing house;leaflets";Printing house Print leaflets as ordered;;Printing house Print leaflets;
IT Staff Member;Integrate the whitepaper with company's website;integrates;"IT Staff Member;whitepaper with company's website";IT Staff Member Integrate the whitepaper with company's website;Integrates;IT Staff Member|whitepaper with company' s website;
Company Representative;Define the Audience;defines;"Company Representative;Audience";Company Representative Define the Audience;Defines;Company Representative|Audience;
Company Representative;Develop a Concept;develops;"Company Representative;Concept";Company Representative Develop a Concept;Develops;Company Representative|Concept;
Company Representative;Upload to Youtube;uploads to;"Company Representative;Youtube";Company Representative Upload to Youtube;Uploads to;Company Representative;Youtube
Camera man;Shoot Video;shoots;"Camera man;Video";Camera man Shoot Video;Shoots;Camera man|Video;
Graphic designer;Create Graphics;creates;"Graphic designer;Graphics";Graphic designer Create Graphics;Creates;Graphic designer|Graphics;
Sound editor;Record Narration;records;"Sound editor;Narration";Sound editor Record Narration;;Sound editor Record Narration;
Sound editor;Find or create Music;finds;"Sound editor;Music";Sound editor Find or create Music;Finds|creates;Sound editor|Music;
Executive producer/Director;Capture Video to Computer;captures;"Executive producer/Director;Video to Computer";Executive producer/Director Capture Video to Computer;Captures;Executive producer|Video to Computer;Director
Executive producer/Director;Import Audio: Narration, Music and Sound Effects;imports;"Executive producer/Director;Audio|Narration|Music|Sound Effects";Executive producer/Director Import Audio: Narration, Music and Sound Effects;;Executive producer|Director Import Audio|Narration|Music|Sound Effects;
Executive producer/Director;Import Graphics;imports;"Executive producer/Director;Graphics";Executive producer/Director Import Graphics;;Executive producer;Director Import Graphics
Executive producer/Director;Create Titles, Subtitles, Credits;creates;"Executive producer/Director;Titles|Subtitles|Credits";Executive producer/Director Create Titles, Subtitles, Credits;Creates;Executive producer|Titles|Subtitles|Credits;Director
Executive producer/Director;Edit it all together;edits;"Executive producer/Director;it all together";Executive producer/Director Edit it all together;Edits;Executive producer|it;Director
Advertisments Advisor;Determine the Form or Style;determines;"Advertisments Advisor;Form|Style";Advertisments Advisor Determine the Form or Style;Determines;Advertisments Advisor|Form|Style;
Advertisments Advisor;Write the Script;writes;"Advertisments Advisor;Script";Advertisments Advisor Write the Script;Writes;Advertisments Advisor|Script;
Advertisments Advisor;Create a Storyboard;creates;"Advertisments Advisor;Storyboard";Advertisments Advisor Create a Storyboard;Creates;Advertisments Advisor|Storyboard;
Customer;bring computer for checking;brings;"Customer;computer for checking";Customer bring computer for checking;brings;Customer|computer for checking;
Customer;deciding if the cost is low;decides;"Customer;cost";Customer deciding if the cost is low;;Customer deciding if the cost;
Customer;Deciding to repair;decides to;"Customer;repair";Customer Deciding to repair;Decidings to|repairs;Customer;
Customer;going home without fixing the computer;goes;"Customer;computer";Customer going home without fixing the computer;;Customer going|fixing the computer;
Customer;Getting back computer;gets;"Customer;back computer";Customer Getting back computer;Gettings back;Customer|computer;
Customer;Paying for the repair;pays for;"Customer;repair";Customer Paying for the repair;;Customer Paying for the repair;
Customer;GOING HOME;goes;"Customer;Home";Customer GOING HOME;;Customer GOING HOME;
CSR;Checking defecrive computer;checks;"CSR;defecrive computer";CSR Checking defecrive computer;Checkings;CSR|defecrive computer;
CSR;calculate and send price offer;calculates|sends;"CSR;price offer";CSR calculate and send price offer;calculates|sends|offers;price;CSR
CSR;getting computer for repairing;gets;"CSR;computer for repairing";CSR getting computer for repairing;;getting computer for repairing;CSR
CSR;check and repair the hardware;checks|repairs;"CSR;hardware";CSR check and repair the hardware;checks|repairs;hardware;CSR
CSR;proper system functionality is tested;is tested;"CSR;proper system functionality";CSR proper system functionality is tested;;proper system functionality;CSR
CSR;checks and configures the software;checks|configures;"CSR;software";CSR checks and configures the software;;software;CSR
CSR;repair is finished;is finished;"CSR;repair";CSR repair is finished;;repair;CSR
CSR;another arbitrary repair activity is executed;is executed;"CSR;arbitrary repair activity";CSR another arbitrary repair activity is executed;;arbitrary repair activity;CSR
Pit's Store;Update the online cataloge;updates;"Pit's Store;online cataloge";Pit's Store Update the online cataloge;Updates;Pit'|Store|online cataloge;
Pit's Store;checks available bikes by the envisioned conf.;checks;"Pit's Store;available bikes by the envisioned conf.";Pit's Store checks available bikes by the envisioned conf.;;Store|available bikes|conf;Pit
Pit's Store;Offer a test ride;offers;"Pit's Store;test ride";Pit's Store Offer a test ride;Offers;Pit'|Store|test ride;
Pit's Store;Don't offer a test ride;offers;"Pit's Store;test ride";Pit's Store Don't offer a test ride;offers;Pit'|t|test ride;Store Don
Pit's Store;final configuration price offer;;Pit's Store final configuration price offer;Pit's Store final configuration price offer;offers;Pit'|Store final configuration price;
Pit's Store;Close the deal;closes;"Pit's Store;deal";Pit's Store Close the deal;Closes;Pit'|Store|deal;
Pit's Store;Don't close the deal;does not close;"Pit's Store;deal";Pit's Store Don't close the deal;closes;Pit'|t|deal;Store Don
Pit's Store;Get customer concent;gets;"Pit's Store;customer concent";Pit's Store Get customer concent;Gets;Pit'|Store|customer concent;
Pit's Store;Contact customer to pick up bike;contacts;"Pit's Store;customer to pick up bike";Pit's Store Contact customer to pick up bike;picks up;Pit'|Store Contact customer|bike;
Pit's Store;Give the customer the bike;gives;"Pit's Store;customer the bike";Pit's Store Give the customer the bike;Gives;Pit'|Store|customer the bike;
Pit's Store;Get Bike;gets;"Pit's Store;Bike";Pit's Store Get Bike;Gets;Pit'|Store|Bike;
Pit's Store;starting cancellation;starts;"Pit's Store;cancellation";Pit's Store starting cancellation;;Pit'|Store starting cancellation;
Pit's Store;get refunds from Fami except of cancellation fee;gets;"Pit's Store;refunds from Fami except cancellation fee";Pit's Store get refunds from Fami except of cancellation fee;gets;Store|refunds|cancellation fee;Pit|Fami
Pit's Store;Returning payment to customer;returns;"Pit's Store;payment to customer";Pit's Store Returning payment to customer;Returnings;Pit'|Store|payment to customer;
Fami;send payments;sends;"Fami;payments";Fami send payments;sends;payments;Fami
Customer;Intend to Order a bike;intends to order;"Customer;bike";Customer Intend to Order a bike;Intends to|Orders;Customer|bike;
Customer;Decide of final configuration;decides of;"Customer;final configuration";Customer Decide of final configuration;Decides of;Customer|final configuration;
Customer;Don't want to Order from Pit;wants;"Customer;Pit";Customer Don't want to Order from Pit;wants to|Orders from;t;Customer Don|Pit
Customer;Accept price;accepts;"Customer;price";Customer Accept price;Accepts;Customer|price;
Customer;Bargain about price;bargains about;"Customer;price";Customer Bargain about price;;Customer Bargain about price;
Customer;stop negotiation and don't order;stops;"Customer;negotiation";Customer stop negotiation and don't order;stops|dons|orders;Customer|negotiation|t;
Customer;Pick up bike;picks up;"Customer;bike";Customer Pick up bike;Picks up;Customer|bike;
Customer;Get payment back;gets;"Customer;payment";Customer Get payment back;Gets;Customer|payment;
Pit's Store;accept the deal;accepts;"Pit's Store;deal";Pit's Store accept the deal;accepts;deal;Pit|Store
Fami;Update Website;updates;"Fami;Website";Fami Update Website;;Website;Fami Update
Customer;test ride;tests;"Customer;ride";Customer test ride;;Customer test ride;
Pit's Store;waiting for new bike with updated conf.;waits for;"Pit's Store;new bike with updated conf";Pit's Store waiting for new bike with updated conf.;;Pit'|Store waiting for new bike|conf;
Pit's Store;Receive monthly payment;receives;"Pit's Store;monthly payment";Pit's Store Receive monthly payment;Receives;Pit'|Store|monthly payment;
Pit's Store;checking if can be cancelled/ updated;checks;"Pit's Store;if can be cancelled/ updated";Pit's Store checking if can be cancelled/ updated;is;Pit'|Store checking;
Teacher;Assign team to student;assigns;"Teacher;team to student";Teacher Assign team to student;Assigns;Teacher|team to student;
Teacher;Consult;consults;"Teacher;nan";Teacher Consult;Consults;Teacher;
Teacher;Check progress;checks;"Teacher;progress";Teacher Check progress;;Teacher Check progress;
Student;Fix the process until next session;fixes;"Student;process until next session";Student Fix the process until next session;Fixes;Student|process until next session;
Student;Extend their process to Level 2,3;extends;"Student;process to Level 2";Student Extend their process to Level 2,3;Extends;Student|process to Level 2;
Student;Perform a work according to the role;performs;"Student;work according to role";Student Perform a work according to the role;Performs;Student|work according to the role;
Team;Analyse field and identify processes;"analyses;identifies";"Team;field;processes";Team Analyse field and identify processes;identifies;Team Analyse field|processes;
Team;present the project;presents;"Team;project";Team present the project;presents;Team|project;
Marketing;Analyze market;analyzes;"Marketing;market";Marketing Analyze market;Analyzes;Marketing|market;
Marketing;Send offer to potential client;sends;"Marketing;offer to potential client";Marketing Send offer to potential client;Sends offer to;Marketing|potential client;
Marketing;Prepare portfolio presentation;prepares;"Marketing;portfolio presentation";Marketing Prepare portfolio presentation;Prepares;Marketing|portfolio presentation;
Marketing;Inform management about potential client's responses;informs;"Marketing;management about potential client's responses";Marketing Inform management about potential client's responses;Informs;Marketing|management about potential client' s responses;
Management;New client needed;needs;"Management;New client";Management New client needed;;Management New client;
Management;Analyze responses and start negotiation;"analyzes;starts";"Management;responses;negotiation";Management Analyze responses and start negotiation;Analyzes|starts;Management|responses|negotiation;
Management;Prepare contract for sign;prepares;"Management;contract for sign";Management Prepare contract for sign;Prepares;Management|contract for sign;
Management;Analyze reasons and learn a lesson;"analyzes;learns";"Management;reasons;lesson";Management Analyze reasons and learn a lesson;Analyzes|learns;Management|reasons|lesson;
Management;Sign contract;signs;"Management;contract";Management Sign contract;Signs;Management|contract;
Management;Analyze request;analyzes;"Management;request";Management Analyze request;Analyzes request;Management;
Finance;find finance resources;finds;"Finance;finance resources";Finance find finance resources;finds finance;Finance|resources;
Finance;Pay invoice;pays;"Finance;invoice";Finance Pay invoice;invoices;Finance Pay;
IT Department;Analyze request;analyzes;"IT Department;request";IT Department Analyze request;Analyzes request;IT Department;
IT Department;Edit and complete request;edits|completes;"IT Department;request";IT Department Edit and complete request;Edits|completes;request;IT Department
IT Department;fullfil form and send request to management;"fulfills;sends";"IT Department;form|request to management";IT Department fullfil form and send request to management;sends;IT Department fullfil form|request to management;
IT Department;prepare order;prepares;"IT Department;order";IT Department prepare order;prepares;order;IT Department
IT Department;receive hw and invoice;receives;"IT Department;hw|invoice";IT Department receive hw and invoice;receives|invoices;hw;IT Department
Technician;travel by car;travels by;"Technician;car";Technician travel by car;travels by;Technician|car;
Technician;analyze problem;analyzes;"Technician;problem";Technician analyze problem;analyzes;Technician|problem;
Technician;fix problem;fixes;"Technician;problem";Technician fix problem;fixes;Technician|problem;
Technician;call operator;calls;"Technician;operator";Technician call operator;calls;Technician|operator;
Technician;give customer invoice;gives;"Technician;customer invoice";Technician give customer invoice;gives;Technician|customer invoice;
Technician;accept assignment;accepts;"Technician;assignment";Technician accept assignment;accepts;Technician|assignment;
Technician;select car;selects;"Technician;car";Technician select car;selects;Technician|car;
Technician;travel by bus;travels by;"Technician;bus";Technician travel by bus;travels by;Technician|bus;
Operator;understand customers problem;understands;"Operator;customers problem";Operator understand customers problem;understands;Operator|customers problem;
Operator;select appropriate technician;selects;"Operator;appropriate technician";Operator select appropriate technician;selects;Operator|appropriate technician;
Operator;check technicians report;checks;"Operator;technicians report";Operator check technicians report;checks|reports;Operator|technicians;
Operator;close problem;closes;"Operator;problem";Operator close problem;closes;Operator|problem;
Operator;store problem details into database;stores;"Operator;problem details into database";Operator store problem details into database;;Operator store problem details into database;
Operator;arrange new meeting;arranges;"Operator;new meeting";Operator arrange new meeting;arranges;Operator|new meeting;
Finance;calculate reward;calculates;"Finance;reward";Finance calculate reward;calculates;Finance|reward;
Finance;pay reward;pays;"Finance;reward";Finance pay reward;pays;Finance|reward;
HR;Dismiss employee;dismisses;"HR;employee";HR Dismiss employee;Dismisses;HR|employee;
HR;provide training;provides;"HR;training";HR provide training;provides;HR|training;
Management;Check employee performance;checks;"Management;employee performance";Management Check employee performance;Checks;Management|employee performance;
Management;Suggest for reward;suggests for;"Management;reward";Management Suggest for reward;Suggests for;Management|reward;
Management;Suggest training;suggests;"Management;training";Management Suggest training;Suggests;Management|training;
Management;Suggest employee dismissal;suggests;"Management;employee dismissal";Management Suggest employee dismissal;Suggests;Management|employee dismissal;
Management;Choose appropriate benefit;chooses;"Management;appropriate benefit";Management Choose appropriate benefit;Chooses;Management|appropriate benefit;
Management;Announce employee of the month;announces;"Management;employee of the month";Management Announce employee of the month;Announces;Management|employee of the month;
Management;Prepare timetable for next 2 weeks;prepares;"Management;timetable for next 2 weeks";Management Prepare timetable for next 2 weeks;Prepares;Management|timetable|weeks;
Management;check volume of work required;checks;"Management;volume of work";Management check volume of work required;checks;Management|volume of work;
Management;check workers availability;checks;"Management;workers availability";Management check workers availability;checks;Management|workers availability;
Management;publish timetable;publishes;"Management;timetable";Management publish timetable;publishes;Management|timetable;
Management;fill shift sheet;fills;"Management;shift sheet";Management fill shift sheet;fills;Management|shift sheet;
Management;publish shift schedule;publishes;"Management;shift schedule";Management publish shift schedule;publishes;Management|shift schedule;
Support line;fullfil availability;fulfills;"Support line;availability";Support line fullfil availability;;Support line fullfil availability;
Data entry officer;Process invoices;processes;"Data entry officer;invoices";Data entry officer Process invoices;;Data entry officer Process invoices;
Data entry officer;collect allocated invoices;collects;"Data entry officer;allocated invoices";Data entry officer collect allocated invoices;collects;Data entry officer|invoices;
Data entry officer;find out urgent invoice;finds out;"Data entry officer;urgent invoice";Data entry officer find out urgent invoice;finds out;Data entry officer|urgent invoice;
